name,team,games_played,kicks,handballs,disposals,marks,goals,behinds,tackles,frees_for,frees_against,hitouts,inside_50s,goal_assists,supercoach_score,dreamteam_score,contested_possessions,uncontested_possessions,effective_disposals,disposal_efficiency,clangers,contested_marks,marks_inside_50,clearances,centre_clearances,stoppage_clearances,rebound_50s,one_percenters,bounces,metres_gained,score_involvements,turnovers,intercepts,tackles_inside_50,time_on_ground_pct
Oliver Florent,Sydney,24,272,205,477,95,5,1,45,11,19,NA,56,7,1771,1676,135,302,348,73,68,2,4,28,6,22,92,23,16,8457,78,111,115,NA,86.29
Daniel Rioli,Richmond,23,272,204,476,97,4,4,79,18,10,NA,46,10,1999,1847,130,295,376,79,55,7,3,18,3,15,73,27,50,8287,84,73,115,4,83.35
Dayne Zorko,Brisbane,20,272,106,378,118,8,8,71,18,17,NA,82,16,1658,1689,112,252,267,71,63,1,8,44,16,28,32,23,2,6830,99,58,40,14,73.3
Noah Balta,Richmond,23,271,68,339,147,3,3,28,16,20,8,36,1,1709,1487,131,192,241,71,74,47,8,1,NA,1,121,103,18,9058,60,90,177,4,90.74
Bradley Hill,St Kilda,22,271,184,455,103,6,5,43,13,14,NA,68,12,1545,1674,89,368,332,73,64,NA,6,16,3,13,45,24,21,7708,95,84,51,3,83.27
Darcy Parish,Essendon,18,271,284,555,78,3,6,77,19,14,NA,109,8,1946,1924,252,308,381,69,76,1,5,139,64,75,39,13,3,8447,117,99,47,6,80.39
Luke Parker,Sydney,23,269,274,543,86,9,5,114,29,26,NA,73,16,2218,2079,255,286,379,70,79,7,8,128,55,73,26,31,2,5955,136,93,65,16,84.26
Jarrod Berry,Brisbane,25,268,172,440,119,10,5,64,21,13,NA,81,8,1856,1808,155,292,314,71,52,5,11,51,9,42,58,31,NA,7600,88,76,73,13,76.32
Jason Horne-Francis,Port Adelaide,24,268,154,422,78,16,12,69,34,46,NA,90,14,1855,1626,215,216,290,69,99,9,13,115,49,66,29,16,13,6923,123,84,63,14,76.38
Jordan Clark,Fremantle,23,266,175,441,131,1,1,63,19,20,NA,52,4,1897,1759,124,311,362,82,49,4,NA,14,1,13,73,58,8,6771,71,71,133,1,85
Thomas Liberatore,Western Bulldogs,21,266,308,574,59,8,9,141,18,20,NA,84,16,2437,2170,304,271,424,74,63,1,5,167,62,105,33,30,NA,6636,125,81,58,17,78.1
Rory Laird,Adelaide,22,262,375,637,67,3,10,175,40,34,NA,84,11,2571,2403,304,342,464,73,82,1,3,141,69,72,34,22,5,6625,148,85,64,19,79.18
Will Day,Hawthorn,21,262,275,537,122,6,6,73,23,19,NA,92,8,2046,2002,197,335,418,78,68,9,8,89,37,52,39,34,13,7960,113,91,75,4,81.14
Josh Dunkley,Brisbane,24,261,321,582,120,2,7,165,39,13,NA,58,13,2721,2464,302,295,414,71,67,11,5,119,49,70,27,52,NA,6179,117,90,79,24,80.67
Jake Bowey,Melbourne,23,259,112,371,85,4,1,41,13,5,NA,38,1,1617,1443,123,202,285,77,38,9,1,12,3,9,82,30,2,6734,54,73,134,2,73.26
Gryan Miers,Geelong,23,259,179,438,108,7,13,67,14,20,NA,98,41,1858,1736,140,306,301,69,74,4,16,42,5,37,9,16,17,6848,165,87,27,18,84.83
Jordan Ridley,Essendon,17,259,86,345,126,1,1,15,10,10,NA,8,1,1613,1374,69,217,314,91,26,18,NA,1,NA,1,82,86,11,5421,45,38,98,NA,82.29
Liam Baker,Richmond,23,258,180,438,85,12,14,51,14,29,NA,57,13,1834,1606,159,268,312,71,88,2,16,17,3,14,57,46,10,6832,121,85,101,13,83.09
Timothy English,Western Bulldogs,23,258,182,440,145,16,4,100,42,34,717,74,6,2943,2730,211,253,319,72,83,29,13,75,27,48,43,98,8,5865,122,76,98,10,85.87
Jordan De Goey,Collingwood,21,257,245,502,77,18,9,68,18,29,NA,104,16,2015,1812,215,292,357,71,95,3,9,120,58,62,18,30,3,7817,140,89,34,4,84.9
Steele Sidebottom,Collingwood,20,257,159,416,85,4,2,72,8,10,NA,63,12,1746,1636,137,264,279,67,56,2,4,48,7,41,45,36,7,6969,86,80,79,8,80.2
Jack Lukosius,Gold Coast,22,256,41,297,140,39,22,24,15,17,NA,97,15,1673,1586,110,178,193,65,57,22,36,2,NA,2,18,54,2,8378,133,85,35,12,83.59
Jeremy Cameron,Geelong,20,255,66,321,114,53,34,27,22,21,1,75,13,1656,1659,88,236,188,59,79,16,55,14,NA,14,6,26,NA,6949,154,80,39,9,93.7
