name,team,games_played,kicks,handballs,disposals,marks,goals,behinds,tackles,frees_for,frees_against,hitouts,inside_50s,goal_assists,supercoach_score,dreamteam_score,contested_possessions,uncontested_possessions,effective_disposals,disposal_efficiency,clangers,contested_marks,marks_inside_50,clearances,centre_clearances,stoppage_clearances,rebound_50s,one_percenters,bounces,metres_gained,score_involvements,turnovers,intercepts,tackles_inside_50,time_on_ground_pct
Liam Jones,Western Bulldogs,18,129,37,166,89,NA,NA,16,7,11,NA,11,1,1054,766,60,107,133,80,26,13,NA,1,NA,1,57,129,NA,3408,22,34,110,NA,90.06
Jack Silvagni,Carlton,16,129,88,217,64,14,12,43,16,24,47,31,10,1102,1014,98,118,149,69,52,11,11,27,5,22,10,31,1,3650,81,41,24,10,72.19
Alex Keath,Western Bulldogs,18,128,89,217,92,NA,NA,29,8,12,NA,17,1,980,926,70,152,172,79,36,8,NA,3,NA,3,37,75,5,3037,32,41,95,NA,84.78
Michael Walters,Fremantle,20,127,72,199,56,33,13,33,14,21,NA,29,16,1105,987,81,121,141,71,46,5,23,10,1,9,1,5,2,2696,101,41,19,16,78.8
Josh Worrell,Adelaide,12,127,48,175,47,NA,NA,25,9,6,NA,24,2,894,709,72,89,139,79,25,6,NA,5,NA,5,56,67,NA,3996,26,38,77,NA,83.08
Riley Thilthorpe,Adelaide,21,126,97,223,74,18,9,31,16,19,116,38,9,1248,1110,134,88,149,67,53,38,19,25,7,18,7,41,NA,3229,90,57,29,12,65.81
Mitchell Lewis,Hawthorn,15,125,67,192,85,36,20,25,9,12,5,30,10,1067,1078,70,119,134,70,36,19,40,2,NA,2,NA,26,NA,3056,96,37,13,10,88.53
Tarryn Thomas,North Melbourne,12,125,110,235,31,11,4,57,11,15,NA,50,9,1083,952,111,121,173,74,34,2,9,51,24,27,17,20,6,4566,68,35,26,9,82.75
Mattaes Phillipou,St Kilda,24,124,180,304,69,13,8,54,16,11,NA,56,9,1204,1224,133,175,212,70,57,9,11,26,5,21,6,15,2,4341,90,54,38,NA,74.96
Bradley Close,Geelong,21,124,153,277,53,21,6,56,19,13,NA,50,21,1400,1173,116,172,206,74,42,2,16,23,5,18,4,25,2,3608,113,45,31,18,82.24
Paul Curtis,North Melbourne,21,124,75,199,54,17,14,49,7,27,NA,42,19,976,922,100,103,125,63,53,13,15,9,NA,9,5,23,1,3481,88,51,19,26,73.38
Jesse Motlop,Carlton,21,123,86,209,38,24,7,50,15,16,NA,42,7,1062,973,85,124,133,64,40,4,11,2,NA,2,5,7,5,3648,80,50,25,29,70.57
Dylan Grimes,Richmond,22,121,77,198,52,NA,NA,48,24,24,NA,10,1,1076,817,92,91,154,78,50,6,NA,3,NA,3,42,114,1,2502,28,45,123,NA,79.27
Lachlan Bramble,Hawthorn,11,120,62,182,46,1,3,14,3,2,NA,23,3,575,684,40,128,122,67,27,2,NA,7,1,6,27,9,17,3688,30,37,31,NA,68.64
Callum Brown,GWS,19,118,83,201,77,19,14,32,11,6,12,35,10,1132,1012,81,125,143,71,30,19,21,7,2,5,11,33,3,3273,75,28,35,13,77.16
Sam Taylor,GWS,18,118,120,238,93,NA,NA,38,26,14,NA,10,1,1502,1009,143,96,202,85,29,36,NA,4,NA,4,50,147,NA,2319,43,28,178,NA,93.44
Reilly O'Brien,Adelaide,23,117,169,286,66,4,4,72,21,26,888,29,9,2203,2034,174,91,197,69,69,32,6,67,22,45,18,84,NA,1958,107,40,72,1,81.35
Sam Frost,Hawthorn,18,116,114,230,75,NA,1,36,5,23,11,8,NA,1021,893,96,136,177,77,62,13,3,6,2,4,39,71,2,2830,35,44,115,NA,91.11
Chad Wingard,Hawthorn,14,116,82,198,59,9,8,25,12,6,NA,35,13,750,845,59,138,124,63,35,1,11,13,2,11,6,9,6,2939,65,41,10,10,66.57
Tom Barrass,West Coast,14,115,66,181,93,NA,NA,6,8,12,2,3,NA,1121,754,68,114,164,91,25,25,NA,1,NA,1,38,133,1,2382,20,32,94,NA,95.79
Elliot Yeo,West Coast,10,115,59,174,34,1,NA,34,9,5,NA,28,1,800,701,65,86,137,79,27,4,NA,30,14,16,40,28,6,3821,28,48,40,2,65.8
Tom De Koning,Carlton,19,114,114,228,54,9,7,47,27,30,337,46,4,1426,1255,158,77,151,66,68,19,8,67,23,44,16,64,NA,3459,77,56,38,6,78.42
Jack Petruccelle,West Coast,18,114,108,222,46,10,7,55,12,9,NA,48,7,1035,968,100,128,160,72,32,2,5,36,11,25,11,20,11,4052,59,37,23,10,69.83
Nick Murray,Adelaide,17,114,52,166,67,NA,1,12,4,7,NA,15,1,1022,679,65,88,143,86,18,16,1,4,NA,4,59,137,NA,3525,27,30,74,NA,79.59
Ben Long,Gold Coast,15,114,57,171,42,NA,1,34,4,22,NA,11,2,752,657,73,89,121,71,51,5,NA,11,2,9,47,48,2,3007,27,37,77,NA,80.87
Lewis Young,Carlton,15,114,86,200,77,NA,2,16,7,9,60,12,1,992,851,72,119,152,76,35,15,NA,7,3,4,43,127,NA,2356,31,36,90,NA,88.6
Patrick Lipinski,Collingwood,14,114,135,249,40,5,2,47,8,9,NA,39,8,943,933,96,154,169,68,43,2,3,28,2,26,15,11,NA,3239,62,46,21,7,79.5
Alex Cincotta,Carlton,19,113,121,234,53,3,2,35,9,14,NA,35,1,992,867,85,148,187,80,31,4,2,15,2,13,31,36,2,3446,35,39,80,1,78.05
James Jordon,Melbourne,18,113,122,235,46,4,3,37,12,8,NA,43,5,869,884,72,171,182,77,33,NA,4,22,8,14,14,7,NA,3636,71,45,23,6,55
Will Phillips,North Melbourne,16,113,188,301,28,3,2,66,13,9,NA,44,9,1168,1069,133,176,224,74,39,2,3,64,31,33,17,11,3,3339,67,47,36,5,70.25
Dylan Stephens,Sydney,13,113,63,176,37,3,3,32,13,8,NA,26,4,754,714,70,114,119,68,33,1,3,12,1,11,20,16,1,3531,39,38,36,2,68.85
Daniel Rich,Brisbane,7,113,24,137,38,2,NA,2,6,5,NA,18,1,569,512,25,75,113,82,15,NA,NA,14,3,11,47,12,NA,3758,18,37,29,NA,72.14
Jye Amiss,Fremantle,22,112,56,168,79,41,17,30,15,10,NA,19,8,1184,1053,77,93,120,71,26,29,42,NA,NA,NA,NA,13,5,2922,100,33,6,17,78
Ben King,Gold Coast,20,112,46,158,67,40,21,9,24,13,NA,28,6,1132,911,95,69,100,63,35,23,46,2,NA,2,NA,21,1,3169,90,45,10,5,84.65
Rory Lobb,Western Bulldogs,20,112,94,206,65,24,18,35,19,9,156,27,9,1341,1169,103,111,137,66,33,20,30,18,6,12,8,56,NA,3025,92,36,26,8,85.2
Jake Waterman,West Coast,11,112,46,158,71,11,9,23,11,10,26,23,3,711,815,45,111,102,65,30,7,18,4,2,2,8,16,NA,2530,56,27,14,8,87.27
Will Setterfield,Essendon,10,112,96,208,47,2,3,60,8,4,NA,40,4,850,920,72,137,145,70,31,NA,3,31,12,19,15,9,1,3498,55,42,22,9,79.4
Jeremy McGovern,West Coast,9,110,42,152,64,NA,NA,9,6,5,NA,4,NA,758,633,40,89,131,86,19,9,NA,1,NA,1,41,42,1,2775,22,20,61,NA,73.11
Corey Wagner,Fremantle,9,110,47,157,41,NA,NA,31,8,8,NA,17,4,661,655,35,115,120,76,22,NA,1,10,NA,10,36,14,4,3372,21,29,30,NA,78.78
Mason Cox,Collingwood,19,109,47,156,69,17,13,26,29,17,325,23,7,1213,1150,96,59,102,65,43,29,25,23,4,19,9,55,NA,2313,75,33,27,6,66.37
Malcolm Rosas,Gold Coast,19,109,68,177,38,19,17,42,9,9,NA,30,6,979,858,80,96,118,67,27,1,9,11,3,8,3,12,7,3093,88,24,21,14,66.32
Tom Cole,West Coast,12,108,86,194,67,1,NA,29,8,12,NA,14,1,779,791,54,150,159,82,31,2,1,5,NA,5,34,20,2,2546,27,28,65,1,74.08
Matt Owies,Carlton,18,107,54,161,48,27,12,44,14,17,NA,25,10,965,886,72,96,105,65,39,2,29,7,1,6,1,18,1,2441,82,42,11,19,71.72
Daniel Howe,North Melbourne,11,107,53,160,40,2,1,24,7,8,NA,24,1,614,639,45,117,109,68,30,2,2,18,2,16,23,23,4,2588,31,34,26,1,68.45
Toby Bedford,GWS,19,105,145,250,44,12,16,97,15,12,NA,45,11,1161,1192,106,142,163,65,42,2,15,36,2,34,6,16,1,3557,92,47,30,40,82.37
Griffin Logue,North Melbourne,15,105,82,187,76,1,1,15,6,8,22,7,NA,998,778,71,117,150,80,27,15,2,1,NA,1,42,79,7,2164,24,33,89,NA,88.2
Charlie Dixon,Port Adelaide,14,105,67,172,67,23,12,30,10,20,104,30,5,1162,974,118,64,105,61,45,36,31,19,8,11,4,33,NA,2605,82,48,17,16,93.93
Dylan Shiel,Essendon,12,105,119,224,32,6,1,38,5,5,NA,39,6,833,828,87,130,160,71,30,NA,2,40,16,24,18,14,6,3839,62,43,14,4,62.83
Luke Shuey,West Coast,10,105,93,198,20,2,2,48,19,20,NA,32,7,782,726,82,119,148,75,36,NA,NA,43,17,26,11,11,8,2825,33,32,23,2,58.4
Xavier O'Halloran,GWS,15,103,83,186,31,11,8,43,10,13,NA,47,5,779,785,77,118,120,65,48,3,8,7,NA,7,6,18,NA,3423,55,52,30,16,72.4
Aaron Hall,North Melbourne,6,103,37,140,35,NA,NA,18,2,3,NA,21,1,530,553,27,98,107,76,14,1,NA,4,1,3,21,6,NA,2600,24,29,24,NA,82.5
Jaspa Fletcher,Brisbane,14,102,63,165,65,8,6,17,3,6,NA,28,4,770,734,56,108,131,79,19,4,4,15,1,14,15,5,6,2803,43,25,40,1,67.14
Josh Rotham,West Coast,13,102,28,130,68,NA,NA,18,7,17,9,12,3,600,603,27,111,106,82,34,2,1,NA,NA,NA,32,42,NA,2817,12,31,35,1,82.69
Nicholas Holman,Gold Coast,19,101,132,233,48,13,8,84,13,21,NA,31,14,1255,1083,115,125,165,71,45,7,12,15,5,10,7,26,1,2664,75,53,28,32,82.16
Sam Draper,Essendon,14,101,53,154,37,10,12,28,15,23,282,25,4,1058,932,102,48,88,57,45,16,11,43,18,25,14,46,NA,2940,69,37,23,3,76.71
Jye Menzie,Essendon,21,100,82,182,47,23,11,48,7,11,NA,32,11,984,920,74,111,117,64,29,6,16,3,1,2,3,17,3,2740,85,42,17,23,73.05
Brodie Grundy,Melbourne,17,100,143,243,46,10,4,49,29,29,349,46,3,1466,1275,137,117,164,67,59,14,6,50,12,38,12,39,7,2598,66,42,36,8,69.88
Billy Frampton,Collingwood,16,100,49,149,51,7,3,19,6,16,133,18,NA,887,763,54,95,106,71,37,10,4,10,4,6,34,83,1,2640,34,31,49,1,86
Xavier O'Neill,West Coast,15,100,82,182,37,4,5,60,12,16,NA,34,2,750,808,64,117,129,71,36,1,4,24,4,20,12,15,NA,2660,31,32,21,7,75.07
Riley Bonner,Port Adelaide,11,100,42,142,37,2,7,16,1,5,NA,22,2,560,564,36,105,100,70,13,NA,5,11,1,10,19,5,2,2952,40,21,23,3,65.18
Jed McEntee,Port Adelaide,22,99,108,207,48,14,3,64,10,21,NA,44,11,1018,947,87,123,138,67,44,2,13,7,3,4,4,21,NA,2657,75,51,26,28,75.95
Todd Goldstein,North Melbourne,20,99,161,260,45,4,2,38,34,28,584,35,9,1909,1466,173,97,191,73,56,18,3,73,27,46,23,70,NA,2699,72,47,50,1,79.3
Noah Long,West Coast,19,99,111,210,46,7,10,48,9,9,NA,32,11,985,883,94,120,157,75,30,2,7,19,4,15,3,10,2,2671,65,34,16,19,78.11
Cooper Sharman,St Kilda,16,97,49,146,57,15,5,23,9,5,3,34,6,849,744,67,79,108,74,26,14,17,8,NA,8,11,40,NA,2817,52,27,19,7,67
Paddy Dow,Carlton,10,96,63,159,15,2,1,25,7,4,NA,42,6,550,567,64,94,103,65,19,1,NA,42,24,18,10,5,NA,3459,42,34,16,6,53.5
Sean Darcy,Fremantle,15,95,112,207,51,4,6,48,20,20,587,42,8,1582,1431,142,68,133,64,39,23,10,61,18,43,5,33,NA,2478,81,41,33,7,74.47
Rhyan Mansell,Richmond,17,94,38,132,40,10,5,43,13,9,NA,30,2,688,701,48,85,86,65,25,1,8,4,1,3,6,22,NA,2416,50,34,19,15,60
Lachlan Jones,Port Adelaide,15,94,66,160,45,4,1,25,6,5,3,19,3,877,668,75,89,126,79,30,10,2,5,1,4,35,64,1,2957,31,29,68,2,79.93
Neil Erasmus,Fremantle,14,94,81,175,43,1,1,43,11,13,NA,23,NA,597,724,59,118,118,67,32,NA,2,26,6,20,19,9,NA,2746,24,38,22,4,51
Tom Powell,North Melbourne,14,94,136,230,39,7,4,27,2,8,NA,41,5,782,803,65,167,163,71,43,NA,3,28,12,16,10,10,12,2882,61,41,18,6,76.79
Sam Petrevski-Seton,West Coast,13,94,83,177,35,3,3,43,6,3,NA,19,8,853,743,74,108,141,80,17,2,5,14,1,13,11,10,NA,1902,54,25,28,12,73.38
Esava Ratugolea,Geelong,16,93,49,142,70,NA,NA,22,10,13,2,9,NA,893,648,64,76,113,80,35,23,NA,1,NA,1,37,98,NA,1911,19,25,92,NA,83.56
Brandon Walker,Fremantle,14,93,52,145,41,NA,NA,19,7,16,NA,10,NA,644,541,48,105,118,81,31,4,NA,NA,NA,NA,28,30,NA,1968,16,27,51,NA,80.64
Eddie Ford,North Melbourne,14,92,103,195,66,12,4,20,7,12,NA,26,6,884,807,70,126,153,78,25,9,13,6,NA,6,8,17,1,2339,59,37,38,10,78.43
Charlie Spargo,Melbourne,14,92,48,140,45,11,6,26,8,8,NA,27,10,674,667,34,106,102,73,23,2,8,NA,NA,NA,6,5,2,2091,54,28,16,12,63.57
Ben Paton,St Kilda,12,92,70,162,53,NA,NA,18,9,1,NA,14,1,591,653,44,117,122,75,18,3,NA,4,1,3,21,17,2,2213,26,31,50,NA,66.08
Tom Doedee,Adelaide,11,92,73,165,49,NA,NA,15,6,8,NA,10,NA,749,611,50,109,135,82,22,5,NA,4,NA,4,32,64,NA,2199,26,26,66,NA,86.73
Nathan O'Driscoll,Fremantle,10,92,43,135,43,1,2,20,7,7,NA,19,2,499,565,36,103,95,70,24,NA,2,13,NA,13,8,11,2,2197,25,28,24,3,73.7
Adam Tomlinson,Melbourne,9,91,30,121,39,NA,1,15,8,8,NA,8,NA,600,495,38,72,95,79,20,3,NA,1,NA,1,39,47,NA,2271,26,22,48,1,93
Andrew Phillips,Essendon,20,90,62,152,46,5,7,48,21,19,414,27,8,1199,1139,96,61,105,69,46,16,9,36,18,18,10,66,NA,2099,65,31,31,7,69.9
Jacob Van Rooyen,Melbourne,20,90,84,174,62,28,9,43,19,16,74,24,7,1262,1018,86,95,136,78,31,19,30,7,2,5,NA,42,NA,2260,79,30,9,22,74
Marc Pittonet,Carlton,18,89,82,171,24,NA,1,32,17,24,446,16,3,1218,1023,114,56,103,60,42,7,1,56,22,34,6,45,NA,1250,54,34,35,7,69.22
Tom McCartin,Sydney,15,89,100,189,60,NA,NA,21,12,10,NA,7,NA,1099,713,90,99,149,79,24,17,NA,2,NA,2,37,136,3,2313,28,34,104,NA,87
Gary Rohan,Geelong,15,89,45,134,45,18,9,35,11,4,5,30,8,921,753,70,69,99,74,24,15,19,7,1,6,4,17,3,2640,68,20,25,13,71.47
Will Snelling,Essendon,15,89,82,171,44,6,3,47,9,2,NA,22,8,782,793,55,118,128,75,24,2,10,13,2,11,11,22,NA,2286,48,38,22,18,65.6
Bailey Banfield,Fremantle,14,89,71,160,41,11,9,16,6,4,NA,25,8,788,665,67,97,107,67,24,5,14,4,NA,4,4,21,4,2530,58,31,17,9,72.5
Aaron Francis,Sydney,15,88,53,141,61,1,4,19,14,10,NA,7,2,731,623,57,84,102,72,35,14,6,NA,NA,NA,32,79,NA,1999,26,30,68,3,73.07
Elijah Hewett,West Coast,14,88,100,188,28,4,7,24,6,11,NA,26,1,638,648,84,102,108,57,37,NA,4,34,13,21,18,10,NA,2227,32,42,18,3,63.36
Jamie Cripps,West Coast,12,88,69,157,40,16,12,55,4,7,NA,22,8,830,833,52,113,108,69,27,1,18,13,1,12,2,9,4,2562,62,28,13,24,83.5
Sam Weideman,Essendon,16,87,59,146,65,15,15,18,13,5,13,24,9,792,762,64,85,100,68,26,16,20,7,1,6,4,12,NA,1940,69,28,9,10,82.62
Jack Ginnivan,Collingwood,14,87,40,127,32,12,8,16,5,5,NA,27,9,649,571,47,76,85,67,24,1,13,7,NA,7,4,11,NA,2165,52,26,8,7,58.79
Miller Bergman,North Melbourne,12,87,51,138,42,NA,NA,13,7,2,NA,13,4,558,542,33,108,115,83,17,1,NA,4,1,3,23,20,1,2196,21,22,30,NA,71.42
Laitham Vandermeer,Western Bulldogs,11,87,60,147,30,2,4,28,3,6,NA,33,3,574,584,38,112,108,73,22,NA,3,8,1,7,20,20,NA,3027,39,28,33,2,74.82
Reuben Ginbey,West Coast,17,86,147,233,25,1,2,101,9,21,NA,34,4,1079,985,115,127,169,73,53,3,1,42,13,29,22,22,1,2552,36,43,35,13,69.82
Josh Treacy,Fremantle,17,86,68,154,58,15,6,44,15,11,67,37,3,961,889,77,82,118,77,30,15,16,10,3,7,2,50,1,2738,58,28,18,14,78.47
Luke Edwards,West Coast,14,86,73,159,42,NA,NA,37,9,9,NA,12,1,629,660,50,111,121,76,18,NA,1,24,5,19,10,9,1,1539,32,29,20,7,69.14
Cameron Mackenzie,Hawthorn,14,86,100,186,26,3,6,37,3,10,NA,35,9,680,681,68,127,137,74,30,1,3,21,7,14,6,4,5,2246,55,28,12,5,63.57
Jordon Butts,Adelaide,17,85,58,143,56,NA,NA,16,10,15,NA,3,NA,713,568,48,90,123,86,27,5,NA,1,NA,1,40,86,NA,2046,19,26,61,NA,77.71
Lance Franklin,Sydney,13,84,38,122,53,19,13,29,18,27,NA,21,8,742,667,60,69,77,63,49,22,27,2,NA,2,NA,25,1,1947,64,46,7,13,84.62
Jake Melksham,Melbourne,13,84,19,103,50,20,11,20,7,8,NA,30,5,571,634,39,63,52,50,37,11,26,NA,NA,NA,1,12,NA,2309,54,37,7,14,69.69
Ash Johnson,Collingwood,15,83,38,121,53,21,10,23,10,17,15,21,6,746,686,63,60,84,69,34,19,23,2,1,1,1,14,NA,1759,65,23,20,5,70.93
Michael Hibberd,Melbourne,12,83,50,133,36,NA,NA,11,9,7,NA,6,1,711,489,57,76,110,83,18,5,NA,1,1,NA,41,53,NA,2533,16,28,68,NA,78.58
Sean Lemmens,Gold Coast,11,83,22,105,38,NA,1,19,8,9,NA,3,NA,531,465,39,69,82,78,20,5,1,6,NA,6,36,22,1,1909,19,24,32,1,70.55
Jordan Boyd,Carlton,9,83,29,112,26,NA,2,21,5,4,NA,15,NA,487,464,31,75,84,75,15,1,NA,5,1,4,27,20,1,2404,17,20,37,NA,82.11
Callum Ah Chee,Brisbane,12,81,45,126,42,6,5,27,9,14,NA,19,5,661,575,57,74,88,70,26,9,8,10,2,8,8,15,1,2043,39,31,25,6,60
Jack Henry,Geelong,11,81,37,118,47,4,NA,15,9,4,6,7,1,729,545,54,62,96,81,17,11,4,3,NA,3,23,50,NA,1698,25,19,56,2,87.82
Campbell Chesser,West Coast,14,80,83,163,33,NA,4,27,5,9,NA,20,1,500,595,44,128,109,67,37,1,1,14,4,10,13,10,2,2260,28,39,17,8,73.14
Jed Bews,Geelong,15,79,78,157,36,NA,1,30,3,8,NA,13,1,673,601,71,80,113,72,31,2,NA,6,1,5,24,20,NA,2149,16,28,76,2,77.93
Tyler Brockman,Hawthorn,15,79,88,167,50,13,8,34,5,6,NA,29,10,819,772,53,112,129,77,25,1,20,2,NA,2,4,16,8,2603,71,30,21,16,69.8
Josh Goater,North Melbourne,10,79,61,140,46,NA,1,13,7,4,NA,12,3,562,545,34,107,109,78,17,NA,1,6,1,5,25,18,7,2086,23,25,40,NA,75.2
Anthony Caminiti,St Kilda,18,78,74,152,60,19,9,50,14,19,26,32,9,897,868,76,76,113,74,42,15,22,4,NA,4,1,15,1,2577,64,43,8,27,77.89
Joel Amartey,Sydney,15,78,39,117,58,20,15,25,12,6,46,26,7,827,761,61,62,81,69,18,18,28,7,2,5,2,18,NA,2377,63,23,10,12,60.47
Harrison Petty,Melbourne,14,78,64,142,64,12,1,31,7,15,12,8,NA,849,725,57,88,119,84,28,13,19,2,NA,2,13,48,NA,1869,33,21,49,8,77.86
Rhys Stanley,Geelong,13,78,77,155,30,NA,3,32,22,24,368,25,3,924,927,80,71,101,65,48,3,4,30,11,19,13,57,NA,1914,40,32,29,1,77.46
Daniel McStay,Collingwood,14,77,41,118,53,20,7,31,8,9,29,16,5,814,733,59,58,75,64,30,19,25,11,7,4,3,29,NA,1924,59,20,8,12,82.86
Hugo Ralphsmith,Richmond,13,77,66,143,43,1,2,6,NA,6,NA,25,4,480,506,43,91,100,70,30,3,1,5,NA,5,16,15,3,2556,28,33,47,NA,56.85
Lachlan Fogarty,Carlton,12,77,72,149,28,4,4,58,5,4,NA,28,9,706,712,59,91,103,69,21,NA,4,15,7,8,9,11,1,1905,57,30,13,23,76.42
Changkuoth Jiath,Hawthorn,8,77,59,136,28,1,NA,10,6,11,NA,14,2,498,452,40,93,103,76,31,2,NA,5,1,4,22,30,5,2009,26,28,45,NA,77.38
Caleb Marchbank,Carlton,8,77,34,111,46,NA,NA,16,7,7,NA,8,2,484,487,35,77,81,73,25,5,NA,NA,NA,NA,15,38,NA,1777,17,29,51,NA,77.5
Cameron Guthrie,Geelong,6,77,57,134,25,NA,NA,31,4,9,NA,18,1,502,521,47,79,87,65,32,1,1,19,9,10,9,9,2,1527,20,28,19,3,72.83
Harry Schoenberg,Adelaide,11,76,73,149,29,2,4,27,6,11,NA,27,4,578,558,53,89,109,73,24,1,3,26,9,17,10,7,3,2311,45,19,18,3,58.73
Jack Martin,Carlton,13,75,67,142,46,17,10,31,12,13,NA,18,5,772,706,63,83,109,77,30,8,18,7,NA,7,5,12,NA,1749,61,24,6,14,71.92
Ned McHenry,Adelaide,11,75,56,131,39,4,NA,13,8,16,NA,20,7,462,490,40,95,100,76,30,NA,3,4,NA,4,7,5,1,2151,40,30,23,NA,48.73
Peter Ladhams,Sydney,9,75,62,137,29,4,1,18,13,14,182,29,3,627,686,68,68,90,66,42,3,4,37,13,24,8,24,NA,1738,35,27,20,NA,71.22
Max King,St Kilda,11,73,30,103,48,28,12,10,11,11,3,19,6,661,624,55,47,65,63,22,19,27,3,NA,3,NA,4,NA,2146,62,24,5,6,76.82
Luke Foley,West Coast,9,72,42,114,41,NA,NA,20,6,6,NA,12,1,500,491,28,86,85,75,19,1,NA,4,NA,4,14,25,NA,1716,7,26,32,NA,83.22
Elijah Hollands,Gold Coast,9,72,42,114,23,3,2,23,3,8,NA,15,1,445,460,44,73,74,65,32,1,1,9,NA,9,13,5,1,2119,25,40,14,5,72.44
Deven Robertson,Brisbane,16,71,73,144,34,3,2,42,9,11,NA,18,4,718,625,69,74,103,72,29,2,3,25,6,19,6,18,NA,1709,39,33,21,13,58.06
Ned Reeves,Hawthorn,21,70,100,170,31,2,2,57,17,25,592,19,NA,1411,1279,113,62,110,65,55,9,3,51,17,34,8,54,NA,1323,67,32,34,7,74
Judson Clarke,Richmond,13,68,47,115,26,11,3,18,5,2,NA,29,1,563,516,47,74,77,67,19,2,5,8,NA,8,5,7,5,2340,31,28,18,6,58
Matt Guelfi,Essendon,13,68,70,138,30,14,4,37,13,9,NA,19,2,706,656,68,67,95,69,29,6,7,10,1,9,1,14,NA,1592,49,33,16,10,69.46
Caleb Poulter,Western Bulldogs,9,68,65,133,24,3,1,24,4,5,NA,19,5,516,510,40,97,94,71,18,1,1,7,NA,7,4,12,2,2305,35,29,27,3,75.67
Hugh Greenwood,North Melbourne,14,66,135,201,29,3,4,69,8,15,14,16,4,845,830,134,72,143,71,37,10,3,45,22,23,3,23,NA,1177,45,29,36,11,65.21
Samson Ryan,Richmond,14,66,33,99,40,12,5,11,7,10,171,20,2,759,653,50,49,68,69,26,11,15,16,8,8,10,23,NA,1949,46,27,15,2,69.5
Corey Durdin,Carlton,11,66,31,97,16,11,7,44,5,6,NA,14,3,579,544,41,56,71,73,14,NA,5,6,2,4,3,4,NA,1563,41,15,5,17,74
Sam Sturt,Fremantle,14,65,54,119,45,17,9,17,5,7,NA,20,5,626,601,38,86,83,70,20,2,20,3,1,2,NA,8,2,2097,50,25,12,5,70.43
Finn Maginness,Hawthorn,13,65,69,134,41,1,2,26,3,4,NA,15,2,490,559,34,101,101,75,18,NA,3,4,1,3,12,4,4,1518,30,24,19,6,81.62
Sam Wicks,Sydney,11,65,52,117,19,10,9,59,4,10,NA,21,11,641,635,44,62,82,70,20,NA,5,8,2,6,2,9,NA,1536,51,24,14,23,81.36
David Cuningham,Carlton,12,64,102,166,26,6,4,45,6,4,NA,26,6,707,688,58,112,117,70,23,1,9,16,2,14,4,8,5,2002,45,28,9,7,72.75
James Peatling,GWS,10,64,44,108,26,NA,6,30,8,4,NA,21,4,491,480,45,66,72,67,20,3,3,5,1,4,6,13,2,1894,36,19,18,12,71.4
Peter Wright,Essendon,10,64,32,96,44,19,10,13,6,5,25,14,4,644,580,46,55,69,72,15,11,22,2,NA,2,2,23,NA,1975,45,23,11,8,91.5
Thomas Jonas,Port Adelaide,13,63,36,99,44,1,NA,19,9,8,NA,6,NA,605,460,34,69,77,78,25,2,NA,2,NA,2,25,84,NA,1230,13,20,47,NA,89
Tim O'Brien,Western Bulldogs,7,63,17,80,36,NA,NA,9,5,1,NA,10,1,442,369,22,58,66,82,6,1,NA,1,NA,1,21,37,NA,1413,12,11,40,NA,80
Ryan Angwin,GWS,15,62,84,146,31,1,1,33,4,2,NA,25,5,598,584,52,100,102,70,20,1,5,13,1,12,9,18,4,1959,32,28,32,1,62
Tom Hickey,Sydney,12,62,84,146,26,NA,3,29,15,22,284,27,4,865,784,95,57,104,71,36,7,2,38,14,24,8,34,NA,1612,42,20,26,2,73.67
Rhylee West,Western Bulldogs,12,62,75,137,29,7,6,42,6,8,NA,23,11,687,621,51,88,99,72,22,3,5,11,1,10,NA,17,NA,1649,53,25,11,12,68.75
Ben Cunnington,North Melbourne,9,62,116,178,20,3,2,23,7,10,NA,21,4,640,567,102,85,135,76,30,1,2,47,19,28,6,3,NA,1512,35,27,26,4,66.22
Ryan Gardner,Western Bulldogs,10,61,28,89,36,1,NA,15,5,10,NA,6,NA,541,388,34,59,67,75,23,3,NA,3,NA,3,21,100,NA,1580,7,16,44,NA,96.9
Mitchell Knevitt,Geelong,8,61,34,95,24,2,3,19,5,3,NA,18,4,438,410,42,55,60,63,13,7,4,5,NA,5,12,4,NA,1839,24,24,22,3,59.38
James O'Donnell,Western Bulldogs,12,60,39,99,34,1,2,9,2,3,NA,9,3,448,397,37,61,65,66,20,7,2,4,1,3,15,41,2,1728,15,26,33,NA,71.83
Kayne Turner,North Melbourne,12,60,55,115,36,2,2,37,4,2,NA,18,6,618,558,45,69,86,75,12,2,3,6,NA,6,3,18,1,1649,38,20,14,7,75.58
Alex Davies,Gold Coast,9,60,69,129,15,1,3,39,7,12,NA,21,3,523,499,74,61,75,58,31,2,1,24,6,18,5,17,NA,1628,28,37,17,9,70.11
Zaine Cordy,St Kilda,14,59,43,102,43,7,NA,18,5,7,34,11,5,624,524,41,68,77,75,18,4,8,2,NA,2,13,46,NA,1271,27,19,43,4,69.21
Joel Smith,Melbourne,14,59,28,87,37,11,4,32,5,8,1,9,2,655,524,43,48,64,74,16,10,14,2,NA,2,5,46,1,1349,31,16,18,10,65.71
Greg Clark,West Coast,12,59,75,134,31,2,3,26,4,12,1,12,NA,403,508,33,102,98,73,30,1,1,7,NA,7,10,8,NA,1641,25,18,11,5,69.33
