AgeClass,Name,Sex,Event,Equipment,Age,BirthYearClass,Division,BodyweightKg,WeightClassKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,Lift,Best_lift
13-15,Jacob Corven,M,SBD,Raw,14.5,14-18,MR-T1,74.3,75,387.5,1,279.68,277.94,268.66,56.77,Yes,USA,OH,USAPL,Best3BenchKg,87.5
13-15,Jacob Corven,M,SBD,Raw,14.5,14-18,MR-T1,74.3,75,387.5,1,279.68,277.94,268.66,56.77,Yes,USA,OH,USAPL,Best3DeadliftKg,172.5
13-15,Thomas Jonen,M,SBD,Raw,15,14-18,M_TR_1_AAPF,63.9,67.5,265,1,212.76,213.79,208.07,42.02,Yes,NA,NA,APF,Best3SquatKg,102.5
13-15,Thomas Jonen,M,SBD,Raw,15,14-18,M_TR_1_AAPF,63.9,67.5,265,1,212.76,213.79,208.07,42.02,Yes,NA,NA,APF,Best3BenchKg,55
13-15,Thomas Jonen,M,SBD,Raw,15,14-18,M_TR_1_AAPF,63.9,67.5,265,1,212.76,213.79,208.07,42.02,Yes,NA,NA,APF,Best3DeadliftKg,107.5
13-15,Dmitriy Belotserkovets,M,SBD,Single-ply,13.5,14-18,Sub-Juniors,60.8,66,260,4,217.09,219.1,213.8,36.99,Yes,NA,NA,FPR,Best3SquatKg,110
13-15,Dmitriy Belotserkovets,M,SBD,Single-ply,13.5,14-18,Sub-Juniors,60.8,66,260,4,217.09,219.1,213.8,36.99,Yes,NA,NA,FPR,Best3BenchKg,50
13-15,Dmitriy Belotserkovets,M,SBD,Single-ply,13.5,14-18,Sub-Juniors,60.8,66,260,4,217.09,219.1,213.8,36.99,Yes,NA,NA,FPR,Best3DeadliftKg,100
13-15,Igor Parfenov,M,SBD,Raw,14.5,14-18,T1,65.9,67.5,327.5,1,256.89,257.47,250.21,51.09,Yes,Ukraine,NA,RAW-UKR,Best3SquatKg,115
13-15,Igor Parfenov,M,SBD,Raw,14.5,14-18,T1,65.9,67.5,327.5,1,256.89,257.47,250.21,51.09,Yes,Ukraine,NA,RAW-UKR,Best3BenchKg,77.5
13-15,Igor Parfenov,M,SBD,Raw,14.5,14-18,T1,65.9,67.5,327.5,1,256.89,257.47,250.21,51.09,Yes,Ukraine,NA,RAW-UKR,Best3DeadliftKg,135
13-15,Mike Maroney,M,SBD,Raw,12.5,NA,MR-Y3,58.9,59,327.5,1,280.7,284.12,277.74,54.24,Yes,USA,CT,USAPL,Best3SquatKg,117.5
13-15,Mike Maroney,M,SBD,Raw,12.5,NA,MR-Y3,58.9,59,327.5,1,280.7,284.12,277.74,54.24,Yes,USA,CT,USAPL,Best3BenchKg,80
13-15,Mike Maroney,M,SBD,Raw,12.5,NA,MR-Y3,58.9,59,327.5,1,280.7,284.12,277.74,54.24,Yes,USA,CT,USAPL,Best3DeadliftKg,130
13-15,Gel Kaddour Schulze,M,SBD,Raw,13.5,14-18,Sub-Juniors,96.35,105,265,1,165.83,163.81,156.59,34.08,Yes,Germany,BB,BVDK,Best3SquatKg,100
13-15,Gel Kaddour Schulze,M,SBD,Raw,13.5,14-18,Sub-Juniors,96.35,105,265,1,165.83,163.81,156.59,34.08,Yes,Germany,BB,BVDK,Best3BenchKg,55
13-15,Gel Kaddour Schulze,M,SBD,Raw,13.5,14-18,Sub-Juniors,96.35,105,265,1,165.83,163.81,156.59,34.08,Yes,Germany,BB,BVDK,Best3DeadliftKg,110
13-15,Joel Bell #2,M,SBD,Single-ply,14,14-18,M-T1,44.1,52,195,1,221.23,230.36,228.51,36.49,Yes,NA,NA,USAPL,Best3SquatKg,65
13-15,Joel Bell #2,M,SBD,Single-ply,14,14-18,M-T1,44.1,52,195,1,221.23,230.36,228.51,36.49,Yes,NA,NA,USAPL,Best3BenchKg,37.5
13-15,Joel Bell #2,M,SBD,Single-ply,14,14-18,M-T1,44.1,52,195,1,221.23,230.36,228.51,36.49,Yes,NA,NA,USAPL,Best3DeadliftKg,92.5
13-15,Dmitro Rozhanskiy,M,SBD,Single-ply,15,14-18,Open,82.4,83,657.5,6,445.69,440.78,424.14,76.25,Yes,Ukraine,NA,UkrainePF,Best3SquatKg,260
13-15,Dmitro Rozhanskiy,M,SBD,Single-ply,15,14-18,Open,82.4,83,657.5,6,445.69,440.78,424.14,76.25,Yes,Ukraine,NA,UkrainePF,Best3BenchKg,155
13-15,Dmitro Rozhanskiy,M,SBD,Single-ply,15,14-18,Open,82.4,83,657.5,6,445.69,440.78,424.14,76.25,Yes,Ukraine,NA,UkrainePF,Best3DeadliftKg,242.5
13-15,Sergey Platonov,M,SBD,Single-ply,13.5,14-18,Sub-Juniors,59,59,240,2,205.41,207.88,203.19,34.94,Yes,Russia,NA,FPR,Best3SquatKg,72.5
13-15,Sergey Platonov,M,SBD,Single-ply,13.5,14-18,Sub-Juniors,59,59,240,2,205.41,207.88,203.19,34.94,Yes,Russia,NA,FPR,Best3BenchKg,55
13-15,Sergey Platonov,M,SBD,Single-ply,13.5,14-18,Sub-Juniors,59,59,240,2,205.41,207.88,203.19,34.94,Yes,Russia,NA,FPR,Best3DeadliftKg,112.5
13-15,Riley Mcdonald,M,SBD,Raw,12.5,NA,MR-Y3,56.8,59,170,1,150.28,152.64,149.53,28.71,Yes,USA,AL,USAPL,Best3SquatKg,45
13-15,Riley Mcdonald,M,SBD,Raw,12.5,NA,MR-Y3,56.8,59,170,1,150.28,152.64,149.53,28.71,Yes,USA,AL,USAPL,Best3BenchKg,32.5
13-15,Riley Mcdonald,M,SBD,Raw,12.5,NA,MR-Y3,56.8,59,170,1,150.28,152.64,149.53,28.71,Yes,USA,AL,USAPL,Best3DeadliftKg,92.5
13-15,Theodor Hopp,M,SBD,Single-ply,14,14-18,Jugend,55.9,56,295,2,264.46,269.02,263.79,44.82,Yes,NA,NA,BVDG,Best3SquatKg,107.5
13-15,Theodor Hopp,M,SBD,Single-ply,14,14-18,Jugend,55.9,56,295,2,264.46,269.02,263.79,44.82,Yes,NA,NA,BVDG,Best3BenchKg,60
13-15,Theodor Hopp,M,SBD,Single-ply,14,14-18,Jugend,55.9,56,295,2,264.46,269.02,263.79,44.82,Yes,NA,NA,BVDG,Best3DeadliftKg,127.5
13-15,Samuel Talley,M,SBD,Raw,15,14-18,RT 14-15,70.76,75,292.5,4,218.08,217.41,210.59,43.96,Yes,USA,NC,AAU,Best3SquatKg,107.5
