"School","Points","Goal Differential","Goals Scored","Goals Conceded","Wins","Losses","Ties","Record (W-L-T)","Games","PPG","Goal Differential Per Game","Win Percentage"
"Eastern",8,-16,13,29,1,12,5,"1-12-5",18,0.444444444444444,-0.888888888888889,0.0555555555555556
"Birmingham-Southern",8,-21,8,29,2,10,2,"2-10-2",14,0.571428571428571,-1.5,0.142857142857143
"Rhode Island College",8,-22,10,32,2,10,2,"2-10-2",14,0.571428571428571,-1.57142857142857,0.142857142857143
"Centenary (La.)",8,-26,15,41,2,15,2,"2-15-2",19,0.421052631578947,-1.36842105263158,0.105263157894737
"Illinois College",8,-31,11,42,2,11,2,"2-11-2",15,0.533333333333333,-2.06666666666667,0.133333333333333
"Muhlenberg",8,-33,7,40,2,13,2,"2-13-2",17,0.470588235294118,-1.94117647058824,0.117647058823529
"Medaille",8,-35,10,45,2,11,2,"2-11-2",15,0.533333333333333,-2.33333333333333,0.133333333333333
"Asbury",8,-40,16,56,2,12,2,"2-12-2",16,0.5,-2.5,0.125
"Berea",8,-41,17,58,2,12,2,"2-12-2",16,0.5,-2.5625,0.125
"Olivet",7,-16,6,22,2,8,1,"2-8-1",11,0.636363636363636,-1.45454545454545,0.181818181818182
"Pfeiffer",7,-22,13,35,2,11,1,"2-11-1",14,0.5,-1.57142857142857,0.142857142857143
"NVU-Johnson",7,-24,8,32,1,7,4,"1-7-4",12,0.583333333333333,-2,0.0833333333333333
"Stevenson",7,-25,9,34,1,13,4,"1-13-4",18,0.388888888888889,-1.38888888888889,0.0555555555555556
"Manchester",7,-35,8,43,2,12,1,"2-12-1",15,0.466666666666667,-2.33333333333333,0.133333333333333
"Maranatha Baptist",7,-38,9,47,2,8,1,"2-8-1",11,0.636363636363636,-3.45454545454545,0.181818181818182
"Lehman",7,-41,21,62,2,9,1,"2-9-1",12,0.583333333333333,-3.41666666666667,0.166666666666667
"Agnes Scott",7,-44,8,52,2,12,1,"2-12-1",15,0.466666666666667,-2.93333333333333,0.133333333333333
"Mount Holyoke",7,-46,11,57,2,15,1,"2-15-1",18,0.388888888888889,-2.55555555555556,0.111111111111111
"Hiram",7,-47,8,55,2,14,1,"2-14-1",17,0.411764705882353,-2.76470588235294,0.117647058823529
"Massachusetts Maritime",6,-13,6,19,1,9,3,"1-9-3",13,0.461538461538462,-1,0.0769230769230769
"Warren Wilson",6,-13,7,20,2,5,0,"2-5-0",7,0.857142857142857,-1.85714285714286,0.285714285714286
"University of the Ozarks",6,-16,11,27,1,8,3,"1-8-3",12,0.5,-1.33333333333333,0.0833333333333333
"Bryn Mawr",6,-32,11,43,1,13,3,"1-13-3",17,0.352941176470588,-1.88235294117647,0.0588235294117647
"Knox",6,-35,5,40,1,11,3,"1-11-3",15,0.4,-2.33333333333333,0.0666666666666667
"MCLA",6,-37,6,43,1,10,3,"1-10-3",14,0.428571428571429,-2.64285714285714,0.0714285714285714
"Thiel",6,-40,16,56,2,12,0,"2-12-0",14,0.428571428571429,-2.85714285714286,0.142857142857143
"Brooklyn",6,-46,18,64,2,13,0,"2-13-0",15,0.4,-3.06666666666667,0.133333333333333
"Gwynedd-Mercy",6,-56,9,65,1,12,3,"1-12-3",16,0.375,-3.5,0.0625
"Millsaps",5,-16,2,18,1,8,2,"1-8-2",11,0.454545454545455,-1.45454545454545,0.0909090909090909
"NVU-Lyndon",5,-26,3,29,1,9,2,"1-9-2",12,0.416666666666667,-2.16666666666667,0.0833333333333333
"Eastern Nazarene",5,-35,13,48,1,13,2,"1-13-2",16,0.3125,-2.1875,0.0625
"SUNY-Cobleskill",5,-35,8,43,1,11,2,"1-11-2",14,0.357142857142857,-2.5,0.0714285714285714
"Austin",4,-46,7,53,1,15,1,"1-15-1",17,0.235294117647059,-2.70588235294118,0.0588235294117647
"Coe",4,-53,10,63,1,14,1,"1-14-1",16,0.25,-3.3125,0.0625
"Wells",4,-61,14,75,1,13,1,"1-13-1",15,0.266666666666667,-4.06666666666667,0.0666666666666667
"York (N.Y.)",3,-21,7,28,1,3,0,"1-3-0",4,0.75,-5.25,0.25
"St. Mary's (Ind.)",3,-28,8,36,0,13,3,"0-13-3",16,0.1875,-1.75,0
"Meredith",3,-29,5,34,0,9,3,"0-9-3",12,0.25,-2.41666666666667,0
"SUNY Canton",3,-34,4,38,0,13,3,"0-13-3",16,0.1875,-2.125,0
"Mount Mary",3,-62,7,69,0,9,3,"0-9-3",12,0.25,-5.16666666666667,0
"Defiance",3,-72,4,76,1,14,0,"1-14-0",15,0.2,-4.8,0.0666666666666667
"Blackburn",3,-105,6,111,1,16,0,"1-16-0",17,0.176470588235294,-6.17647058823529,0.0588235294117647
"Sweet Briar",3,-121,9,130,1,13,0,"1-13-0",14,0.214285714285714,-8.64285714285714,0.0714285714285714
"Wesleyan (Ga.)",1,-41,3,44,0,10,1,"0-10-1",11,0.0909090909090909,-3.72727272727273,0
"Rivier",1,-68,5,73,0,14,1,"0-14-1",15,0.0666666666666667,-4.53333333333333,0
"Yeshiva",1,-104,2,106,0,13,1,"0-13-1",14,0.0714285714285714,-7.42857142857143,0
"Alverno",1,-122,1,123,0,12,1,"0-12-1",13,0.0769230769230769,-9.38461538461539,0
