name,team,position,height,height_inches,wingspan,wingspan_inches,wingspan_advantage,games,minutes,avg_dist_of_fg,2pt_rate,3pt_rate,fg_percent,2pt_percent,3pt_percent,ft_percent,e_fg_percent,ts_percent,pts,trb,stl,blk,d_rtg,dws,dbpm
Patrick Williams,CHI,SF,"6'7""",79,"6'11""",83,4,63,1576,16.6,0.473,0.527,0.397,0.447,0.353,0.723,0.49,0.512,12.9,5.4,1.1,0.7,117,1.3,-0.7
Paul George,PHI,SF,"6'7.75""",79.75,"6'11.25""",83.25,3.5,41,1334,18,0.53,0.47,0.43,0.493,0.358,0.814,0.514,0.543,17.9,5.9,2,0.5,116,1.2,0.1
Payton Pritchard,BOS,PG,"6'1""",73,"6'4""",76,3,80,2271,21.3,0.277,0.723,0.472,0.642,0.407,0.845,0.62,0.633,18.1,4.9,1.1,0.2,114,2.5,0.2
Peyton Watson,DEN,SF,"6'6.75""",78.75,"7'0.5""",84.5,5.75,68,1656,10.7,0.682,0.318,0.477,0.534,0.353,0.693,0.533,0.564,12,5.1,1,2,116,1.5,0.3
Precious Achiuwa,NYK,PF,"6'7.5""",79.5,"7'0.75""",84.75,5.25,57,1170,6.2,0.89,0.11,0.502,0.529,0.278,0.594,0.517,0.53,11.7,9.8,1.4,1.3,111,1.7,0.2
Quentin Grimes,PHI,SG,"6'4""",76,"6'7.75""",79.75,3.75,75,2013,16.2,0.488,0.512,0.467,0.552,0.385,0.757,0.565,0.595,19.5,5.8,1.3,0.4,118,1.4,-0.9
RJ Barrett,TOR,SF,"6'5""",77,"6'10""",82,5,58,1869,10.9,0.688,0.312,0.468,0.522,0.35,0.63,0.523,0.547,23.6,7,0.9,0.3,116,1.7,-0.7
Reed Sheppard,HOU,PG,"6'1.75""",73.75,"6'3.25""",75.25,1.5,52,654,19.5,0.406,0.594,0.351,0.371,0.338,0.813,0.452,0.465,12.6,4.3,1.9,0.9,110,1,1.3
Richaun Holmes,WAS,C,"6'8.25""",80.25,"7'1.5""",85.5,5.25,31,534,3.6,0.978,0.022,0.647,0.662,0,0.833,0.647,0.695,15.5,11.9,0.6,1.6,117,0.4,0
Rob Dillingham,MIN,PG,"6'1""",73,"6'3""",75,2,49,516,13.9,0.649,0.351,0.441,0.496,0.338,0.533,0.5,0.503,15.3,3.5,1.4,0.1,114,0.6,-0.9
Ron Holland,DET,SG,"6'6.5""",78.5,"6'10.75""",82.75,4.25,81,1266,12.1,0.637,0.363,0.474,0.608,0.238,0.754,0.517,0.556,14.8,6.2,1.4,0.5,113,1.5,0.3
