Name,Sex,Age,BodyweightKg,BenchKg,SquatKg,DeadliftKg
Aleksandra Nasonova,F,25,54.7,45,80,102.5
Lidiya Sedova,F,25,51.4,45,75,85
Yana Vorontsova,F,25,57.46,42.5,80,80
Polina Andreeva,F,25,49.8,50,87.5,95
Anna Meshkova,F,25,50.5,37.5,75,80
Anastasiya Kondratyuk,F,25,66.3,77.5,130,145
Evgeniya Yarema,F,25,57.8,52.5,105,120
Zarina Pazylova,F,25,67,57.5,120,135
Raisa Amirova,F,25,53.2,35,80,87.5
Ilza Mugallimova,F,25,57.1,62.5,95,100
Alina Kufeld,F,25,59.8,67.5,115,120
Kseniya Avdeeva,F,25,47.3,45,65,85
Elise Rosenborg,F,25,62.16,100,117.5,137.5
Elise Rosenborg,F,25,62.38,97.5,122.5,140
Jenny Marie Johansen,F,25,69.1,75,105,130
Jenny Heyerdahl Bryhni,F,25,82.7,87.5,170,175
Elisa Scilipoti,F,25,60.2,67.5,125,145
Anastasia Gkogkou,F,25,79.4,35,90,107.5
Christina Terzi,F,25,67.39,40,95,105
Eftychia Maniati,F,25,55.5,65,127.5,160
Aikaterini Mostratou,F,25,62.8,90,165,182.5
Anastasia Gkogkou,F,25,81.6,32.5,90,117.5
Medb Murtagh,F,25,54.8,62.5,117.5,135
Alison O'Reilly,F,25,75,75,142.5,147.5
Dana Suitor,F,25,66.8,77.5,120,157.5
Jenny Wilson #1,F,25,56.7,55,97.5,142.5
Gabrielle Ervine,F,25,56.8,65,90,140
Jemma McCready,F,25,153.6,70,117.5,150
Bronwyn Shirley,F,25,56.6,60,87.5,115
Tachel Ingram,F,25,79.9,80,155,185
Lauren Eddington,F,25,57,60,100,120
Chanel Williams,F,25,73.45,95,130,157.5
Ashliegh Sargison,F,25,62.4,75,140,162.5
Jess Thompson,F,25,82.3,52.5,120,140
Emma Vermey,F,25,62.3,62.5,100,142.5
Rosalie Watson,F,25,66.3,77.5,120,135
Elizabeth Badham,F,25,74.8,92.5,150,165
Kavishi Kariyawasam,F,25,50.8,40,105,130
Megan-Li Smith,F,25,51.8,80,155,180
Adele Cluett,F,25,54,35,62.5,90
Evie Corrigan,F,25,56.9,95,170,201
Vi Chu,F,25,55.6,57.5,92.5,135
Nicola Saggers-Duncan,F,25,75.66,60,85,120
Nina Chambers,F,25,84.48,87.5,125,172.5
Jenny Sheng,F,25,53.8,57.5,80,120
Amber Lim,F,25,72.3,45,105,130
Ashliegh Sargison,F,25,62.4,75,137.5,155
Jenny Sheng,F,25,50.9,57.5,82.5,125
Sarah Menzies,F,25,62.9,70,120,152.5
Poppy Ferguson,F,25,61.3,72.5,125,135
Lauren Murphy,F,25,68.2,62.5,100,115
Emily Thomson,F,25,69.2,65,95,137.5
Diana Solis Trueba,F,25,51.11,47.5,97.5,120
Emma Vermey,F,25,61.95,57.5,95,135
Amber Lim,F,25,72.88,47.5,115,140
Hema Govind,F,25,83.73,97.5,175,185
Vi Chu,F,25,56.1,52.5,87.5,122.5
Amy-Lee Owen,F,25,62.8,92.5,147.5,160
Amanda Wallström,F,25,68.2,87.5,160,155
Rachel Bellew,F,25,81,52.5,100,160
Jasmine Grace,F,25,76.4,55,127.5,127.5
Holly Jenkins,F,25,55.74,62.5,112.5,135
Barbra Auva'a,F,25,71.16,107.5,177.5,201
Siuea Cocker,F,25,83.68,87.5,162.5,182.5
Sharon Vaitupu,F,25,148.92,80,200,205
Sam Rickard,F,25,129.3,70,135,145
Kirsten O'Hara,F,25,69,60,110,125
Katie Lin,F,25,60.2,55,115,130
Rosalie Conroy,F,25,69.26,60,90,125
Sam Rickard,F,25,131.04,65,115,152.5
Amy-Lee Owen,F,25,66.1,90,145,155
Amanda Wallström,F,25,68.8,87.5,156,152.5
Rebecca Clare,F,25,120.8,65,120,145
Aimee Christensen,F,25,139.45,65,125,130
Rosalie Watson,F,25,67.34,80,115,140
Sarah Chapman,F,25,69.4,42.5,70,90
Riria Ropata,F,25,112.4,77.5,152.5,182.5
Sophie Dunn,F,25,69.8,67.5,107.5,120
Rachel Burt,F,25,72,47.5,65,105
Holly Jenkins,F,25,55.3,57.5,105,132.5
Rachel Bellew,F,25,79.9,52.5,90,150
Amy-Lee Owen,F,25,62.3,90,140,160
Amanda Wallström,F,25,71.35,85,155,160
Jolene Bock,F,25,55.98,62.5,105,132.5
Jolene Bock,F,25,56.6,62.5,102.5,120
Megan Huggins,F,25,56.6,62.5,107.5,150
Kirsten McCormick,F,25,79.55,47.5,95,127.5
Ashika Chembila Valappil,F,25,87.6,40,85,110
Odette Smaldon,F,25,48,42.5,75,110
Natasha Brown,F,25,65.8,65,120,152.5
Sophie Viner,F,25,110.3,60,117.5,155
Amy Fieldhouse,F,25,59.1,60,100,120
Aleksandra Kowierec,F,25,65.6,60,112.5,120
Natasha Brown,F,25,66.05,65,125,147.5
Rachel Evans,F,25,NA,NA,NA,NA
Amy Crighton,F,25,71.7,55,85,130
Francesca Dennis,F,25,82.45,85,120,160
Jakitta Goddard,F,25,53.2,27.5,60,80
Amy Crighton,F,25,73.55,57.5,92.5,127.5
Blessing Ogbee,F,25,NA,NA,NA,NA
Aline Aronsky,F,25,66.65,47.5,105,145
Sophie Viner,F,25,90,NA,NA,NA
Chloe Noon,F,25,81.8,50,105,150
Rachel Evans,F,25,63.6,52.5,100,122.5
Rosie Mahe,F,25,70.4,60,102.5,115
Faith Steer,F,25,64.2,45,110,150
Vanessa Develter,F,25,74,55,102.5,142.5
Hanna O'Sullivan,F,25,59.15,40,67.5,85
Chloe Price,F,25,61.6,57.5,110,115
Megan Huggins,F,25,53.45,50,90,115
Sophie Winser,F,25,70.65,42.5,90,102.5
Phoebe Stayt,F,25,71.75,45,80,120
Niamh Madden,F,25,71.1,37.5,85,97.5
Libby Smith,F,25,65.1,65,117.5,145
Orla Mulcahy,F,25,53.3,67.5,130,140
Ornella Hawthorn Gardez,F,25,67,52.5,95,120
Briony Monaghan,F,25,59.3,52.5,92.5,115
Faith Steer,F,25,65.3,42.5,95,130
Angela Kiwomya,F,25,82.5,50,105,150
Valeria Alegre,F,25,51.5,47.5,70,127.5
Gabriela Garcia,F,25,85,45,92.5,125
Micaela Quevedo,F,25,67.5,55,95,105
Camila Ojeda,F,25,72,50,75,115
Valeria Pérez,F,25,62.6,45,125,145
Adriana Arce,F,25,59,65,120,120
Antonela Melean,F,25,NA,NA,NA,NA
Tamara Della Croce,F,25,81.2,62.5,137.5,125
Lucía López,F,25,51.3,50,80,120
Karen Llanos,F,25,57.9,37.5,70,85
Malena Tevez,F,25,54.2,40,60,105
Maria Carballo,F,25,57.9,37.5,70,85
Riley Presnell,F,25,80.65,102.06,181.44,217.72
Camellia Beiruti,F,25,74.21,97.52,147.42,195.04
Sara Šobak,F,25,65.9,125,182.5,192.5
Josefine Haagen,F,25,77.6,72.5,132.5,145
Elisabeth Muhr,F,25,61,60,85,150
Antonia Mattausch,F,25,81.8,57.5,107.5,130
Victoria Moser,F,25,76,92.5,175,177.5
Viktoria Marie Haas,F,25,74.4,75,130,140
Mary Brockway,F,25,66.04,61.23,70.31,115.67
Rachel Betts,F,25,55.79,61.23,108.86,136.08
Evelin Perez,F,25,55.88,65.77,145.15,140.61
Jessica Kline,F,25,58.97,52.16,138.35,145.15
Cassandra Grippe,F,25,64.86,77.11,142.88,176.9
Emily Holmes,F,25,59.96,68.04,113.4,174.63
Laura Mariela Vásquez Cortez,F,25,65.2,61.23,102.06,133.81
Ericka Liliana Dávila Cárcamo,F,25,75.35,97.52,174.63,183.7
Bianca Hateley,F,25,58.9,65,145,152.5
Sionell Urlich,F,25,58.5,85,135,170
Ewa Januszkiewicz,F,25,64.6,80,155,185
Liza Wilensky,F,25,84.8,80,122.5,152.5
Natasha Kadarusman,F,25,74.6,80,182.5,185
Amanda Jacobson,F,25,69,55,115,140
Natalie Gulla,F,25,57.6,57.5,92.5,122.5
Cassandra Garcilaso,F,25,71.6,80,147.5,187.5
Sarah Houhoulis,F,25,61.98,87.5,127.5,147.5
Caitlyn Rudish,F,25,61.75,77.5,120,145
Sarah Skinner #1,F,25,68.77,102.5,132.5,172.5
Stacie Pomrening,F,25,99,112.5,157.5,185
Charissa Vallesteros,F,25,73.2,75,132.5,152.5
Allyson Abbs,F,25,94,75,147.5,140
Eliraz Katz,F,25,62.3,62.5,117.5,152.5
Emily Qualey,F,25,61.6,55,130,140
Sam Kroll,F,25,51.45,75,112.5,140
Kathleen Wolfe,F,25,48.55,42.5,72.5,105
Kaycee Galitz,F,25,112.8,82.5,157.5,162.5
Maryah Carlin,F,25,71.35,72.5,102.5,137.5
Olivia Crusoe,F,25,61.9,67.5,147.5,170
Erika Stevens,F,25,66.7,75,112.5,137.5
Suzanne Witt,F,25,71.4,60,102.5,135
Alex Donald,F,25,78.7,85,132.5,182.5
Lisa Miller #1,F,25,48.2,45,77.5,97.5
Samantha Richards,F,25,61,47.5,87.5,117.5
Alexa Dimaano,F,25,59.4,50,112.5,135
Jasmine Meline,F,25,67,65,100,135
Amanda Buckner,F,25,81.01,87.5,145,167.5
Amber Deter,F,25,80.1,70,125,130
Kendall Polk,F,25,68.6,47.5,80,107.5
Lauren Hite,F,25,78.7,75,142.5,162.5
Chloe Kipnis,F,25,91.3,65,152.5,157.5
Samantha Everett,F,25,68.4,50,100,137.5
Toni Johnson,F,25,70.36,72.5,150,205
Christina Myers,F,25,55.6,62.5,112.5,130
Sally French,F,25,45.2,60,105,122.5
Ashley Cruz,F,25,52,50,80,115
Chrissy Arsenault,F,25,51.1,35,82.5,110
Maddie Bienemann,F,25,85.88,65,112.5,132.5
Cali Nguyen,F,25,59.69,62.5,127.5,125
Samantha Maines,F,25,53.8,62.5,112.5,122.5
Hannah Roberts,F,25,59.5,35,47.5,77.5
Elizabeth Fragione,F,25,63,70,147.5,150
Tessa Willis,F,25,64.54,65,140,185
Tessa Willis,F,25,64.54,65,140,185
Tyana Coatney,F,25,75.8,105,165,202.5
Chelsie Hustad,F,25,56.2,85,110,122.5
Alexus Hernandez,F,25,66.1,60,92.5,112.5
Kristina Teasley,F,25,70.1,60,92.5,100
Sarah Houhoulis,F,25,60.7,87.5,117.5,142.5
Kimberlyn Magee,F,25,60.4,55,125,130
Gabrielle La Fata,F,25,65.8,45,95,140
Cecilia Hall,F,25,70.3,65,120,145
Shanna Samels,F,25,66.6,72.5,120,170
Kimberlyn Magee,F,25,61.07,60,125,125
Patience Miller,F,25,118,107.5,175,182.5
Cecilia Hall,F,25,69.5,67.5,120,157.5
Shannon Santamaria,F,25,71.3,57.5,115,130
Desiré Mora,F,25,65.36,57.5,87.5,125
Briana Linnerooth,F,25,73.57,60,130,172.5
Hannah Ivester,F,25,65.2,77.5,147.5,167.5
Adegbemisola Aregbe,F,25,60.6,85,170,192.5
Randi Meyer,F,25,67.37,55,105,105
Kristen Wilbanks,F,25,73.85,95,142.5,167.5
Jannel Lamangan,F,25,49.2,40,82.5,100
Jennifer Gomez,F,25,67.5,75,132.5,150
Jenna Nocon,F,25,64.35,77.5,125,150
Madeline Campbell,F,25,85.9,50,87.5,102.5
Jacqueline De Luna,F,25,56.15,77.5,132.5,160
Arielle Patra,F,25,51.1,82.5,145,165
Allyson Terry,F,25,78.7,65,105,140
Allyson Abbs,F,25,83.3,75,140,130
Shirley Ho,F,25,56,50,122.5,130
Solana Lewis,F,25,65.96,90,177.5,195
Kirsten Evans,F,25,50.6,50,75,102.5
Stella Pearson,F,25,74.1,80,142.5,160
Ruth Barajas,F,25,56.1,55,130,130
Bobbie Bush,F,25,55.4,52.5,102.5,117.5
Karisha Mae Rosure,F,25,55.85,75,112.5,155
Samantha Mello,F,25,80.55,65,130,160
Amanda Ellis,F,25,60.6,60,115,112.5
Brianna Lanoye,F,25,52.4,62.5,127.5,137.5
Tiffany Wu #1,F,25,49.8,50,102.5,137.5
Jade Paoletta,F,25,70.5,62.5,115,142.5
Amanda Padgett,F,25,50.9,67.5,122.5,158
Alyssa Haveson,F,25,55.9,57.5,107.5,150
Shelly Toth,F,25,61.5,57.5,100,117.5
Vanessa Gale,F,25,66.7,60,130,150
Amber Sheppard,F,25,74.8,55,120,125
Valerie Ogden,F,25,45.55,37.5,67.5,82.5
Ashley Deslauriers,F,25,80.5,77.5,132.5,110
Caitlin East,F,25,66.4,55,70,115
Erika Stevens,F,25,68.1,75,110,142.5
Alex Donald,F,25,83.4,95,142.5,182.5
Maria Canela Basilio,F,25,95.35,75,160,175
Rosemary Escrito,F,25,95.25,75,175,152.5
Samantha Henke,F,25,69.2,67.5,147.5,175
Jessica Bollmann,F,25,62.4,75,150,157.5
Regina Varesio,F,25,88.99,75,142.5,162.5
Regina Varesio,F,25,88.99,75,142.5,162.5
Mary Stephens,F,25,84.9,72.5,125,162.5
Tiffani Tom,F,25,51.3,47.5,122.5,140
Kaitlin Grady,F,25,89.4,80,142.5,170
Rosemary Perez,F,25,67.4,57.5,107.5,125
Rosabel Del Sol,F,25,81.5,85,150,162.5
Emily Cabaniss,F,25,66.5,45,85,100
Fanny Tam,F,25,44.9,35,80,80
