"rank","Player","G","AB","R","H","Doubles","Triples","HR","RBI","SB","CS","BB","SO","IBB","HBP","SH","SF","DP","BA","OBP","SLG","OPS","OPS_plus","wOBA","BB%","K%","BB/K","HR%","ISO","begin_year","end_year","Pos","PA"
87,"Sammy Hughes",449,1657,349,518,98,28,23,251,26,1,192,13,1,8,44,0,1,0.313,0.387,0.447,0.834,121,0.379,10.1,0.9,11.69,1.2,0.135,1930,1946,"2B",1901
88,"Namon Washington",571,2053,339,514,53,17,6,203,80,6,215,19,0,10,109,0,0,0.25,0.324,0.302,0.626,66,0.291,9,1.5,5.84,0.3,0.051,1920,1933,"LF",2387
89,"Jake Dunn",528,1829,309,513,82,32,22,295,29,2,183,9,0,4,49,0,0,0.28,0.347,0.396,0.744,93,0.338,8.9,0.6,17.11,1.1,0.116,1930,1940,"SS",2065
90,"Bill Perkins",554,1850,249,510,74,30,28,299,20,0,143,16,0,7,36,1,0,0.276,0.33,0.394,0.723,93,0.329,7,1.3,5.69,1.4,0.118,1928,1948,"C",2037
91,"Tommy Butts",504,1886,324,509,59,27,4,207,38,1,172,26,0,20,63,0,1,0.27,0.337,0.336,0.674,85,0.316,8,1.5,5.62,0.2,0.066,1938,1948,"SS",2141
92,"Joe Hewitt",594,2049,406,503,51,13,7,170,154,1,323,2,NA,58,88,1,NA,0.245,0.364,0.293,0.657,83,0.322,12.8,0.3,46,0.3,0.048,1911,1932,"SS",2519
93,"Jimmie Lyons",473,1720,327,501,62,29,23,233,153,11,166,13,NA,3,63,4,NA,0.291,0.354,0.401,0.755,119,0.35,8.5,1.6,5.23,1.2,0.11,1909,1932,"LF",1956
94,"Leroy Grant",578,1951,233,500,88,16,11,266,47,0,140,10,NA,25,77,3,NA,0.256,0.314,0.335,0.649,98,0.305,6.4,1.4,4,0.5,0.078,1910,1924,"1B",2196
95,"Ambrose Reid",518,1915,275,498,59,17,8,234,25,1,142,9,0,3,59,1,1,0.26,0.312,0.321,0.633,70,0.294,6.7,1.4,4.11,0.4,0.061,1921,1932,"LF",2120
96,"Mack Eggleston",571,1854,237,496,78,26,25,279,22,0,195,6,NA,13,62,1,NA,0.268,0.341,0.378,0.719,94,0.33,9.2,0.6,14,1.2,0.111,1919,1934,"C",2125
97,"Harry Jeffries",575,1956,274,496,67,13,8,196,34,1,158,2,NA,12,65,0,NA,0.254,0.313,0.313,0.627,69,0.291,7.2,0.4,18.5,0.4,0.06,1919,1944,"3B",2191
98,"Ed Rile",479,1578,272,494,97,29,38,279,26,0,159,0,NA,10,34,1,NA,0.313,0.379,0.484,0.863,126,0.385,8.9,0,NA,2.1,0.17,1919,1936,"1B",1782
99,"Johnny Washington",422,1553,242,493,73,31,12,264,41,1,95,5,0,4,23,NA,0,0.317,0.358,0.428,0.786,112,0.361,5.7,0.3,18,0.7,0.11,1936,1948,"1B",1675
100,"Wild Bill Wright",399,1516,270,493,91,42,26,271,43,1,107,9,5,12,21,1,2,0.325,0.374,0.492,0.866,131,0.387,6.5,0.8,9.22,1.6,0.167,1932,1945,"RF",1657
101,"Mitchell Murray",545,1643,272,486,86,14,30,275,34,NA,158,4,NA,22,60,0,NA,0.296,0.365,0.42,0.785,104,0.354,8.4,0.8,10,1.6,0.124,1919,1932,"C",1883
102,"Bill Hoskins",400,1464,281,481,69,42,39,295,31,0,140,18,3,11,12,2,1,0.329,0.391,0.513,0.904,142,0.41,8.6,1.4,6.44,2.4,0.184,1937,1946,"LF",1629
103,"Ed Stone",413,1527,285,475,72,38,30,266,23,2,192,13,0,6,20,0,0,0.311,0.39,0.467,0.857,126,0.392,11,0.9,12.69,1.7,0.156,1933,1946,"RF",1745
104,"Jules Thomas",391,1518,245,475,80,22,26,275,57,NA,115,NA,NA,10,28,0,NA,0.313,0.365,0.446,0.811,128,0.378,6.9,NA,NA,1.6,0.133,1908,1926,"CF",1671
105,"Charley Williams",529,1884,196,474,64,24,9,232,49,3,133,13,0,5,58,0,0,0.252,0.303,0.325,0.628,77,0.287,6.4,1.7,4.31,0.4,0.074,1921,1931,"2B",2080
106,"Bill Francis",655,2221,323,470,63,18,8,211,60,0,288,1,NA,35,113,2,0,0.212,0.311,0.267,0.578,76,0.28,10.8,0.2,46,0.3,0.055,1906,1925,"3B",2659
107,"Bob Clarke",713,2148,211,468,80,7,7,187,16,1,157,8,1,12,57,0,1,0.218,0.275,0.271,0.546,45,0.258,6.6,0.7,10.25,0.3,0.054,1922,1948,"C",2374
108,"Jim Williams",402,1496,230,464,90,16,13,256,50,1,91,1,0,10,30,1,1,0.31,0.354,0.418,0.771,111,0.351,5.6,0.1,73,0.8,0.108,1931,1944,"RF",1628
109,"Bobby Robinson",533,1891,279,462,56,21,9,190,41,0,179,4,0,15,55,1,0,0.244,0.314,0.31,0.625,67,0.292,8.4,0.6,14,0.4,0.066,1925,1940,"3B",2141
110,"Morten Clark",531,1932,301,461,54,22,3,174,99,2,222,2,0,16,71,2,NA,0.239,0.322,0.294,0.616,81,0.298,9.9,0.2,49,0.1,0.055,1908,1923,"SS",2243
111,"Alejandro Oms",370,1410,275,459,87,23,37,278,40,0,164,4,0,5,38,0,0,0.326,0.398,0.499,0.896,143,0.401,10.1,1.1,8.5,2.3,0.173,1917,1935,"CF",1617
112,"Julio Rojo",508,1719,267,457,82,24,10,252,84,3,144,1,0,12,67,1,NA,0.266,0.327,0.359,0.686,86,0.314,7.4,0.2,51,0.5,0.093,1916,1936,"C",1943
113,"Bobby Williams",587,2030,284,455,59,22,4,237,73,6,159,14,NA,19,106,1,NA,0.224,0.287,0.281,0.567,63,0.263,6.9,1.5,4.93,0.2,0.057,1917,1934,"SS",2315
114,"Bruce Petway",604,1886,269,455,59,15,7,180,61,1,166,1,NA,12,91,0,NA,0.241,0.307,0.3,0.606,79,0.285,7.7,0.2,27,0.3,0.058,1906,1925,"C",2155
115,"Henry Spearman",405,1498,228,454,90,21,27,276,7,1,126,19,0,6,18,2,2,0.303,0.359,0.445,0.804,112,0.368,7.6,1.4,5.32,1.6,0.142,1935,1945,"3B",1650
116,"Bartolo Portuondo",482,1836,266,453,54,21,1,147,66,0,138,0,NA,19,68,2,NA,0.247,0.306,0.301,0.606,80,0.287,6.7,0,NA,0,0.054,1915,1927,"3B",2063
117,"Clarence Palm",525,1542,222,450,66,17,51,290,22,0,119,2,0,6,28,1,1,0.292,0.345,0.456,0.801,109,0.359,7,0.3,31,3,0.164,1927,1946,"C",1696
118,"LeRoy Taylor",384,1461,270,449,53,21,5,191,73,1,93,7,NA,8,32,NA,NA,0.307,0.352,0.383,0.735,101,0.336,5.8,1,4.86,0.3,0.075,1925,1936,"RF",1594
119,"Dick Seay",584,2075,271,448,48,20,13,190,34,1,179,7,0,29,72,0,1,0.216,0.287,0.277,0.564,52,0.266,7.6,0.4,18.29,0.6,0.061,1926,1947,"2B",2355
120,"Halley Harding",387,1509,272,447,76,23,4,152,59,0,161,1,NA,8,43,NA,NA,0.296,0.367,0.385,0.752,103,0.344,9.4,0.2,66,0.2,0.089,1926,1937,"SS",1721
121,"George Johnson",437,1543,252,447,85,30,36,261,42,0,143,14,1,4,71,1,0,0.29,0.351,0.454,0.805,121,0.356,8.1,2.8,3.29,2,0.164,1918,1929,"CF",1762
122,"Herb Souell",392,1550,267,445,46,23,6,167,57,0,108,2,1,10,13,2,1,0.287,0.337,0.358,0.695,103,0.332,6.4,0.1,48.5,0.4,0.071,1940,1948,"3B",1683
123,"Harry Williams",416,1553,288,444,74,24,20,251,39,1,131,4,0,4,18,0,0,0.286,0.343,0.403,0.746,101,0.344,7.7,0.3,20.75,1.2,0.117,1931,1946,"2B",1706
