Date,Site,set,play_description,set_winner,losing_team_at_timeout,losing_team_win,home_before_timeout,visiting_before_timeout,winner_next_point,home_after_timeout,visiting_after_timeout,overall_set_number
2014-09-06,"Cambridge, Mass. (Malkin Athletic Cent)

",1,Timeout Harvard.,home,visiting,FALSE,22,19,home,23,19,974
2014-09-06,"Cambridge, Mass. (Malkin Athletic Cent)

",1,Timeout DELAWARE.,home,visiting,FALSE,24,23,home,25,23,974
2014-09-06,"Cambridge, Mass. (Malkin Athletic Cent)

",2,Timeout Harvard.,home,visiting,FALSE,12,6,visiting,12,7,975
2014-09-06,"Cambridge, Mass. (Malkin Athletic Cent)

",2,Timeout Harvard.,home,visiting,FALSE,23,19,visiting,23,20,975
2014-09-06,"Cambridge, Mass. (Malkin Athletic Cent)

",2,Timeout DELAWARE.,home,tied,FALSE,23,23,home,24,23,975
2014-09-06,"Cambridge, Mass. (Malkin Athletic Cent)

",3,Timeout Harvard.,home,visiting,FALSE,8,2,home,9,2,976
2014-09-06,"Cambridge, Mass. (Malkin Athletic Cent)

",3,Timeout Harvard.,home,visiting,FALSE,18,10,visiting,18,11,976
2014-09-06,"Cambridge, Mass. (Malkin Athletic Cent)

",3,Timeout DELAWARE.,home,visiting,FALSE,22,20,home,23,20,976
2014-09-12,"Athens, Ga. (Ramsey Center)

",1,Timeout Harvard.,home,visiting,FALSE,9,5,visiting,9,6,977
2014-09-12,"Athens, Ga. (Ramsey Center)

",1,Timeout Harvard.,home,visiting,FALSE,21,16,visiting,21,17,977
2014-09-12,"Athens, Ga. (Ramsey Center)

",2,Timeout Harvard.,visiting,home,FALSE,14,17,home,15,17,978
2014-09-12,"Athens, Ga. (Ramsey Center)

",2,Timeout Harvard.,visiting,home,FALSE,19,21,home,20,21,978
2014-09-12,"Athens, Ga. (Ramsey Center)

",2,Timeout Harvard.,visiting,tied,FALSE,23,23,visiting,23,24,978
2014-09-12,"Athens, Ga. (Ramsey Center)

",3,Timeout Harvard.,home,visiting,FALSE,15,12,home,16,12,979
2014-09-12,"Athens, Ga. (Ramsey Center)

",3,Timeout Harvard.,home,visiting,FALSE,22,15,visiting,22,16,979
2014-09-12,"Athens, Ga. (Ramsey Center)

",4,Timeout Harvard.,home,visiting,FALSE,9,2,visiting,9,3,980
2014-09-12,"Athens, Ga. (Ramsey Center)

",4,Timeout NC State.,home,visiting,FALSE,15,11,home,16,11,980
2014-09-12,"Athens, Ga. (Ramsey Center)

",4,Timeout Harvard.,home,visiting,FALSE,21,19,visiting,21,20,980
2014-09-12,"Athens, Ga. (Ramsey Center)

",4,Timeout NC State.,home,home,TRUE,22,23,home,23,23,980
2014-09-13,"Athens, Ga. (Ramsey Center)

",1,Timeout Harvard.,visiting,home,FALSE,10,15,home,11,15,981
2014-09-13,"Athens, Ga. (Ramsey Center)

",1,Timeout Harvard.,visiting,home,FALSE,11,18,visiting,11,19,981
2014-09-13,"Athens, Ga. (Ramsey Center)

",1,Timeout Harvard.,visiting,home,FALSE,16,22,home,17,22,981
2014-09-13,"Athens, Ga. (Ramsey Center)

",1,Timeout Georgia.,visiting,home,FALSE,21,23,visiting,21,24,981
2014-09-13,"Athens, Ga. (Ramsey Center)

",1,Timeout Georgia.,visiting,home,FALSE,23,24,visiting,23,25,981
2014-09-13,"Athens, Ga. (Ramsey Center)

",2,Timeout Harvard.,home,home,TRUE,12,15,home,13,15,982
2014-09-13,"Athens, Ga. (Ramsey Center)

",2,Timeout Harvard.,home,home,TRUE,18,20,home,19,20,982
2014-09-13,"Athens, Ga. (Ramsey Center)

",2,Timeout Georgia.,home,tied,FALSE,20,20,home,21,20,982
2014-09-13,"Athens, Ga. (Ramsey Center)

",2,Timeout Georgia.,home,visiting,FALSE,23,21,visiting,23,22,982
2014-09-13,"Athens, Ga. (Ramsey Center)

",2,Timeout Harvard.,home,tied,FALSE,23,23,home,24,23,982
2014-09-13,"Athens, Ga. (Ramsey Center)

",3,Timeout Georgia.,home,home,TRUE,13,14,home,14,14,983
2014-09-13,"Athens, Ga. (Ramsey Center)

",3,Timeout Harvard.,home,home,TRUE,16,18,visiting,16,19,983
2014-09-13,"Athens, Ga. (Ramsey Center)

",3,Timeout Georgia.,home,tied,FALSE,21,21,home,22,21,983
2014-09-13,"Athens, Ga. (Ramsey Center)

",3,Timeout Harvard.,home,home,TRUE,22,23,home,23,23,983
2014-09-13,"Athens, Ga. (Ramsey Center)

",4,Timeout Georgia.,home,visiting,FALSE,8,3,home,9,3,984
2014-09-13,"Athens, Ga. (Ramsey Center)

",4,Timeout Georgia.,home,visiting,FALSE,14,6,home,15,6,984
2014-09-13,"Athens, Ga. (Ramsey Center)

",4,Timeout Harvard.,home,visiting,FALSE,16,10,home,17,10,984
2014-09-13,"Athens, Ga. (Ramsey Center)

",4,Timeout Harvard.,home,visiting,FALSE,23,21,home,24,21,984
2014-09-13,"Athens, Ga. (Ramsey Center)

",1,Timeout UNC Asheville.,visiting,home,FALSE,1,5,home,2,5,985
2014-09-13,"Athens, Ga. (Ramsey Center)

",1,Timeout Harvard.,visiting,tied,FALSE,22,22,visiting,22,23,985
2014-09-13,"Athens, Ga. (Ramsey Center)

",1,Timeout UNC Asheville.,visiting,home,FALSE,22,23,visiting,22,24,985
2014-09-13,"Athens, Ga. (Ramsey Center)

",1,Timeout Harvard.,visiting,tied,FALSE,24,24,visiting,24,25,985
2014-09-13,"Athens, Ga. (Ramsey Center)

",2,Timeout UNC Asheville.,visiting,home,FALSE,9,15,visiting,9,16,986
2014-09-13,"Athens, Ga. (Ramsey Center)

",3,Timeout UNC Asheville.,visiting,home,FALSE,9,15,home,10,15,987
2014-09-13,"Athens, Ga. (Ramsey Center)

",3,Timeout Harvard.,visiting,home,FALSE,21,22,home,22,22,987
