"Event","NOC"
"Rowing Men's Lightweight Double Sculls","ALG"
"Rowing Men's Lightweight Double Sculls","ANG"
"Rowing Men's Lightweight Double Sculls","ARG"
"Rowing Men's Lightweight Double Sculls","AUS"
"Rowing Men's Lightweight Double Sculls","AUT"
"Rowing Men's Lightweight Double Sculls","BEL"
"Rowing Men's Lightweight Double Sculls","BRA"
"Rowing Men's Lightweight Double Sculls","CAN"
"Rowing Men's Lightweight Double Sculls","CHI"
"Rowing Men's Lightweight Double Sculls","CHN"
"Rowing Men's Lightweight Double Sculls","CUB"
"Rowing Men's Lightweight Double Sculls","CZE"
"Rowing Men's Lightweight Double Sculls","DEN"
"Rowing Men's Lightweight Double Sculls","EGY"
"Rowing Men's Lightweight Double Sculls","ESP"
"Rowing Men's Lightweight Double Sculls","FRA"
"Rowing Men's Lightweight Double Sculls","GBR"
"Rowing Men's Lightweight Double Sculls","GER"
"Rowing Men's Lightweight Double Sculls","GRE"
"Rowing Men's Lightweight Double Sculls","HKG"
"Rowing Men's Lightweight Double Sculls","HUN"
"Rowing Men's Lightweight Double Sculls","IND"
"Rowing Men's Lightweight Double Sculls","IRL"
"Rowing Men's Lightweight Double Sculls","ITA"
"Rowing Men's Lightweight Double Sculls","JPN"
"Rowing Men's Lightweight Double Sculls","KOR"
"Rowing Men's Lightweight Double Sculls","MEX"
"Rowing Men's Lightweight Double Sculls","NED"
"Rowing Men's Lightweight Double Sculls","NOR"
"Rowing Men's Lightweight Double Sculls","NZL"
"Rowing Men's Lightweight Double Sculls","PAK"
"Rowing Men's Lightweight Double Sculls","POL"
"Rowing Men's Lightweight Double Sculls","POR"
"Rowing Men's Lightweight Double Sculls","RSA"
"Rowing Men's Lightweight Double Sculls","RUS"
"Rowing Men's Lightweight Double Sculls","SUI"
"Rowing Men's Lightweight Double Sculls","SVK"
"Rowing Men's Lightweight Double Sculls","SWE"
"Rowing Men's Lightweight Double Sculls","TUR"
"Rowing Men's Lightweight Double Sculls","URU"
"Rowing Men's Lightweight Double Sculls","USA"
"Rowing Men's Lightweight Double Sculls","UZB"
"Rowing Men's Quadruple Sculls","ARG"
"Rowing Men's Quadruple Sculls","AUS"
"Rowing Men's Quadruple Sculls","AUT"
"Rowing Men's Quadruple Sculls","BEL"
"Rowing Men's Quadruple Sculls","BLR"
"Rowing Men's Quadruple Sculls","BRA"
"Rowing Men's Quadruple Sculls","BUL"
"Rowing Men's Quadruple Sculls","CAN"
"Rowing Men's Quadruple Sculls","CHN"
"Rowing Men's Quadruple Sculls","CRO"
"Rowing Men's Quadruple Sculls","CUB"
