name,team,position,height,height_inches,wingspan,wingspan_inches,wingspan_advantage,games,minutes,fg_percent,avg_dist_of_fg,2pt_rate,3pt_rate,2pt_percent,3pt_percent,e_fg_percent,ft_percent,ts_percent
Ben Simmons,LAC,PF,"6'9""",81,"7'0.5""",84.5,3.5,51,1120,0.52,4.9,1,0,0.52,NA,0.52,0.727,0.539
Bennedict Mathurin,IND,SF,"6'4.5""",76.5,"6'9""",81,4.5,72,2149,0.458,13.2,0.662,0.338,0.519,0.34,0.516,0.831,0.579
Bilal Coulibaly,WAS,SF,"6'6""",78,"7'2.5""",86.5,9,59,1948,0.421,13.3,0.641,0.359,0.5,0.281,0.472,0.746,0.515
Blake Wesley,SAS,PG,"6'3""",75,"6'9.25""",81.25,6.25,58,683,0.435,10.8,0.688,0.312,0.5,0.293,0.481,0.623,0.51
Bobby Portis,MIL,PF,"6'9.5""",81.5,"7'2""",86,4.5,49,1244,0.466,14.1,0.701,0.299,0.508,0.365,0.52,0.836,0.542
Bobi Klintman,DET,SF,"6'8.75""",80.75,"6'11""",83,2.25,8,42,0.6,17.4,0.5,0.5,0.8,0.4,0.7,0.5,0.689
Bogdan Bogdanović,LAC,SG,"6'5.5""",77.5,"6'11""",83,5.5,54,1348,0.427,18.7,0.413,0.587,0.517,0.363,0.534,0.879,0.559
Bol Bol,PHX,C,"7'0.75""",84.75,"7'7""",91,6.25,36,448,0.525,17.3,0.492,0.508,0.711,0.344,0.612,0.769,0.627
Bones Hyland,MIN,PG,"6'2""",74,"6'9.5""",81.5,7.5,24,239,0.398,22.4,0.305,0.695,0.417,0.39,0.534,0.885,0.576
Bradley Beal,PHX,SG,"6'3.25""",75.25,"6'8""",80,4.75,53,1702,0.497,15.2,0.62,0.38,0.565,0.386,0.571,0.803,0.598
Brandin Podziemski,GSW,SG,"6'3.75""",75.75,"6'5.5""",77.5,1.75,64,1716,0.445,17.2,0.509,0.491,0.516,0.372,0.537,0.758,0.557
Brandon Boston Jr.,NOP,SG,"6'5.75""",77.75,"6'10.75""",82.75,5,42,993,0.436,14.9,0.633,0.367,0.485,0.35,0.5,0.788,0.535
Brandon Clarke,MEM,PF,"6'7.25""",79.25,"6'8.25""",80.25,1,64,1207,0.621,5.7,0.955,0.045,0.647,0.059,0.622,0.701,0.638
Brandon Ingram,TOR,SF,"6'7""",79,"7'3""",87,8,18,595,0.465,16,0.655,0.345,0.514,0.374,0.53,0.855,0.56
