date,place,opponent_1,opponent_2,opponent_1_estimated_punch_power,opponent_2_estimated_punch_power,opponent_1_estimated_punch_resistance,opponent_2_estimated_punch_resistance,opponent_1_estimated_ability_to_take_punch,opponent_2_estimated_ability_to_take_punch,opponent_1_rounds_boxed,opponent_2_rounds_boxed,opponent_1_round_ko_percentage,opponent_2_round_ko_percentage,opponent_1_has_been_ko_percentage,opponent_2_has_been_ko_percentage,opponent_1_avg_weight,opponent_2_avg_weight,verdict
20 January 2018,Unknown,Lamont Peterson ,Errol Spence Jr,62,62,59.4,59.9,79,76,276,88,,21.59,2.56,,173.24,148.71,Spence Jr won via RTD in round 7
21 April 2018,Unknown,Nonito Donaire ,Carl Frampton,71,71,63.9,60.8,81,77,255,162,9.41,8.64,2.38,,157.87,121.85,Frampton won via UD in round 12
31 March 2018,Unknown,David Price ,Alexander Povetkin,74,74,64.8,72.4,71,81,77,219,22.08,10.5,16.67,,246.75,235.57,Povetkin won via KO in round 5
3 March 2018,Unknown,Luis Ortiz ,Deontay Wilder,75,75,63.9,61.9,79,81,122,113,19.67,33.63,0,0,237.75,243.1,Wilder won via TKO in round 10
31 March 2018,Unknown,Joseph Parker ,Anthony Joshua,78,78,63,68.6,82,82,123,65,14.63,30.77,0,0,247.77,237.26,Joshua won via UD in round 12
5 May 2018,Unknown,Troy James ,Luke Campbell,54,54,54.5,59.6,58,71,109,108,4.59,12.96,4.76,,132.74,135.24,Campbell won via TKO in round 5
5 May 2018,Unknown,Vanes Martirosyan ,Gennady Golovkin,67,67,62.9,67,79,84,224,182,9.38,18.13,0,0,164.37,159.66,Golovkin won via KO in round 2
12 May 2018,Unknown,Jorge Linares ,Vasyl Lomachenko,69,69,62.5,73.4,77,78,292,93,9.25,8.6,6.38,,128.89,127.11,Lomachenko won via TKO in round 10
19 May 2018,Unknown,Lee Selby ,Josh Warrington,60,60,60.4,57.6,71,70,207,193,4.35,3.11,0,0,128.39,127.08,Warrington won via SD in round 12
25 May 2018,Unknown,Jamie Mcdonnell ,Naoya Inoue,60,60,58.5,63.3,77,73,245,91,5.31,14.29,0,0,123.22,109.2,Inoue won via TKO in round 1
9 June 2018,Unknown,Sefer Seferi ,Tyson Fury,68,68,43.3,65.6,61,79,69,146,26.09,12.33,0,0,197.91,248.92,Fury won via RTD in round 4
16 June 2018,Unknown,Errol Spence Jr ,Carlos Ocampo,82,82,60.8,51.4,76,79,95,120,21.05,10.83,0,0,148.6,143.08,Spence Jr won via KO in round 1
8 September 2018,Unknown,Danny Garcia ,Shawn Porter,70,70,64.6,62.9,81,80,227,195,8.81,8.72,0,0,141.8,152.53,Porter won via UD in round 12
28 July 2018,Unknown,Dillian Whyte ,Joseph Parker,71,71,60.4,63.8,77,85,110,135,15.45,13.33,4.17,,228.91,247.77,Whyte won via UD in round 12
18 August 2018,Unknown,Carl Frampton ,Luke Jackson,70,70,61.6,36.9,77,54,174,,8.05,17.39,0,0,121.85,128.95,Frampton won via TKO in round 9
22 September 2018,Unknown,Alexander Povetkin ,Anthony Joshua,75,75,72.3,69.4,81,83,224,77,10.71,25.97,0,0,235.57,237.26,Joshua won via TKO in round 7
