Rank,Climber,Number,Gender,School,Tops,Zones,Attempts_Tops,Attempts_Zones,Boulder,Problem,Attempts
4,Julia Duffy,58,Women,U of Utah,1,4,7,13,3,1,7
4,Julia Duffy,58,Women,U of Utah,1,4,7,13,3,2,7
4,Julia Duffy,58,Women,U of Utah,1,4,7,13,3,3,7
4,Julia Duffy,58,Women,U of Utah,1,4,7,13,4,1,4
4,Julia Duffy,58,Women,U of Utah,1,4,7,13,4,2,5
4,Julia Duffy,58,Women,U of Utah,1,4,7,13,4,3,0
5,Stephanie Celommi,36,Women,None Listed,1,3,2,5,1,1,2
5,Stephanie Celommi,36,Women,None Listed,1,3,2,5,1,2,3
5,Stephanie Celommi,36,Women,None Listed,1,3,2,5,1,3,0
5,Stephanie Celommi,36,Women,None Listed,1,3,2,5,2,1,1
5,Stephanie Celommi,36,Women,None Listed,1,3,2,5,2,2,2
5,Stephanie Celommi,36,Women,None Listed,1,3,2,5,2,3,0
5,Stephanie Celommi,36,Women,None Listed,1,3,2,5,3,1,2
5,Stephanie Celommi,36,Women,None Listed,1,3,2,5,3,2,2
5,Stephanie Celommi,36,Women,None Listed,1,3,2,5,3,3,2
5,Stephanie Celommi,36,Women,None Listed,1,3,2,5,4,1,7
5,Stephanie Celommi,36,Women,None Listed,1,3,2,5,4,2,0
5,Stephanie Celommi,36,Women,None Listed,1,3,2,5,4,3,0
6,Olivia Ogier,66,Women,U of Utah,1,3,2,10,1,1,2
6,Olivia Ogier,66,Women,U of Utah,1,3,2,10,1,2,1
6,Olivia Ogier,66,Women,U of Utah,1,3,2,10,1,3,2
6,Olivia Ogier,66,Women,U of Utah,1,3,2,10,2,1,1
6,Olivia Ogier,66,Women,U of Utah,1,3,2,10,2,2,3
6,Olivia Ogier,66,Women,U of Utah,1,3,2,10,2,3,0
6,Olivia Ogier,66,Women,U of Utah,1,3,2,10,3,1,8
6,Olivia Ogier,66,Women,U of Utah,1,3,2,10,3,2,9
6,Olivia Ogier,66,Women,U of Utah,1,3,2,10,3,3,0
6,Olivia Ogier,66,Women,U of Utah,1,3,2,10,4,1,10
6,Olivia Ogier,66,Women,U of Utah,1,3,2,10,4,2,0
