"driverId","driverName","lap","lapTime","lapPosition"
807,"Nico Hülkenberg",8,94.352,11
807,"Nico Hülkenberg",9,93.474,11
807,"Nico Hülkenberg",10,93.938,11
807,"Nico Hülkenberg",11,93.442,11
807,"Nico Hülkenberg",12,93.383,11
807,"Nico Hülkenberg",13,93.545,11
807,"Nico Hülkenberg",14,93.434,10
807,"Nico Hülkenberg",15,94.473,9
807,"Nico Hülkenberg",16,93.266,8
807,"Nico Hülkenberg",17,93.405,8
807,"Nico Hülkenberg",18,93.826,6
807,"Nico Hülkenberg",19,93.105,5
807,"Nico Hülkenberg",20,92.84,5
807,"Nico Hülkenberg",21,93.924,6
807,"Nico Hülkenberg",22,93.081,6
807,"Nico Hülkenberg",23,94.217,7
807,"Nico Hülkenberg",24,93.288,7
807,"Nico Hülkenberg",25,93.412,7
807,"Nico Hülkenberg",26,93.004,7
807,"Nico Hülkenberg",27,93.076,7
807,"Nico Hülkenberg",28,94.233,8
807,"Nico Hülkenberg",29,92.991,8
807,"Nico Hülkenberg",30,93.05,8
807,"Nico Hülkenberg",31,93.011,8
807,"Nico Hülkenberg",32,92.584,8
807,"Nico Hülkenberg",33,100.557,13
807,"Nico Hülkenberg",34,107.942,16
807,"Nico Hülkenberg",35,91.3,16
807,"Nico Hülkenberg",36,90.901,16
807,"Nico Hülkenberg",37,92.397,15
807,"Nico Hülkenberg",38,92.195,15
807,"Nico Hülkenberg",39,92.035,15
807,"Nico Hülkenberg",40,92.173,15
807,"Nico Hülkenberg",41,92.176,15
807,"Nico Hülkenberg",42,92.352,15
807,"Nico Hülkenberg",43,91.897,14
807,"Nico Hülkenberg",44,91.975,14
807,"Nico Hülkenberg",45,91.954,14
807,"Nico Hülkenberg",46,92.231,14
807,"Nico Hülkenberg",47,92.843,15
807,"Nico Hülkenberg",48,92.682,15
807,"Nico Hülkenberg",49,93.389,15
807,"Nico Hülkenberg",50,92.511,15
807,"Nico Hülkenberg",51,92.198,15
807,"Nico Hülkenberg",52,92.144,15
807,"Nico Hülkenberg",53,92.065,15
807,"Nico Hülkenberg",54,92.285,15
807,"Nico Hülkenberg",55,92.088,15
807,"Nico Hülkenberg",56,92.201,15
807,"Nico Hülkenberg",57,93.024,15
848,"Alexander Albon",1,103.346,12
848,"Alexander Albon",2,95.177,12
848,"Alexander Albon",3,94.158,12
848,"Alexander Albon",4,94.269,12
848,"Alexander Albon",5,93.842,12
848,"Alexander Albon",6,93.689,12
848,"Alexander Albon",7,93.544,12
848,"Alexander Albon",8,94.267,12
848,"Alexander Albon",9,93.593,12
848,"Alexander Albon",10,93.902,12
848,"Alexander Albon",11,93.455,12
848,"Alexander Albon",12,93.292,12
848,"Alexander Albon",13,93.605,12
848,"Alexander Albon",14,93.704,11
848,"Alexander Albon",15,94.412,11
848,"Alexander Albon",16,93.91,10
848,"Alexander Albon",17,93.692,10
848,"Alexander Albon",18,93.858,8
848,"Alexander Albon",19,94.015,8
848,"Alexander Albon",20,93.391,8
848,"Alexander Albon",21,94.324,9
848,"Alexander Albon",22,99.058,14
848,"Alexander Albon",23,107.79,17
848,"Alexander Albon",24,92.241,17
848,"Alexander Albon",25,92.519,17
848,"Alexander Albon",26,92.586,17
848,"Alexander Albon",27,92.07,16
848,"Alexander Albon",28,92.378,16
848,"Alexander Albon",29,92.383,16
848,"Alexander Albon",30,92.522,16
848,"Alexander Albon",31,92.408,16
848,"Alexander Albon",32,92.222,15
848,"Alexander Albon",33,92.681,15
848,"Alexander Albon",34,92.311,14
848,"Alexander Albon",35,92.305,14
848,"Alexander Albon",36,92.318,14
848,"Alexander Albon",37,92.346,13
848,"Alexander Albon",38,93.361,13
848,"Alexander Albon",39,92.444,13
848,"Alexander Albon",40,92.753,13
848,"Alexander Albon",41,92.386,13
848,"Alexander Albon",42,92.816,13
848,"Alexander Albon",43,92.456,12
848,"Alexander Albon",44,91.996,12
848,"Alexander Albon",45,92.369,12
848,"Alexander Albon",46,92.419,12
848,"Alexander Albon",47,92.711,13
848,"Alexander Albon",48,93.044,13
848,"Alexander Albon",49,93.798,14
848,"Alexander Albon",50,92.457,14
848,"Alexander Albon",51,92.128,14
848,"Alexander Albon",52,92.144,14
848,"Alexander Albon",53,92.076,14
848,"Alexander Albon",54,92.104,14
848,"Alexander Albon",55,91.852,14
848,"Alexander Albon",56,92.147,14
848,"Alexander Albon",57,92.058,14
1,"Lewis Hamilton",1,104.363,13
1,"Lewis Hamilton",2,94.915,13
1,"Lewis Hamilton",3,94.057,13
1,"Lewis Hamilton",4,94.115,13
1,"Lewis Hamilton",5,93.803,13
1,"Lewis Hamilton",6,93.916,13
1,"Lewis Hamilton",7,93.36,13
1,"Lewis Hamilton",8,94.443,13
1,"Lewis Hamilton",9,93.37,13
1,"Lewis Hamilton",10,93.955,13
1,"Lewis Hamilton",11,93.339,13
1,"Lewis Hamilton",12,93.372,13
1,"Lewis Hamilton",13,93.583,13
1,"Lewis Hamilton",14,93.822,13
1,"Lewis Hamilton",15,93.354,10
1,"Lewis Hamilton",16,93.379,9
