"Name","Age","Reg_Tm","Lg","Reg_G","Reg_PA","Reg_AB","Reg_R","Reg_H","Reg_Doubles","Reg_Triples","Reg_HR","Reg_RBI","Reg_SB","Reg_CS","Reg_BB","Reg_SO","Reg_BA","Reg_OBP","Reg_SLG","Reg_OPS","OPS+","Reg_TB","Reg_GDP","Reg_HBP","Reg_SH","Reg_SF","Reg_IBB","OppQual","Spring_G","Spring_PA","Spring_AB","Spring_R","Spring_H","Spring_Doubles","Spring_Triples","Spring_HR","Spring_RBI","Spring_SB","Spring_CS","Spring_BB","Spring_SO","Spring_BA","Spring_OBP","Spring_SLG","Spring_OPS","Spring_TB","Spring_GDP","Spring_HBP","Spring_SH","Spring_SF","Spring_IBB"
"Alex Bregman",29,"HOU","AL",161,724,622,103,163,28,4,25,98,3,1,92,87,0.262,0.363,0.441,0.804,122,274,22,8,0,2,1,8,16,51,47,8,18,4,0,2,8,0,0,4,7,0.383,0.431,0.596,1.027,28,0,0,0,0,0
"Will Brennan",25,"CLE","AL",138,455,432,41,115,24,0,5,41,13,5,16,57,0.266,0.299,0.356,0.655,81,154,4,5,0,2,2,7.4,16,50,47,6,15,2,2,2,8,3,0,3,6,0.319,0.36,0.574,0.934,27,2,0,0,0,0
"Jonah Bride",27,"OAK","AL",40,106,88,9,15,3,0,0,7,0,1,11,22,0.17,0.286,0.205,0.49,43,18,3,4,1,2,0,7,13,26,22,7,6,0,0,2,4,0,0,4,4,0.273,0.385,0.545,0.93,12,0,0,0,0,0
"Mike Brosseau",29,"MIL","NL",29,78,73,4,15,2,0,4,8,0,0,4,20,0.205,0.256,0.397,0.654,75,29,2,1,0,0,0,7.4,12,34,32,2,5,0,0,0,2,1,0,0,3,0.156,0.206,0.156,0.362,5,0,2,0,0,0
"Seth Brown",30,"OAK","AL",112,378,343,33,76,19,1,14,52,3,1,30,101,0.222,0.286,0.405,0.692,93,139,6,2,1,2,1,7.8,13,35,33,3,11,1,0,1,6,0,0,2,16,0.333,0.371,0.455,0.826,15,0,0,0,0,0
"Vidal Bruján",25,"TBR","AL",37,84,76,14,13,2,0,0,6,3,2,5,21,0.171,0.241,0.197,0.438,26,15,1,2,1,0,0,7.4,16,37,32,6,7,0,0,1,3,1,2,5,7,0.219,0.324,0.313,0.637,10,1,0,0,0,0
"Kris Bryant",31,"COL","NL",80,335,300,36,70,10,0,10,31,0,0,29,68,0.233,0.313,0.367,0.68,78,110,6,6,0,0,0,7,15,43,34,6,7,1,0,3,7,0,0,6,13,0.206,0.349,0.5,0.849,17,1,2,0,1,0
"Peyton Burdick",26,"MIA","NL",14,37,33,4,6,2,0,1,2,1,0,3,18,0.182,0.27,0.333,0.604,61,11,0,1,0,0,0,6.5,8,15,14,0,1,0,0,0,1,0,0,0,5,0.071,0.133,0.071,0.205,1,1,1,0,0,0
"Jake Burger",27,"TOT","MLB",141,540,492,71,123,28,1,34,80,1,1,32,149,0.25,0.309,0.518,0.828,120,255,4,12,0,4,0,7.9,16,47,46,4,9,2,0,2,5,0,0,1,17,0.196,0.213,0.37,0.582,17,0,0,0,0,0
"Jake Burger",27,"CHW","AL",88,323,294,44,63,15,1,25,52,1,1,22,102,0.214,0.279,0.527,0.806,115,155,3,5,0,2,0,7.9,16,47,46,4,9,2,0,2,5,0,0,1,17,0.196,0.213,0.37,0.582,17,0,0,0,0,0
