"","Player1","Player2","Opponent1","Opponent2","Rank","Year","Gender","Category","Matches","Wins","Losses","Points For","Points Against","Difference","win_pct","total_pts","shot_pct"
"253","Mia BLICHFELDT",NA,"Yvonne LI",NA,3,2021,"Women","Singles",4,3,1,187,181,6,0.75,368,0.508152173913043
"254","Akane YAMAGUCHI",NA,"PUSARLA V. Sindhu",NA,4,2021,"Women","Singles",4,1,3,186,180,6,0.25,366,0.508196721311475
"255","PUSARLA V. Sindhu",NA,"Busanan ONGBAMRUNGPHAN",NA,5,2021,"Women","Singles",4,4,0,182,147,35,1,329,0.553191489361702
"256","TAI Tzu Ying",NA,"Ratchanok INTANON",NA,6,2021,"Women","Singles",3,3,0,177,157,20,1,334,0.529940119760479
"257","Se Young AN",NA,"Pornpawee CHOCHUWONG",NA,7,2021,"Women","Singles",4,4,0,172,132,40,1,304,0.565789473684211
"258","Pornpawee CHOCHUWONG",NA,"PUSARLA V. Sindhu",NA,8,2021,"Women","Singles",4,2,2,168,157,11,0.5,325,0.516923076923077
"259","Neslihan YIGIT",NA,"Yvonne LI",NA,9,2021,"Women","Singles",3,2,1,159,150,9,0.666666666666667,309,0.514563106796116
"260","Carolina MARIN",NA,"Pornpawee CHOCHUWONG",NA,10,2021,"Women","Singles",3,3,0,146,102,44,1,248,0.588709677419355
"261","TAI Tzu Ying",NA,"PUSARLA V. Sindhu",NA,11,2021,"Women","Singles",3,3,0,145,110,35,1,255,0.568627450980392
"262","PUSARLA V. Sindhu",NA,"Mia BLICHFELDT",NA,12,2021,"Women","Singles",3,2,1,143,121,22,0.666666666666667,264,0.541666666666667
"263","Ratchanok INTANON",NA,"PUSARLA V. Sindhu",NA,13,2021,"Women","Singles",3,3,0,141,97,44,1,238,0.592436974789916
"264","Akane YAMAGUCHI",NA,"KIM Ga Eun",NA,14,2021,"Women","Singles",3,3,0,140,127,13,1,267,0.524344569288389
"265","Carolina MARIN",NA,"Se Young AN",NA,14,2021,"Women","Singles",3,2,1,140,124,16,0.666666666666667,264,0.53030303030303
"266","Carolina MARIN",NA,"TAI Tzu Ying",NA,16,2021,"Women","Singles",3,2,1,132,117,15,0.666666666666667,249,0.530120481927711
"267","Pornpawee CHOCHUWONG",NA,"Line CHRISTOPHERSEN",NA,17,2021,"Women","Singles",3,3,0,129,90,39,1,219,0.589041095890411
"268","PUSARLA V. Sindhu",NA,"Neslihan YIGIT",NA,19,2021,"Women","Singles",3,3,0,126,80,46,1,206,0.611650485436893
"269","PUSARLA V. Sindhu",NA,"Line CHRISTOPHERSEN",NA,19,2021,"Women","Singles",3,3,0,126,74,52,1,200,0.63
"270","Se Young AN",NA,"Evgeniya KOSETSKAYA",NA,19,2021,"Women","Singles",3,3,0,126,73,53,1,199,0.633165829145729
"271","Se Young AN",NA,"Phittayaporn CHAIWAN",NA,19,2021,"Women","Singles",3,3,0,126,73,53,1,199,0.633165829145729
"272","Pornpawee CHOCHUWONG",NA,"Gregoria Mariska TUNJUNG",NA,22,2021,"Women","Singles",2,2,0,110,91,19,1,201,0.54726368159204
"273","Akane YAMAGUCHI",NA,"Line Højmark KJAERSFELDT",NA,23,2021,"Women","Singles",2,2,0,105,76,29,1,181,0.580110497237569
"274","Akane YAMAGUCHI",NA,"YEO Jia Min",NA,24,2021,"Women","Singles",2,2,0,103,75,28,1,178,0.578651685393258
"275","Evgeniya KOSETSKAYA",NA,"PAI Yu Po",NA,24,2021,"Women","Singles",2,2,0,103,80,23,1,183,0.562841530054645
"276","KIM So Yeong","KONG Hee Yong","Jongkolphan KITITHARAKUL","Rawinda PRAJONGJAI",1,2021,"Women","Doubles",6,5,1,302,254,48,0.833333333333333,556,0.543165467625899
"277","LEE So Hee","SHIN Seung Chan","KIM So Yeong","KONG Hee Yong",2,2021,"Women","Doubles",6,4,2,268,267,1,0.666666666666667,535,0.500934579439252
"278","Jongkolphan KITITHARAKUL","Rawinda PRAJONGJAI","Ashwini PONNAPPA","REDDY N. Sikki",3,2021,"Women","Doubles",5,5,0,212,142,70,1,354,0.598870056497175
"279","Greysia POLII","Apriyani RAHAYU","TAN Pearly Koong Le","Muralitharan THINAAH",4,2021,"Women","Doubles",4,4,0,203,163,40,1,366,0.554644808743169
"280","Greysia POLII","Apriyani RAHAYU","LEE So Hee","SHIN Seung Chan",5,2021,"Women","Doubles",4,3,1,197,186,11,0.75,383,0.514360313315927
"281","KIM So Yeong","KONG Hee Yong","Linda EFLER","Isabel HERTTRICH",6,2021,"Women","Doubles",4,4,0,187,107,80,1,294,0.636054421768708
"282","Greysia POLII","Apriyani RAHAYU","Jongkolphan KITITHARAKUL","Rawinda PRAJONGJAI",7,2021,"Women","Doubles",4,4,0,185,143,42,1,328,0.564024390243902
"283","Puttita SUPAJIRAKUL","Sapsiree TAERATTANACHAI","Siti Fadia Silva RAMADHANTI","Ribka SUGIARTO",8,2021,"Women","Doubles",4,2,2,171,167,4,0.5,338,0.505917159763314
"284","Jongkolphan KITITHARAKUL","Rawinda PRAJONGJAI","Gabriela STOEVA","Stefani STOEVA",9,2021,"Women","Doubles",4,2,2,163,156,7,0.5,319,0.510971786833856
"285","Greysia POLII","Apriyani RAHAYU","Puttita SUPAJIRAKUL","Sapsiree TAERATTANACHAI",10,2021,"Women","Doubles",3,2,1,151,132,19,0.666666666666667,283,0.53356890459364
"286","Nami MATSUYAMA","Chiharu SHIDA","Puttita SUPAJIRAKUL","Sapsiree TAERATTANACHAI",11,2021,"Women","Doubles",3,3,0,148,122,26,1,270,0.548148148148148
"287","Nami MATSUYAMA","Chiharu SHIDA","TAN Pearly Koong Le","Muralitharan THINAAH",12,2021,"Women","Doubles",3,3,0,146,112,34,1,258,0.565891472868217
"288","Nami MATSUYAMA","Chiharu SHIDA","Chloe BIRCH","Lauren SMITH",13,2021,"Women","Doubles",4,3,1,145,107,38,0.75,252,0.575396825396825
"289","Jongkolphan KITITHARAKUL","Rawinda PRAJONGJAI","Benyapa AIMSAARD","Nuntakarn AIMSAARD",14,2021,"Women","Doubles",3,3,0,140,110,30,1,250,0.56
"290","Gabriela STOEVA","Stefani STOEVA","Chloe BIRCH","Lauren SMITH",16,2021,"Women","Doubles",3,3,0,126,75,51,1,201,0.626865671641791
"291","LEE So Hee","SHIN Seung Chan","Vivian HOO","YAP Cheng Wen",16,2021,"Women","Doubles",3,3,0,126,85,41,1,211,0.597156398104265
"292","Ashwini PONNAPPA","REDDY N. Sikki","Gabriela STOEVA","Stefani STOEVA",16,2021,"Women","Doubles",3,1,2,126,120,6,0.333333333333333,246,0.51219512195122
"293","LEE So Hee","SHIN Seung Chan","Nita Violina MARWAH","Putri SYAIKAH",18,2021,"Women","Doubles",2,2,0,112,107,5,1,219,0.511415525114155
"294","Anastasiia AKCHURINA","Olga MOROZOVA","Emilie LEFEL","Anne TRAN",19,2021,"Women","Doubles",2,2,0,109,95,14,1,204,0.534313725490196
"295","Chloe BIRCH","Lauren SMITH","Linda EFLER","Isabel HERTTRICH",20,2021,"Women","Doubles",2,2,0,104,74,30,1,178,0.584269662921348
"296","CHEN Qingchen","JIA Yifan","KIM So Yeong","KONG Hee Yong",21,2021,"Women","Doubles",2,2,0,103,77,26,1,180,0.572222222222222
"297","Chisato HOSHI","Aoi MATSUDA","Chloe BIRCH","Lauren SMITH",21,2021,"Women","Doubles",2,2,0,103,91,12,1,194,0.530927835051546
"298","LEE So Hee","SHIN Seung Chan","Maiken FRUERGAARD","Sara THYGESEN",23,2021,"Women","Doubles",2,1,1,102,93,9,0.5,195,0.523076923076923
"299","Jongkolphan KITITHARAKUL","Rawinda PRAJONGJAI","Julie FINNE-IPSEN","Mai SURROW",24,2021,"Women","Doubles",2,2,0,101,84,17,1,185,0.545945945945946
"300","Alexandra BØJE","Mette POULSEN","Vivian HOO","LIM Chiew Sien",25,2021,"Women","Doubles",2,1,1,100,89,11,0.5,189,0.529100529100529
"301","Kento MOMOTA",NA,"LEE Zii Jia",NA,1,2021,"Men","Singles",4,2,2,175,167,8,0.5,342,0.511695906432749
"302","PRANNOY H. S.",NA,"LIEW Daren",NA,2,2021,"Men","Singles",4,3,1,162,125,37,0.75,287,0.564459930313589
"303","Anders ANTONSEN",NA,"WANG Tzu Wei",NA,3,2021,"Men","Singles",3,2,1,146,145,1,0.666666666666667,291,0.501718213058419
"304","Viktor AXELSEN",NA,"LEE Zii Jia",NA,4,2021,"Men","Singles",3,2,1,144,128,16,0.666666666666667,272,0.529411764705882
"305","WANG Tzu Wei",NA,"NG Ka Long Angus",NA,5,2021,"Men","Singles",3,2,1,140,106,34,0.666666666666667,246,0.569105691056911
"306","Viktor AXELSEN",NA,"Anthony Sinisuka GINTING",NA,6,2021,"Men","Singles",3,3,0,139,102,37,1,241,0.576763485477178
"307","Anders ANTONSEN",NA,"Sameer VERMA",NA,7,2021,"Men","Singles",3,2,1,137,126,11,0.666666666666667,263,0.520912547528517
"308","LOH Kean Yew",NA,"Viktor AXELSEN",NA,8,2021,"Men","Singles",3,1,2,136,129,7,0.333333333333333,265,0.513207547169811
"309","Viktor AXELSEN",NA,"KIDAMBI Srikanth",NA,11,2021,"Men","Singles",3,3,0,126,89,37,1,215,0.586046511627907
"310","Viktor AXELSEN",NA,"Kunlavut VITIDSARN",NA,11,2021,"Men","Singles",3,3,0,126,66,60,1,192,0.65625
"311","Anthony Sinisuka GINTING",NA,"LEE Zii Jia",NA,11,2021,"Men","Singles",3,2,1,126,120,6,0.666666666666667,246,0.51219512195122
"312","Viktor AXELSEN",NA,"Lakshya SEN",NA,11,2021,"Men","Singles",3,3,0,126,75,51,1,201,0.626865671641791
"313","Viktor AXELSEN",NA,"CHOU Tien Chen",NA,11,2021,"Men","Singles",3,3,0,126,83,43,1,209,0.602870813397129
"314","NG Ka Long Angus",NA,"CHOU Tien Chen",NA,14,2021,"Men","Singles",2,1,1,117,108,9,0.5,225,0.52
"315","Kunlavut VITIDSARN",NA,"LEE Zii Jia",NA,15,2021,"Men","Singles",3,2,1,115,106,9,0.666666666666667,221,0.520361990950226
"316","Kenta NISHIMOTO",NA,"CHOU Tien Chen",NA,16,2021,"Men","Singles",2,1,1,114,108,6,0.5,222,0.513513513513513
"317","Rasmus GEMKE",NA,"Ajay JAYARAM",NA,17,2021,"Men","Singles",2,1,1,113,110,3,0.5,223,0.506726457399103
"318","Viktor AXELSEN",NA,"Anders ANTONSEN",NA,18,2021,"Men","Singles",3,1,2,112,92,20,0.333333333333333,204,0.549019607843137
"319","KIDAMBI Srikanth",NA,"NG Ka Long Angus",NA,18,2021,"Men","Singles",2,1,1,112,105,7,0.5,217,0.516129032258065
"320","Anders ANTONSEN",NA,"Hans-Kristian Solberg VITTINGHUS",NA,21,2021,"Men","Singles",3,2,1,111,106,5,0.666666666666667,217,0.511520737327189
"321","Vladimir MALKOV",NA,"Toma Junior POPOV",NA,21,2021,"Men","Singles",2,1,1,111,104,7,0.5,215,0.516279069767442
"322","Kunlavut VITIDSARN",NA,"Toma Junior POPOV",NA,21,2021,"Men","Singles",2,1,1,111,90,21,0.5,201,0.552238805970149
"323","Jonatan CHRISTIE",NA,"LOH Kean Yew",NA,21,2021,"Men","Singles",2,2,0,111,106,5,1,217,0.511520737327189
"324","Kento MOMOTA",NA,"KIDAMBI Srikanth",NA,24,2021,"Men","Singles",2,2,0,106,89,17,1,195,0.543589743589744
"325","Hans-Kristian Solberg VITTINGHUS",NA,"Kanta TSUNEYAMA",NA,25,2021,"Men","Singles",2,2,0,105,103,2,1,208,0.504807692307692
"326","Kim ASTRUP","Anders Skaarup RASMUSSEN","Mark LAMSFUSS","Marvin SEIDEL",1,2021,"Men","Doubles",5,2,3,216,211,5,0.4,427,0.505854800936768
"327","Takuro HOKI","Yugo KOBAYASHI","Aaron CHIA","SOH Wooi Yik",2,2021,"Men","Doubles",4,3,1,202,168,34,0.75,370,0.545945945945946
"328","ONG Yew Sin","TEO Ee Yi","Satwiksairaj RANKIREDDY","Chirag SHETTY",3,2021,"Men","Doubles",4,2,2,195,187,8,0.5,382,0.510471204188482
"329","Kim ASTRUP","Anders Skaarup RASMUSSEN","Satwiksairaj RANKIREDDY","Chirag SHETTY",4,2021,"Men","Doubles",4,3,1,191,161,30,0.75,352,0.542613636363636
"330","Kim ASTRUP","Anders Skaarup RASMUSSEN","Christo POPOV","Toma Junior POPOV",5,2021,"Men","Doubles",4,4,0,188,130,58,1,318,0.591194968553459
"331","Mohammad AHSAN","Hendra SETIAWAN","CHOI SolGyu","SEO Seung Jae",6,2021,"Men","Doubles",4,2,2,175,169,6,0.5,344,0.508720930232558
"332","Marcus Fernaldi GIDEON","Kevin Sanjaya SUKAMULJO","LEE Yang","WANG Chi-Lin",7,2021,"Men","Doubles",3,2,1,162,156,6,0.666666666666667,318,0.509433962264151
"333","Takuro HOKI","Yugo KOBAYASHI","Kim ASTRUP","Anders Skaarup RASMUSSEN",8,2021,"Men","Doubles",3,3,0,159,134,25,1,293,0.542662116040956
"334","Marcus Fernaldi GIDEON","Kevin Sanjaya SUKAMULJO","ONG Yew Sin","TEO Ee Yi",8,2021,"Men","Doubles",3,3,0,159,133,26,1,292,0.544520547945205
"335","Mohammad AHSAN","Hendra SETIAWAN","Aaron CHIA","SOH Wooi Yik",10,2021,"Men","Doubles",3,2,1,154,143,11,0.666666666666667,297,0.518518518518518
"336","Marcus Fernaldi GIDEON","Kevin Sanjaya SUKAMULJO","Takuro HOKI","Yugo KOBAYASHI",11,2021,"Men","Doubles",3,1,2,147,146,1,0.333333333333333,293,0.501706484641638
"337","LEE Yang","WANG Chi-Lin","Mohammad AHSAN","Hendra SETIAWAN",12,2021,"Men","Doubles",3,3,0,143,112,31,1,255,0.56078431372549
"338","LEE Yang","WANG Chi-Lin","ONG Yew Sin","TEO Ee Yi",13,2021,"Men","Doubles",3,2,1,142,130,12,0.666666666666667,272,0.522058823529412
"339","Takuro HOKI","Yugo KOBAYASHI","ONG Yew Sin","TEO Ee Yi",14,2021,"Men","Doubles",3,3,0,138,105,33,1,243,0.567901234567901
"340","Aaron CHIA","SOH Wooi Yik","Marcus Fernaldi GIDEON","Kevin Sanjaya SUKAMULJO",15,2021,"Men","Doubles",3,2,1,137,116,21,0.666666666666667,253,0.541501976284585
"341","LEE Yang","WANG Chi-Lin","Ben LANE","Sean VENDY",16,2021,"Men","Doubles",3,3,0,127,100,27,1,227,0.559471365638767
"342","ONG Yew Sin","TEO Ee Yi","GOH Sze Fei","Nur IZZUDDIN",17,2021,"Men","Doubles",2,2,0,125,113,12,1,238,0.525210084033613
"343","ONG Yew Sin","TEO Ee Yi","Joel EIPE","Rasmus KJÆR",18,2021,"Men","Doubles",3,3,0,123,92,31,1,215,0.572093023255814
"344","Kim ASTRUP","Anders Skaarup RASMUSSEN","GOH Sze Fei","Nur IZZUDDIN",18,2021,"Men","Doubles",2,2,0,123,98,25,1,221,0.556561085972851
"345","Takuro HOKI","Yugo KOBAYASHI","Akira KOGA","Taichi SAITO",21,2021,"Men","Doubles",3,2,1,112,111,1,0.666666666666667,223,0.502242152466368
"346","Marcus Fernaldi GIDEON","Kevin Sanjaya SUKAMULJO","Kim ASTRUP","Anders Skaarup RASMUSSEN",21,2021,"Men","Doubles",2,2,0,112,94,18,1,206,0.543689320388349
"347","Takuro HOKI","Yugo KOBAYASHI","Mohammad AHSAN","Hendra SETIAWAN",21,2021,"Men","Doubles",2,2,0,112,105,7,1,217,0.516129032258065
"348","Satwiksairaj RANKIREDDY","Chirag SHETTY","LEE Jhe-Huei","YANG Po-Hsuan",23,2021,"Men","Doubles",2,2,0,108,93,15,1,201,0.537313432835821
"349","ONG Yew Sin","TEO Ee Yi","Phillip CHEW","Ryan CHEW",24,2021,"Men","Doubles",2,2,0,105,66,39,1,171,0.614035087719298
"350","Kim ASTRUP","Anders Skaarup RASMUSSEN","Vladimir IVANOV","Ivan SOZONOV",25,2021,"Men","Doubles",2,2,0,104,78,26,1,182,0.571428571428571
"351","Dechapol PUAVARANUKROH","Sapsiree TAERATTANACHAI","Praveen JORDAN","Melati Daeva OKTAVIANTI",1,2021,"Mixed","Doubles",5,5,0,274,226,48,1,500,0.548
"352","Dechapol PUAVARANUKROH","Sapsiree TAERATTANACHAI","Yuta WATANABE","Arisa HIGASHINO",2,2021,"Mixed","Doubles",6,3,3,242,224,18,0.5,466,0.51931330472103
"353","Yuta WATANABE","Arisa HIGASHINO","TAN Kian Meng","LAI Pei Jing",3,2021,"Mixed","Doubles",5,5,0,241,184,57,1,425,0.567058823529412
"354","Yuta WATANABE","Arisa HIGASHINO","Mathias CHRISTIANSEN","Alexandra BØJE",4,2021,"Mixed","Doubles",5,5,0,230,163,67,1,393,0.585241730279898
"355","Yuta WATANABE","Arisa HIGASHINO","TANG Chun Man","TSE Ying Suet",5,2021,"Mixed","Doubles",4,3,1,204,172,32,0.75,376,0.542553191489362
"356","Dechapol PUAVARANUKROH","Sapsiree TAERATTANACHAI","GOH Soon Huat","LAI Shevon Jemie",6,2021,"Mixed","Doubles",4,4,0,188,135,53,1,323,0.582043343653251
"357","Dechapol PUAVARANUKROH","Sapsiree TAERATTANACHAI","SEO Seung Jae","CHAE YuJung",7,2021,"Mixed","Doubles",4,3,1,187,183,4,0.75,370,0.505405405405405
"358","Dechapol PUAVARANUKROH","Sapsiree TAERATTANACHAI","KO Sung Hyun","EOM Hye Won",8,2021,"Mixed","Doubles",3,3,0,176,146,30,1,322,0.546583850931677
"359","Mathias CHRISTIANSEN","Alexandra BØJE","Marcus ELLIS","Lauren SMITH",9,2021,"Mixed","Doubles",4,3,1,175,167,8,0.75,342,0.511695906432749
"360","Dechapol PUAVARANUKROH","Sapsiree TAERATTANACHAI","TANG Chun Man","TSE Ying Suet",10,2021,"Mixed","Doubles",3,3,0,161,116,45,1,277,0.581227436823105
"361","Dechapol PUAVARANUKROH","Sapsiree TAERATTANACHAI","CHEN Tang Jie","PECK Yen Wei",11,2021,"Mixed","Doubles",3,3,0,144,121,23,1,265,0.543396226415094
"362","Dechapol PUAVARANUKROH","Sapsiree TAERATTANACHAI","HOO Pang Ron","CHEAH Yee See",11,2021,"Mixed","Doubles",3,3,0,144,107,37,1,251,0.573705179282869
"363","TANG Chun Man","TSE Ying Suet","Mark LAMSFUSS","Isabel HERTTRICH",13,2021,"Mixed","Doubles",4,2,2,143,123,20,0.5,266,0.537593984962406
"364","Thom GICQUEL","Delphine DELRUE","Mikkel MIKKELSEN","Rikke SØBY",14,2021,"Mixed","Doubles",3,3,0,140,111,29,1,251,0.557768924302789
"365","Thom GICQUEL","Delphine DELRUE","Rodion ALIMOV","Alina DAVLETOVA",15,2021,"Mixed","Doubles",3,1,2,132,130,2,0.333333333333333,262,0.50381679389313
"366","Niclas NOHR","Amalie MAGELUND","LEE Jhe-Huei","HSU Ya Ching",16,2021,"Mixed","Doubles",2,1,1,131,122,9,0.5,253,0.517786561264822
"367","Yuta WATANABE","Arisa HIGASHINO","HOO Pang Ron","CHEAH Yee See",17,2021,"Mixed","Doubles",3,3,0,126,89,37,1,215,0.586046511627907
"368","Dechapol PUAVARANUKROH","Sapsiree TAERATTANACHAI","Robin TABELING","Selena PIEK",17,2021,"Mixed","Doubles",3,3,0,126,96,30,1,222,0.567567567567568
"369","Mathias CHRISTIANSEN","Alexandra BØJE","Praveen JORDAN","Melati Daeva OKTAVIANTI",19,2021,"Mixed","Doubles",3,1,2,124,123,1,0.333333333333333,247,0.502024291497976
"370","WANG Yilyu","HUANG Dongping","Yuta WATANABE","Arisa HIGASHINO",20,2021,"Mixed","Doubles",2,1,1,118,110,8,0.5,228,0.517543859649123
"371","CHAN Peng Soon","GOH Liu Ying","Mathias CHRISTIANSEN","Alexandra BØJE",21,2021,"Mixed","Doubles",2,1,1,116,110,6,0.5,226,0.513274336283186
"372","Dechapol PUAVARANUKROH","Sapsiree TAERATTANACHAI","Marcus ELLIS","Lauren SMITH",22,2021,"Mixed","Doubles",3,2,1,115,96,19,0.666666666666667,211,0.545023696682464
"373","Satwiksairaj RANKIREDDY","Ashwini PONNAPPA","Hafiz FAIZAL","Gloria Emanuelle WIDJAJA",23,2021,"Mixed","Doubles",2,2,0,111,84,27,1,195,0.569230769230769
"374","Rodion ALIMOV","Alina DAVLETOVA","Robin TABELING","Selena PIEK",24,2021,"Mixed","Doubles",2,2,0,106,91,15,1,197,0.538071065989848
"375","Supak JOMKOH","Supissara PAEWSAMPRAN","TAN Kian Meng","LAI Pei Jing",24,2021,"Mixed","Doubles",2,2,0,106,90,16,1,196,0.540816326530612
"376","Lianne TAN",NA,"Sabrina JAQUET",NA,1,2020,"Women","Singles",3,3,0,150,150,0,1,300,0.5
"377","Sabrina JAQUET",NA,"Lianne TAN",NA,1,2020,"Women","Singles",3,0,3,150,150,0,0,300,0.5
"378","Carolina MARIN",NA,"Akane YAMAGUCHI",NA,3,2020,"Women","Singles",3,2,1,147,111,36,0.666666666666667,258,0.569767441860465
"379","Akane YAMAGUCHI",NA,"Gregoria Mariska TUNJUNG",NA,4,2020,"Women","Singles",3,3,0,145,119,26,1,264,0.549242424242424
"380","Akane YAMAGUCHI",NA,"Se Young AN",NA,5,2020,"Women","Singles",2,2,0,106,96,10,1,202,0.524752475247525
"381","Busanan ONGBAMRUNGPHAN",NA,"Pornpawee CHOCHUWONG",NA,5,2020,"Women","Singles",2,1,1,106,105,1,0.5,211,0.502369668246445
"382","Kirsty GILMOUR",NA,"Yvonne LI",NA,7,2020,"Women","Singles",2,2,0,103,82,21,1,185,0.556756756756757
"383","SUNG Ji Hyun",NA,"Pornpawee CHOCHUWONG",NA,8,2020,"Women","Singles",2,1,1,102,93,9,0.5,195,0.523076923076923
"384","Ruselli HARTAWAN",NA,"PAI Yu Po",NA,9,2020,"Women","Singles",2,2,0,99,91,8,1,190,0.521052631578947
"385","Gregoria Mariska TUNJUNG",NA,"Busanan ONGBAMRUNGPHAN",NA,10,2020,"Women","Singles",2,2,0,98,70,28,1,168,0.583333333333333
"386","PUSARLA V. Sindhu",NA,"Aya OHORI",NA,10,2020,"Women","Singles",2,2,0,98,72,26,1,170,0.576470588235294
"387","Yvonne LI",NA,"Kristin KUUBA",NA,13,2020,"Women","Singles",2,2,0,97,74,23,1,171,0.567251461988304
"388","Akane YAMAGUCHI",NA,"Soniia CHEAH",NA,13,2020,"Women","Singles",2,1,1,97,90,7,0.5,187,0.518716577540107
"389","Carolina MARIN",NA,"Pornpawee CHOCHUWONG",NA,13,2020,"Women","Singles",2,1,1,97,73,24,0.5,170,0.570588235294118
"390","HE Bingjiao",NA,"KIM Ga Eun",NA,13,2020,"Women","Singles",2,2,0,97,80,17,1,177,0.548022598870056
"391","Ratchanok INTANON",NA,"WANG Zhiyi",NA,16,2020,"Women","Singles",2,1,1,96,95,1,0.5,191,0.50261780104712
"392","CHEN Yufei",NA,"Line Højmark KJAERSFELDT",NA,17,2020,"Women","Singles",2,1,1,94,88,6,0.5,182,0.516483516483517
"393","Ratchanok INTANON",NA,"Aya OHORI",NA,18,2020,"Women","Singles",2,1,1,91,80,11,0.5,171,0.532163742690059
"394","Se Young AN",NA,"Kirsty GILMOUR",NA,20,2020,"Women","Singles",2,2,0,84,57,27,1,141,0.595744680851064
"395","Neslihan YIGIT",NA,"Airi MIKKELA",NA,20,2020,"Women","Singles",2,2,0,84,42,42,1,126,0.666666666666667
"396","Carolina MARIN",NA,"Natalia PERMINOVA",NA,20,2020,"Women","Singles",2,2,0,84,41,43,1,125,0.672
"397","Nozomi OKUHARA",NA,"Michelle LI",NA,20,2020,"Women","Singles",2,2,0,84,41,43,1,125,0.672
"398","Carolina MARIN",NA,"Nozomi OKUHARA",NA,23,2020,"Women","Singles",2,1,1,78,70,8,0.5,148,0.527027027027027
"399","Carolina MARIN",NA,"Kirsty GILMOUR",NA,24,2020,"Women","Singles",2,1,1,76,70,6,0.5,146,0.520547945205479
"400","CHEN Yufei",NA,"TAI Tzu Ying",NA,24,2020,"Women","Singles",2,1,1,76,69,7,0.5,145,0.524137931034483
"401","CHEN Qingchen","JIA Yifan","Nami MATSUYAMA","Chiharu SHIDA",1,2020,"Women","Doubles",3,1,2,123,121,2,0.333333333333333,244,0.504098360655738
"402","Vivian HOO","YAP Cheng Wen","CHOW Mei Kuan","LEE Meng Yean",2,2020,"Women","Doubles",2,1,1,115,110,5,0.5,225,0.511111111111111
"403","HSU Ya Ching","HU Ling Fang","Alexandra BØJE","Mette POULSEN",3,2020,"Women","Doubles",2,2,0,105,94,11,1,199,0.527638190954774
"404","Yuki FUKUSHIMA","Sayaka HIROTA","LI Wenmei","ZHENG Yu",4,2020,"Women","Doubles",2,1,1,102,95,7,0.5,197,0.517766497461929
"405","LI Wenmei","ZHENG Yu","KIM So Yeong","KONG Hee Yong",5,2020,"Women","Doubles",2,1,1,97,86,11,0.5,183,0.530054644808743
"406","LEE So Hee","SHIN Seung Chan","CHANG Ye Na","KIM Hye Rin",6,2020,"Women","Doubles",2,1,1,96,93,3,0.5,189,0.507936507936508
"407","KIM So Yeong","KONG Hee Yong","HSU Ya Ching","HU Ling Fang",7,2020,"Women","Doubles",2,2,0,86,64,22,1,150,0.573333333333333
"408","Gabriela STOEVA","Stefani STOEVA","Alexandra BØJE","Mette POULSEN",9,2020,"Women","Doubles",2,2,0,84,44,40,1,128,0.65625
"409","CHEN Qingchen","JIA Yifan","Gabriela STOEVA","Stefani STOEVA",9,2020,"Women","Doubles",2,2,0,84,49,35,1,133,0.631578947368421
"410","Siti Fadia Silva RAMADHANTI","Ribka SUGIARTO","Pooja DANDU","SANJANA SANTOSH",9,2020,"Women","Doubles",2,2,0,84,47,37,1,131,0.641221374045801
"411","DU Yue","LI Yinhui","CHOW Mei Kuan","LEE Meng Yean",9,2020,"Women","Doubles",2,2,0,84,57,27,1,141,0.595744680851064
"412","CHANG Ye Na","KIM Hye Rin","Greysia POLII","Apriyani RAHAYU",12,2020,"Women","Doubles",2,1,1,80,74,6,0.5,154,0.519480519480519
"413","Puttita SUPAJIRAKUL","Sapsiree TAERATTANACHAI","DU Yue","LI Yinhui",13,2020,"Women","Doubles",2,1,1,74,71,3,0.5,145,0.510344827586207
"414","LEE So Hee","SHIN Seung Chan","BAEK Ha Na","JUNG Kyung Eun",14,2020,"Women","Doubles",1,1,0,71,64,7,1,135,0.525925925925926
"415","LEE So Hee","SHIN Seung Chan","Ekaterina BOLOTOVA","Alina DAVLETOVA",15,2020,"Women","Doubles",1,1,0,67,61,6,1,128,0.5234375
"416","Misaki MATSUTOMO","Ayaka TAKAHASHI","LEE So Hee","SHIN Seung Chan",15,2020,"Women","Doubles",1,1,0,67,52,15,1,119,0.563025210084034
"417","Maiken FRUERGAARD","Sara THYGESEN","Clara NISTAD","Moa SJOO",18,2020,"Women","Doubles",1,1,0,64,56,8,1,120,0.533333333333333
"418","Alexandra BØJE","Mette POULSEN","Linda EFLER","Isabel HERTTRICH",18,2020,"Women","Doubles",1,1,0,64,59,5,1,123,0.520325203252033
"419","Greysia POLII","Apriyani RAHAYU","LIU Xuanxuan","XIA Yuting",18,2020,"Women","Doubles",1,1,0,64,56,8,1,120,0.533333333333333
"420","Greysia POLII","Apriyani RAHAYU","BAEK Ha Na","JUNG Kyung Eun",18,2020,"Women","Doubles",1,1,0,64,60,4,1,124,0.516129032258065
"421","KIM So Yeong","KONG Hee Yong","Chayanit CHALADCHALAM","Phataimas MUENWONG",22,2020,"Women","Doubles",1,1,0,63,55,8,1,118,0.533898305084746
"422","Martina REPISKA","Katarina VARGOVA","Liana LENCEVICA","Jekaterina ROMANOVA",22,2020,"Women","Doubles",1,1,0,63,60,3,1,123,0.51219512195122
"423","CHANG Ye Na","KIM Hye Rin","Vivian HOO","YAP Cheng Wen",22,2020,"Women","Doubles",1,1,0,63,54,9,1,117,0.538461538461538
