"","Player1","Player2","Opponent1","Opponent2","Rank","Year","Gender","Category","Matches","Wins","Losses","Points For","Points Against","Difference","win_pct","total_pts","shot_pct"
"163","Jongkolphan KITITHARAKUL","Rawinda PRAJONGJAI","Benyapa AIMSAARD","Nuntakarn AIMSAARD",13,2022,"Women","Doubles",3,2,1,150,140,10,0.666666666666667,290,0.517241379310345
"164","CHEN Qingchen","JIA Yifan","TAN Pearly Koong Le","Muralitharan THINAAH",14,2022,"Women","Doubles",3,3,0,146,114,32,1,260,0.561538461538462
"165","ZHANG Shuxian","ZHENG Yu","Febriana Dwipuji KUSUMA","Amalia Cahaya PRATIWI",15,2022,"Women","Doubles",3,3,0,144,103,41,1,247,0.582995951417004
"166","CHEN Qingchen","JIA Yifan","ZHANG Shuxian","ZHENG Yu",15,2022,"Women","Doubles",3,3,0,144,120,24,1,264,0.545454545454545
"167","CHEN Qingchen","JIA Yifan","Nami MATSUYAMA","Chiharu SHIDA",17,2022,"Women","Doubles",3,2,1,135,116,19,0.666666666666667,251,0.537848605577689
"168","Nami MATSUYAMA","Chiharu SHIDA","TAN Pearly Koong Le","Muralitharan THINAAH",18,2022,"Women","Doubles",3,2,1,133,123,10,0.666666666666667,256,0.51953125
"169","ZHANG Shuxian","ZHENG Yu","Gabriela STOEVA","Stefani STOEVA",19,2022,"Women","Doubles",3,2,1,132,116,16,0.666666666666667,248,0.532258064516129
"170","CHEN Qingchen","JIA Yifan","Vivian HOO","LIM Chiew Sien",20,2022,"Women","Doubles",3,3,0,129,103,26,1,232,0.556034482758621
"171","Benyapa AIMSAARD","Nuntakarn AIMSAARD","Vivian HOO","LIM Chiew Sien",21,2022,"Women","Doubles",3,3,0,126,72,54,1,198,0.636363636363636
"172","Rena MIYAURA","Ayako SAKURAMOTO","Rui HIROKAMI","Yuna KATO",22,2022,"Women","Doubles",3,2,1,123,84,39,0.666666666666667,207,0.594202898550725
"173","JEONG Na Eun","KIM Hye Jeong","Supissara PAEWSAMPRAN","Puttita SUPAJIRAKUL",23,2022,"Women","Doubles",2,2,0,122,88,34,1,210,0.580952380952381
"174","CHEN Qingchen","JIA Yifan","BAEK Ha Na","LEE Yu Lim",23,2022,"Women","Doubles",2,1,1,122,111,11,0.5,233,0.523605150214592
