"","fighter_name","Weight","Reach","Stance","SLpM","Str_Acc","SApM","Str_Def","TD_Avg","TD_Acc","TD_Def","Sub_Avg","birthyear","height_inches"
"1147","Norman Parke",155,70,"Southpaw",3.06,35,2.88,64,1.98,26,77,0,1986,71
"1148","Jhonoven Pati",185,75,"Switch",2.88,53,6.13,33,2.7,100,0,0,1990,73
"1149","Claude Patrick",170,75,"Orthodox",1.8,55,0.89,69,2.32,53,84,1.7,1980,71
"1150","Alan Patrick",155,74,"Southpaw",1.79,40,2.64,43,3.48,38,50,0.3,1983,71
"1151","Sergei Pavlovich",257,84,"Southpaw",6.55,52,4.59,44,0,0,50,0,1992,75
"1152","Pawel Pawlak",170,73,"Orthodox",1.67,33,2.22,53,1,37,70,0,1989,72
"1153","Jonathan Pearce",145,71,"Switch",8.8,55,6.65,46,5.91,60,75,0.7,1992,72
"1154","Carlo Pedersoli Jr.",170,75,"Southpaw",4.17,37,4.12,61,2.91,44,0,0,1993,71
"1155","Ross Pearson",155,69,"Orthodox",3.68,40,4.09,62,0.74,35,75,0,1984,68
"1156","Tyson Pedro",205,79,"Orthodox",2.7,62,2.55,48,0.74,25,52,1.5,1991,75
"1157","Julianna Pena",135,69,"Orthodox",2.8,47,1.7,53,2.49,53,23,0.8,1989,66
"1158","Kurt Pellegrino",155,70,"Orthodox",2.45,43,1.94,63,2.9,54,69,0.8,1979,68
"1159","Luis Pena",155,75,"Southpaw",3.26,47,2.74,50,1.37,33,45,1.4,1993,75
"1160","Cathal Pendred",170,75,"Orthodox",2.49,44,3.01,55,2.46,23,83,0.4,1987,73
"1161","BJ Penn",155,70,"Orthodox",2.76,48,3.2,56,1.19,55,74,0.5,1978,69
"1162","Jessica Penne",115,67,"Orthodox",2.46,33,4.73,48,1.58,25,20,0.6,1983,65
"1163","Raquel Pennington",135,67,"Orthodox",3.62,48,3.2,63,1.12,28,65,0.7,1988,67
"1164","Godofredo Pepey",145,73,"Orthodox",2.32,38,3.23,47,0.37,7,35,1.5,1987,67
"1165","Michel Pereira",170,73,"Orthodox",3.74,54,2.84,58,1.76,70,100,0.5,1993,73
"1166","Robert Peralta",145,71,"Orthodox",3.76,44,2.97,53,0.59,66,65,0,1986,68
"1167","Viviane Pereira",115,63,"Orthodox",2.7,30,4.48,58,0.25,100,28,0.2,1993,61
"1168","Erik Perez",135,68,"Orthodox",3.16,40,2.09,66,3.16,55,69,0.2,1989,68
"1169","Frankie Perez",155,73,"Orthodox",1.64,41,2.17,54,1.75,41,50,0.3,1989,71
"1170","Alejandro Perez",145,67,"Orthodox",3.52,35,2.94,64,0.52,20,73,0.1,1989,66
"1171","Markus Perez",185,73,"Orthodox",2.6,47,3.72,52,0.81,25,77,1,1988,73
"1172","Alex Perez",125,65,"Orthodox",4.62,47,3.08,61,2.92,45,87,1.3,1992,66
"1173","Anthony Perosh",205,75,"Orthodox",2.27,43,3.77,53,2.03,22,33,1.1,1972,75
"1174","Jay Perrin",135,69,"Switch",2.87,44,2.6,47,4,80,80,0,1993,67
"1175","Raphael Pessoa",262,78,"Orthodox",2.16,26,3.43,42,0,0,100,0,1989,75
"1176","Viktor Pesta",240,77,"Orthodox",1.58,36,2.54,56,3.29,28,100,0,1990,75
"1177","Mike Perry",170,71,"Orthodox",4.35,47,4.82,54,0.69,38,77,0.2,1991,70
"1178","Peter Petties",145,72,"Southpaw",2.61,29,8.24,48,0,0,0,0,1990,71
"1179","Steven Peterson",145,70,"Orthodox",4.65,35,5.89,56,2.02,28,75,0.4,1990,70
"1180","Seth Petruzelli",205,76,"Orthodox",2.17,41,2.08,55,0.46,50,47,2.3,1979,72
"1181","Anthony Pettis",155,72,"Orthodox",3.05,47,3.44,54,0.61,50,60,1.1,1987,70
"1182","Forrest Petz",170,71,"Orthodox",2.27,29,2.2,57,1.3,100,66,0,1975,69
"1183","Cody Pfister",155,73,"Orthodox",1.41,25,2.8,51,2.82,30,0,0,1990,70
"1184","Sergio Pettis",125,69,"Orthodox",3.88,37,2.91,65,0.85,40,67,0.4,1993,66
"1185","Nam Phan",135,70,"Orthodox",4.52,37,6.55,59,0.18,18,60,0.2,1983,66
"1186","Aaron Phillips",135,71,"Southpaw",1.65,56,3.44,39,0,0,44,0.4,1989,69
"1187","Constantinos Philippou",185,73,"Orthodox",2.19,35,2.73,54,0.4,42,65,0.3,1979,71
"1188","John Phillips",185,75,"Southpaw",1.72,34,4.03,49,0,0,7,0,1985,71
"1189","Elizabeth Phillips",135,65,"Orthodox",2.6,33,3.07,58,0.75,25,53,0.2,1986,66
