Player,Surface,EloRank,WinPercentage,DoubleFaultPercentage,ReturnPointsWonPercentage
Quentin Halys,Hard,139,0.33333,0.05405,0.29372
Guido Pella,Clay,140,0.4,0.03633,0.32233
Guido Pella,Grass,140,0.6,0.02326,0.34592
Federico Coria,Clay,141,0.5,0.03085,0.42951
Arthur Rinderknech,Clay,142,0.42857,0.04509,0.33646
Arthur Rinderknech,Grass,142,0.33333,0.03162,0.33267
Arthur Rinderknech,Hard,142,0.4,0.02692,0.3178
Daniel Altmaier,Clay,144,0.45455,0.02769,0.38627
Daniel Altmaier,Hard,144,0.38095,0.03071,0.33668
Arthur Cazaux,Hard,145,0.5,0.02093,0.34956
Ilya Ivashka,Hard,146,0.4,0.07722,0.37903
Otto Virtanen,Hard,147,0.625,0.05263,0.34783
Joao Fonseca,Clay,148,0.5,0.03071,0.39603
Richard Gasquet,Clay,151,0.16667,0.03153,0.38269
Richard Gasquet,Grass,151,0.33333,0.04207,0.32941
Richard Gasquet,Hard,151,0.21429,0.035,0.32019
Pedro Martinez,Clay,152,0.6,0.04348,0.41008
Hugo Gaston,Clay,154,0.33333,0.02872,0.38879
Hugo Gaston,Hard,154,0.45455,0.03323,0.36364
Aleksandar Vukic,Clay,155,0.4,0.02307,0.363
Aleksandar Vukic,Grass,155,0.4,0.01965,0.30921
Aleksandar Vukic,Hard,155,0.38462,0.02404,0.3266
Luca Nardi,Hard,156,0.42857,0.03186,0.34291
Jiri Vesely,Hard,157,0.4,0.07065,0.28791
Albert Ramos,Clay,159,0.44444,0.02639,0.40605
Albert Ramos,Hard,159,0.16667,0.02178,0.31469
Soon Woo Kwon,Hard,161,0.125,0.04301,0.32231
Hugo Grenier,Hard,162,0.33333,0.05591,0.34615
Juan Manuel Cerundolo,Clay,167,0.16667,0.05204,0.34332
Juan Manuel Cerundolo,Hard,167,0.66667,0.06261,0.38121
Andrea Vavassori,Clay,169,0.42857,0.03896,0.37719
Maximilian Marterer,Clay,171,0.33333,0.03351,0.33947
Maximilian Marterer,Hard,171,0.3,0.02428,0.30795
Daniel Elahi Galan,Clay,172,0.29412,0.02105,0.36772
Daniel Elahi Galan,Grass,172,0.6,0.01906,0.36437
Daniel Elahi Galan,Hard,172,0.25,0.02058,0.3588
Marco Cecchinato,Clay,174,0.2,0.02604,0.3129
Benjamin Bonzi,Hard,177,0.25,0.03375,0.35324
Francesco Passaro,Clay,180,0.4,0.04454,0.30415
Zachary Svajda,Hard,184,0.33333,0.0255,0.34462
Elias Ymer,Hard,196,0.375,0.04684,0.354
Hugo Dellien,Clay,197,0.14286,0.01765,0.33774
Maxime Cressy,Grass,198,0.16667,0.1229,0.30847
Maxime Cressy,Hard,198,0.2,0.08989,0.32323
Constant Lestienne,Hard,199,0.26667,0.03707,0.37412
Juan Pablo Varillas,Clay,201,0.5,0.01552,0.39845
Juan Pablo Varillas,Hard,201,0.30769,0.02411,0.33655
Tomas Barrios Vera,Clay,203,0.4,0.04747,0.3255
Shintaro Mochizuki,Hard,207,0.3,0.03634,0.34039
Jurij Rodionov,Clay,211,0.33333,0.0279,0.35062
Jurij Rodionov,Hard,211,0.42857,0.0257,0.35141
Abedallah Shelbayh,Hard,214,0.28571,0.04781,0.35575
Bernabe Zapata Miralles,Clay,231,0.22222,0.02642,0.39107
Bernabe Zapata Miralles,Hard,231,0.16667,0.02817,0.34994
Pedro Cachin,Clay,233,0.42857,0.03187,0.38001
Pedro Cachin,Hard,233,0,0.03774,0.30573
Valentin Vacherot,Clay,235,0.33333,0.02985,0.39007
Sho Shimabukuro,Hard,246,0.375,0.0344,0.3356
Patrick Kypson,Hard,247,0.5,0.02118,0.30353
Gabriel Diallo,Hard,249,0.5,0.03858,0.37398
Thiago Agustin Tirante,Clay,280,0.5,0.01926,0.36449
Seong Chan Hong,Hard,346,0,0.01688,0.31839
