Player,Measure Names,Competition Level,Full Division Name,Full Team Name Correct,Full Team Name,Gender Division,Measure Values
Declan Kervick,Team Games,Division 1,Division 1 Men,Vermont Chill,Vermont Chill,Men,5
Carly Atwell,Team Games,Division 1,Division 1 Women,Utah Spiral Jetty,Utah Spiral Jetty,Women,5
Caelan McSweeney,Team Games,Division 1,Division 1 Men,Massachusetts Zoodisc,Massachusetts Zoodisc,Men,5
Anthony Jirele,Team Games,Division 1,Division 1 Men,Minnesota Grey Duck,Minnesota Grey Duck,Men,5
Simone Pierotti,Team Games,Division 1,Division 1 Women,Colorado Quandary,Colorado Quandary,Women,7
Taylor Dunn,Team Games,Division 3,Division 3 Women,Mount Holyoke Daisy Chain,Mount Holyoke Daisy Chain,Women,6
Tatum Cubrilovic,Team Games,Division 1,Division 1 Women,Vermont Ruckus,Vermont Ruckus,Women,6
Sam Papin,Team Games,Division 3,Division 3 Men,Missouri S&T Miner Threat,Missouri S&T Miner Threat,Men,6
Rutledge Smith,Team Games,Division 1,Division 1 Men,North Carolina Darkside,North Carolina Darkside,Men,6
Nicholas Bollman,Team Games,Division 3,Division 3 Men,Williams WUFO,Williams WUFO,Men,6
Nathan Wang,Team Games,Division 3,Division 3 Men,Carleton CHOP,Carleton CHOP,Men,6
Isabel Berman,Team Games,Division 1,Division 1 Women,Vermont Ruckus,Vermont Ruckus,Women,6
Helena Tremblay,Team Games,Division 1,Division 1 Women,British Columbia Thunderbirds,British Columbia Thunderbirds,Women,6
Eric Treyz,Team Games,Division 3,Division 3 Men,Bates Orange Whip,Bates Orange Whip,Men,6
Brian Trowbridge,Team Games,Division 1,Division 1 Men,North Carolina Darkside,North Carolina Darkside,Men,6
Braque Pike,Team Games,Division 3,Division 3 Men,Oberlin Flying Horsecows,Oberlin Flying Horsecows,Men,6
Luca Duclos-Orsello,Team Games,Division 1,Division 1 Men,Brown Brownian Motion,Brown Brownian Motion,Men,8
Wyatt Kellman,Team Games,Division 1,Division 1 Men,Massachusetts Zoodisc,Massachusetts Zoodisc,Men,5
Viola Deszily,Team Games,Division 1,Division 1 Women,California - Santa Cruz Sol,California - Santa Cruz Sol,Women,5
Taylor Betonte,Team Games,Division 1,Division 1 Women,Victoria Vikes,Victoria Vikes,Women,5
Sophia Harvey,Team Games,Division 1,Division 1 Women,Michigan Flywheel,Michigan Flywheel,Women,5
Peter Kotz,Team Games,Division 1,Division 1 Men,Pittsburgh En Sabah Nur,Pittsburgh En Sabah Nur,Men,5
Jonathan Sillivant,Team Games,Division 1,Division 1 Men,Alabama-Huntsville Nightmares,Alabama-Huntsville Nightmares,Men,5
John Clyde,Team Games,Division 1,Division 1 Men,Texas TUFF,Texas TUFF,Men,5
Jessie Chan,Team Games,Division 1,Division 1 Women,Tufts EWO,Tufts EWO,Women,5
Isaac Kaplan,Team Games,Division 1,Division 1 Men,Massachusetts Zoodisc,Massachusetts Zoodisc,Men,5
Dagny Lott,Team Games,Division 1,Division 1 Women,Pennsylvania Venus,Pennsylvania Venus,Women,5
Cece Rhyneer,Team Games,Division 3,Division 3 Women,Middlebury Pranksters,Middlebury Pranksters,Women,5
Callahan Bosworth,Team Games,Division 1,Division 1 Men,Oregon State Beavers,Oregon State Beavers,Men,5
Bennett Schwartz,Team Games,Division 1,Division 1 Men,Washington University Contra,Washington University Contra,Men,5
Alex Mullen,Team Games,Division 1,Division 1 Men,Penn State Spank,Penn State Spank,Men,5
Seamus Robinson,Team Games,Division 1,Division 1 Men,Cal Poly-SLO Slocore,Cal Poly-SLO Slocore,Men,7
Nicole lambert,Team Games,Division 1,Division 1 Women,Stanford Superfly,Stanford Superfly,Women,7
Macy Hudson,Team Games,Division 1,Division 1 Women,North Carolina Pleiades,North Carolina Pleiades,Women,7
Levi Tapper,Team Games,Division 1,Division 1 Men,Colorado Mambird,Colorado Mambird,Men,7
Kailyn Lowder,Team Games,Division 1,Division 1 Women,North Carolina Pleiades,North Carolina Pleiades,Women,7
Calvin Stoughton,Team Games,Division 1,Division 1 Men,Colorado Mambird,Colorado Mambird,Men,7
Zachary Marshall,Team Games,Division 3,Division 3 Men,Oberlin Flying Horsecows,Oberlin Flying Horsecows,Men,6
Sonia Nicholson,Team Games,Division 3,Division 3 Women,Haverford/Bryn Mawr Sneetches,Haverford/Bryn Mawr Sneetches,Women,6
Phoebe Hulbert,Team Games,Division 3,Division 3 Women,Haverford/Bryn Mawr Sneetches,Haverford/Bryn Mawr Sneetches,Women,6
Opal Burruss,Team Games,Division 1,Division 1 Women,Carleton Syzygy,Carleton Syzygy,Women,6
Jason Tapper,Team Games,Division 1,Division 1 Men,Brown Brownian Motion,Brown Brownian Motion,Men,8
Isabel Cody,Team Games,Division 3,Division 3 Women,Colorado College Zenith,Colorado College Zenith,Women,6
Cooper Andersen,Team Games,Division 3,Division 3 Men,Whitman Sweets,Whitman Sweets,Men,6
Chagall Gelfand,Team Games,Division 1,Division 1 Women,Carleton Syzygy,Carleton Syzygy,Women,6
Cameron Dolbow,Team Games,Division 3,Division 3 Men,Carleton CHOP,Carleton CHOP,Men,6
Audrey Parrott,Team Games,Division 1,Division 1 Women,Carleton Syzygy,Carleton Syzygy,Women,6
Adam Wulkan,Team Games,Division 1,Division 1 Men,Oregon EGO,Oregon EGO,Men,6
Theresa Yu,Team Games,Division 1,Division 1 Women,North Carolina Pleiades,North Carolina Pleiades,Women,7
Sierra Petrash,Team Games,Division 1,Division 1 Women,Colorado Quandary,Colorado Quandary,Women,7
Ryan Shigley,Team Games,Division 1,Division 1 Men,Colorado Mambird,Colorado Mambird,Men,7
Kyle Lew,Team Games,Division 1,Division 1 Men,Cal Poly-SLO Slocore,Cal Poly-SLO Slocore,Men,7
Dexter Luecke,Team Games,Division 1,Division 1 Men,Colorado Mambird,Colorado Mambird,Men,7
Alex Yannelli,Team Games,Division 1,Division 1 Men,Cal Poly-SLO Slocore,Cal Poly-SLO Slocore,Men,7
Zachary Watson-Stevens,Team Games,Division 1,Division 1 Men,Vermont Chill,Vermont Chill,Men,5
Tej Murthy,Team Games,Division 1,Division 1 Men,Carleton CUT,Carleton CUT,Men,5
Sophia Palmer,Team Games,Division 1,Division 1 Women,Washington Element,Washington Element,Women,5
Sophia Fitch,Team Games,Division 1,Division 1 Women,California - San Diego D-Co,California - San Diego D-Co,Women,5
