"rank","Player","begin_year","end_year","Pos","G","PA","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","IBB","HBP","SH","SF","DP","BA","OBP","SLG","OPS","OPS+"
337,"Leon Ruffin",1935,1946,"C",241,808,725,81,154,19,2,2,91,7,0,56,4,0,7,20,0,0,0.212,0.275,0.252,0.528,42
338,"Red Moore",1936,1940,"1B",166,639,553,79,154,24,8,3,88,5,0,58,4,0,5,23,0,0,0.278,0.352,0.367,0.719,96
339,"Ed Steele",1942,1948,"RF",131,548,454,100,154,25,15,9,82,15,3,69,3,1,16,8,1,0,0.339,0.443,0.52,0.962,180
340,"Bill Kindle",1911,1925,"2B",128,566,494,100,152,18,6,3,59,39,NA,44,NA,NA,5,23,0,NA,0.308,0.37,0.387,0.757,115
341,"Silvio García",1936,1947,"SS",132,524,475,67,152,22,7,9,90,25,0,38,0,0,6,5,NA,1,0.32,0.378,0.453,0.83,125
342,"Gervasio González",1910,1917,"1B",172,742,637,93,152,25,4,3,77,12,NA,69,NA,NA,8,28,NA,NA,0.239,0.321,0.305,0.625,100
343,"Dennis Graham",1921,1931,"RF",125,488,449,78,152,17,6,1,70,14,1,31,1,0,0,8,0,NA,0.339,0.381,0.41,0.791,101
344,"Eddie Douglass",1918,1925,"1B",140,608,565,79,152,18,3,8,64,19,0,28,NA,NA,1,14,0,NA,0.269,0.305,0.354,0.659,94
345,"Luis Bustamante",1904,1913,"SS",172,719,643,81,151,19,5,0,49,25,NA,58,NA,NA,2,16,NA,NA,0.235,0.3,0.28,0.58,83
346,"Robert Bonner",1921,1926,"1B",173,696,632,87,149,38,7,8,71,9,0,42,2,NA,6,16,0,NA,0.236,0.29,0.356,0.646,64
347,"Bill Johnson",1920,1928,"C",157,592,528,70,148,24,11,8,72,10,NA,45,NA,NA,2,17,0,NA,0.28,0.339,0.413,0.752,99
348,"Eugene Moore",1909,1921,"RF",161,683,600,86,148,23,5,1,64,36,1,51,1,NA,11,21,0,NA,0.247,0.317,0.307,0.624,75
349,"Paul Hardy",1932,1943,"C",220,727,659,81,148,16,7,1,59,9,0,46,3,0,5,17,0,0,0.225,0.28,0.275,0.555,63
350,"John Shackelford",1924,1930,"3B",145,550,519,67,148,13,6,6,50,14,0,23,0,0,0,8,0,0,0.285,0.315,0.368,0.684,79
351,"Johnny Pugh",1908,1922,"RF",170,648,575,93,147,23,5,8,86,51,0,49,0,0,11,12,1,NA,0.256,0.325,0.355,0.68,95
352,"Willie Woods",1919,1926,"CF",175,699,638,63,146,9,2,0,45,27,1,28,1,0,10,23,0,NA,0.229,0.272,0.249,0.521,51
353,"Danny McClellan",1903,1913,"CF",135,570,518,72,144,18,5,0,47,12,NA,38,NA,NA,1,13,NA,NA,0.278,0.329,0.332,0.661,105
354,"Chico Renfroe",1945,1948,"SS",155,613,518,83,143,20,10,1,58,10,0,62,0,NA,9,24,NA,0,0.276,0.363,0.359,0.722,101
355,"Chuffie Alexander",1927,1932,"LF",162,594,545,72,143,22,8,1,45,18,NA,21,1,NA,2,26,NA,NA,0.262,0.292,0.338,0.63,85
356,"Tatica Campos",1915,1930,"RF",190,753,653,74,142,12,0,2,46,20,1,76,NA,NA,0,24,0,NA,0.217,0.299,0.245,0.544,74
357,"Scrappy Brown",1920,1930,"SS",178,664,600,68,140,17,5,2,47,19,1,28,2,NA,4,32,0,NA,0.233,0.272,0.288,0.56,48
358,"John Bissant",1937,1947,"LF",146,549,504,80,140,19,10,3,50,8,1,36,3,0,1,8,0,1,0.278,0.327,0.373,0.7,112
359,"Johnie Watson",1917,1926,"LF",162,635,575,98,140,19,7,4,61,15,NA,42,0,NA,1,17,0,NA,0.243,0.296,0.322,0.618,59
360,"Burdell Young",1922,1928,"RF",137,574,517,78,139,18,12,7,57,14,NA,38,NA,NA,2,17,0,NA,0.269,0.321,0.391,0.712,82
361,"Jim Gilliam",1946,1948,"2B",144,589,502,96,139,23,9,0,68,18,1,68,0,0,3,16,NA,0,0.277,0.366,0.359,0.725,103
362,"Isaac Lane",1918,1922,"3B",138,567,508,91,138,13,7,4,50,23,0,45,1,NA,4,10,0,NA,0.272,0.336,0.348,0.684,87
363,"Louis Miller",1910,1923,"3B",180,741,664,62,137,23,2,1,62,18,0,44,1,NA,5,27,1,NA,0.206,0.261,0.252,0.512,50
364,"Buck Miller",1924,1930,"SS",232,693,618,67,137,16,10,0,44,7,0,55,1,0,0,20,0,0,0.222,0.285,0.28,0.565,58
365,"Tack Summers",1923,1928,"LF",147,547,491,62,137,17,6,2,47,5,NA,38,1,NA,8,10,NA,NA,0.279,0.341,0.35,0.691,80
366,"T. J. Brown",1939,1948,"SS",172,626,561,64,136,28,5,0,49,12,0,35,1,0,5,25,0,0,0.242,0.293,0.31,0.603,81
367,"Chappie Johnson",1899,1922,"C",184,725,634,57,135,25,1,5,61,12,NA,52,NA,NA,5,34,0,NA,0.213,0.278,0.279,0.557,69
368,"Lee Moody",1944,1947,"1B",123,494,468,55,134,20,3,2,70,6,0,16,0,0,0,10,0,NA,0.286,0.31,0.355,0.665,100
369,"Johnny Ray",1937,1945,"CF",174,714,610,102,134,7,5,0,40,9,0,80,6,0,13,10,1,0,0.22,0.322,0.248,0.57,71
370,"Charlie Parks",1938,1947,"C",178,568,495,57,134,25,8,6,64,3,0,58,10,1,2,13,0,1,0.271,0.35,0.39,0.739,104
371,"Art Pennington",1941,1945,"LF",139,571,498,71,134,14,8,7,64,10,0,67,7,0,2,4,0,0,0.269,0.358,0.371,0.73,125
372,"Carlos Morán",1906,1914,"3B",127,557,487,90,132,21,6,3,48,12,NA,49,NA,NA,3,18,NA,NA,0.271,0.341,0.357,0.699,113
373,"Babe Melton",1926,1929,"CF",114,442,401,81,132,19,18,16,71,14,NA,30,0,NA,4,7,NA,NA,0.329,0.382,0.586,0.968,135
374,"Ernest Gatewood",1914,1927,"C",215,734,666,63,132,10,5,0,60,11,NA,52,NA,NA,1,15,0,NA,0.198,0.257,0.228,0.486,36
375,"James Buford",1929,1933,"2B",125,474,448,54,131,12,6,3,48,13,NA,17,NA,NA,1,8,NA,NA,0.292,0.32,0.366,0.686,95
376,"Bud Barbee",1937,1948,"1B",173,550,490,63,130,13,5,6,67,4,1,52,1,1,1,7,0,0,0.265,0.337,0.349,0.686,87
377,"Sam Hairston",1944,1948,"3B",115,464,414,74,129,23,4,5,62,7,0,42,1,0,3,5,0,1,0.312,0.379,0.423,0.802,126
378,"William Parks",1909,1922,"SS",128,545,476,62,129,18,4,2,48,13,NA,44,NA,NA,2,23,0,NA,0.271,0.335,0.338,0.673,103
379,"Robert Gaston",1932,1948,"C",197,650,564,67,129,28,3,2,75,1,1,64,4,0,7,15,0,0,0.229,0.315,0.3,0.615,67
380,"George Wright",1904,1913,"SS",122,493,459,54,128,24,1,2,56,9,NA,28,NA,NA,1,5,NA,NA,0.279,0.322,0.349,0.67,96
381,"Lyman Bostock",1940,1948,"1B",109,432,394,46,128,18,7,0,54,4,0,29,0,0,0,9,NA,0,0.325,0.371,0.406,0.777,128
382,"Marvin Williams",1943,1945,"2B",85,366,335,68,127,24,10,8,79,6,NA,25,10,1,2,4,0,0,0.379,0.425,0.582,1.008,161
383,"Bob Thurman",1946,1948,"RF",119,409,379,60,126,19,7,8,65,10,0,24,0,NA,3,3,NA,NA,0.332,0.377,0.483,0.86,142
384,"John Kemp",1923,1928,"CF",140,531,487,52,126,17,2,3,48,7,NA,23,NA,NA,0,21,NA,NA,0.259,0.292,0.32,0.612,74
385,"Dave Campbell",1938,1942,"2B",135,542,484,65,125,17,6,2,37,7,0,45,2,0,2,11,NA,0,0.258,0.324,0.331,0.654,72
386,"Harry Bauchman",1911,1921,"2B",173,663,588,71,125,13,5,1,55,21,2,49,0,NA,2,24,0,NA,0.213,0.275,0.257,0.532,68
