"","player","level","gender","division","team_name","statistic","value"
"226","Cece Rhyneer","Division 3","Women","Division 3 Women","Middlebury Pranksters","Team Games",5
"227","Callahan Bosworth","Division 1","Men","Division 1 Men","Oregon State Beavers","Team Games",5
"228","Bennett Schwartz","Division 1","Men","Division 1 Men","Washington University Contra","Team Games",5
"229","Alex Mullen","Division 1","Men","Division 1 Men","Penn State Spank","Team Games",5
"230","Seamus Robinson","Division 1","Men","Division 1 Men","Cal Poly-SLO Slocore","Team Games",7
"231","Nicole lambert","Division 1","Women","Division 1 Women","Stanford Superfly","Team Games",7
"232","Macy Hudson","Division 1","Women","Division 1 Women","North Carolina Pleiades","Team Games",7
"233","Levi Tapper","Division 1","Men","Division 1 Men","Colorado Mambird","Team Games",7
"234","Kailyn Lowder","Division 1","Women","Division 1 Women","North Carolina Pleiades","Team Games",7
"235","Calvin Stoughton","Division 1","Men","Division 1 Men","Colorado Mambird","Team Games",7
"236","Zachary Marshall","Division 3","Men","Division 3 Men","Oberlin Flying Horsecows","Team Games",6
"237","Sonia Nicholson","Division 3","Women","Division 3 Women","Haverford/Bryn Mawr Sneetches","Team Games",6
"238","Phoebe Hulbert","Division 3","Women","Division 3 Women","Haverford/Bryn Mawr Sneetches","Team Games",6
"239","Opal Burruss","Division 1","Women","Division 1 Women","Carleton Syzygy","Team Games",6
"240","Jason Tapper","Division 1","Men","Division 1 Men","Brown Brownian Motion","Team Games",8
"241","Isabel Cody","Division 3","Women","Division 3 Women","Colorado College Zenith","Team Games",6
"242","Cooper Andersen","Division 3","Men","Division 3 Men","Whitman Sweets","Team Games",6
"243","Chagall Gelfand","Division 1","Women","Division 1 Women","Carleton Syzygy","Team Games",6
"244","Cameron Dolbow","Division 3","Men","Division 3 Men","Carleton CHOP","Team Games",6
"245","Audrey Parrott","Division 1","Women","Division 1 Women","Carleton Syzygy","Team Games",6
"246","Adam Wulkan","Division 1","Men","Division 1 Men","Oregon EGO","Team Games",6
"247","Theresa Yu","Division 1","Women","Division 1 Women","North Carolina Pleiades","Team Games",7
"248","Sierra Petrash","Division 1","Women","Division 1 Women","Colorado Quandary","Team Games",7
"249","Ryan Shigley","Division 1","Men","Division 1 Men","Colorado Mambird","Team Games",7
"250","Kyle Lew","Division 1","Men","Division 1 Men","Cal Poly-SLO Slocore","Team Games",7
"251","Dexter Luecke","Division 1","Men","Division 1 Men","Colorado Mambird","Team Games",7
"252","Alex Yannelli","Division 1","Men","Division 1 Men","Cal Poly-SLO Slocore","Team Games",7
"253","Zachary Watson-Stevens","Division 1","Men","Division 1 Men","Vermont Chill","Team Games",5
"254","Tej Murthy","Division 1","Men","Division 1 Men","Carleton CUT","Team Games",5
"255","Sophia Palmer","Division 1","Women","Division 1 Women","Washington Element","Team Games",5
"256","Sophia Fitch","Division 1","Women","Division 1 Women","California - San Diego D-Co","Team Games",5
"257","Sam Green","Division 1","Men","Division 1 Men","Massachusetts Zoodisc","Team Games",5
"258","Saaketh Palchuru","Division 1","Men","Division 1 Men","Texas TUFF","Team Games",5
"259","Noah Stovitz","Division 1","Men","Division 1 Men","Washington University Contra","Team Games",5
"260","Nicholas Jeschke","Division 1","Men","Division 1 Men","Washington University Contra","Team Games",5
"261","Morgan Williams","Division 1","Women","Division 1 Women","Utah Spiral Jetty","Team Games",5
"262","Max Rogers","Division 3","Men","Division 3 Men","Middlebury Pranksters","Team Games",5
"263","Liz Crawford","Division 3","Women","Division 3 Women","Middlebury Pranksters","Team Games",5
"264","Lilliana Werner","Division 1","Women","Division 1 Women","Western Washington Chaos","Team Games",5
"265","Lauren Goddu","Division 1","Women","Division 1 Women","Washington Element","Team Games",5
"266","Kenni Taylor","Division 1","Men","Division 1 Men","Alabama-Huntsville Nightmares","Team Games",5
"267","Juliana Eno","Division 3","Women","Division 3 Women","St Olaf Vortex","Team Games",5
"268","Julia Hasbrook","Division 1","Women","Division 1 Women","California - Santa Barbara Burning Skirts","Team Games",5
"269","James Baker Jr","Division 1","Men","Division 1 Men","Michigan Magnum","Team Games",5
"270","Isaiah Mason","Division 1","Men","Division 1 Men","Alabama-Huntsville Nightmares","Team Games",5
"271","Grace Craig","Division 1","Women","Division 1 Women","California - Santa Barbara Burning Skirts","Team Games",5
"272","Doug Hoyer","Division 1","Men","Division 1 Men","Penn State Spank","Team Games",5
"273","Couper Kerns","Division 3","Men","Division 3 Men","Oklahoma Christian Eagles","Team Games",5
"274","Cole Krucke","Division 1","Men","Division 1 Men","Georgia Jojah","Team Games",5
"275","Clara Margulius","Division 1","Women","Division 1 Women","Tufts EWO","Team Games",5
"276","Callahan Diercks","Division 1","Men","Division 1 Men","Alabama-Huntsville Nightmares","Team Games",5
"277","Cade White","Division 1","Men","Division 1 Men","Texas TUFF","Team Games",5
"278","Arianna Edwards","Division 1","Women","Division 1 Women","SUNY - Binghamton Big Bear","Team Games",5
"279","Antonio Rueda","Division 1","Men","Division 1 Men","Oregon State Beavers","Team Games",5
"280","Anna Pettis","Division 1","Women","Division 1 Women","Washington Element","Team Games",5
"281","Zayna Hopkins","Division 3","Women","Division 3 Women","Macalester Purse Snatchers","Team Games",6
"282","Thalia Tzetos","Division 1","Women","Division 1 Women","Oregon Fugue","Team Games",6
"283","Sydney Merrell","Division 1","Women","Division 1 Women","Carleton Syzygy","Team Games",6
"284","Sophie Diliberti","Division 3","Women","Division 3 Women","Macalester Purse Snatchers","Team Games",6
"285","Sean Wiles","Division 1","Men","Division 1 Men","NC State Alpha","Team Games",6
"286","Scout Noble","Division 3","Women","Division 3 Women","Wesleyan Vicious Circles","Team Games",6
"287","Raquel Alegria","Division 3","Women","Division 3 Women","Wellesley Whiptails","Team Games",6
"288","Matthew McKnight","Division 1","Men","Division 1 Men","North Carolina Darkside","Team Games",6
"289","Kai Kirsch","Division 3","Men","Division 3 Men","Whitman Sweets","Team Games",6
"290","Jude Schmiesing","Division 3","Men","Division 3 Men","Franciscan Fatal","Team Games",6
"291","Elizabeth Swanson","Division 3","Women","Division 3 Women","Carleton Eclipse","Team Games",6
"292","Charlie Wagner","Division 3","Men","Division 3 Men","Lewis & Clark Bacchus","Team Games",6
"293","Annie Pozzy","Division 1","Women","Division 1 Women","Vermont Ruckus","Team Games",6
"294","Caroline Spencer","Division 1","Women","Division 1 Women","North Carolina Pleiades","Team Games",7
"295","Atkin Arnstein","Division 1","Men","Division 1 Men","Colorado Mambird","Team Games",7
"296","Zoe DeLuca","Division 1","Women","Division 1 Women","Georgia Athena","Team Games",5
"297","Zachary Loyd","Division 1","Men","Division 1 Men","Michigan Magnum","Team Games",5
"298","Timothy Chango Gasset","Division 1","Men","Division 1 Men","Pittsburgh En Sabah Nur","Team Games",5
"299","Sarah Lang","Division 1","Women","Division 1 Women","Georgia Athena","Team Games",5
"300","Samuel Roberts","Division 3","Men","Division 3 Men","Oklahoma Christian Eagles","Team Games",5
"301","Sam Rose","Division 1","Men","Division 1 Men","Georgia Jojah","Team Games",5
"302","Melissa Torchio","Division 1","Women","Division 1 Women","SUNY - Binghamton Big Bear","Team Games",5
"303","Maggie Coutts","Division 1","Women","Division 1 Women","Colorado State Helle's Belles","Team Games",5
"304","Luca Harwood","Division 1","Men","Division 1 Men","Massachusetts Zoodisc","Team Games",5
"305","Kushal Khangaonkar","Division 1","Men","Division 1 Men","Cal Ursa Major","Team Games",5
