"","player","level","gender","division","team_name","statistic","value"
"1220","Calder Lange","Division 3","Men","Division 3 Men","Middlebury Pranksters","Team Games",5
"1221","Cady Carr","Division 3","Women","Division 3 Women","Occidental WAC","Team Games",6
"1222","Bryan Dole","Division 1","Men","Division 1 Men","Massachusetts Zoodisc","Team Games",5
"1223","Brianna Johnson","Division 1","Women","Division 1 Women","Stanford Superfly","Team Games",7
"1224","Brendan Banfield","Division 3","Men","Division 3 Men","Carleton CHOP","Team Games",6
"1225","Bradley Kerr","Division 1","Men","Division 1 Men","Michigan Magnum","Team Games",5
"1226","Beorn Morrow-Caron","Division 1","Men","Division 1 Men","Vermont Chill","Team Games",5
"1227","Benson Cady","Division 1","Men","Division 1 Men","Cal Poly-SLO Slocore","Team Games",7
"1228","Benjamin Scott-Lewis","Division 1","Men","Division 1 Men","Carleton CUT","Team Games",5
"1229","Benjamin Perry","Division 3","Men","Division 3 Men","Rochester Piggies","Team Games",6
"1230","Benjamin Parsons","Division 3","Men","Division 3 Men","Oberlin Flying Horsecows","Team Games",6
"1231","Benjamin Goldstein","Division 3","Men","Division 3 Men","Rochester Piggies","Team Games",6
"1232","Ben Lodahl","Division 1","Men","Division 1 Men","Oregon State Beavers","Team Games",5
"1233","Beckett Schafer","Division 3","Men","Division 3 Men","Carleton CHOP","Team Games",6
"1234","Bailey Prochaska","Division 1","Men","Division 1 Men","Cal Poly-SLO Slocore","Team Games",7
"1235","Avani Marmer","Division 3","Women","Division 3 Women","Haverford/Bryn Mawr Sneetches","Team Games",6
"1236","Ava Day","Division 1","Women","Division 1 Women","Washington Element","Team Games",5
"1237","Austin Ngan","Division 1","Men","Division 1 Men","Michigan Magnum","Team Games",5
"1238","Audrey Schneider","Division 1","Women","Division 1 Women","California - San Diego D-Co","Team Games",5
"1239","Antonia Thommes","Division 1","Women","Division 1 Women","California - San Diego D-Co","Team Games",5
"1240","Anthony Frattaroli","Division 3","Men","Division 3 Men","Berry Bucks","Team Games",6
"1241","Anish Shrestha","Division 1","Men","Division 1 Men","Cal Ursa Major","Team Games",5
"1242","Andy Wang","Division 1","Men","Division 1 Men","Pittsburgh En Sabah Nur","Team Games",5
"1243","Andrew Kim","Division 1","Men","Division 1 Men","Michigan Magnum","Team Games",5
"1244","Andrew Fan","Division 1","Men","Division 1 Men","North Carolina Darkside","Team Games",6
"1245","Andrew Carmody","Division 3","Men","Division 3 Men","Franciscan Fatal","Team Games",6
"1246","Amiya Johnson","Division 1","Women","Division 1 Women","Michigan Flywheel","Team Games",5
"1247","Amir Jeudy","Division 3","Men","Division 3 Men","Williams WUFO","Team Games",6
"1248","amelia Whitacre","Division 1","Women","Division 1 Women","California - Santa Barbara Burning Skirts","Team Games",5
"1249","Alyssa Alvarez","Division 3","Women","Division 3 Women","Carleton Eclipse","Team Games",6
"1250","Alexia Swiglo","Division 3","Women","Division 3 Women","St Olaf Vortex","Team Games",5
"1251","Alexander Ertel","Division 3","Men","Division 3 Men","Richmond Spidermonkeys","Team Games",6
"1252","Alex Tsvetkov","Division 1","Men","Division 1 Men","Minnesota Grey Duck","Team Games",5
"1253","Alec Minnicks","Division 1","Men","Division 1 Men","Alabama-Huntsville Nightmares","Team Games",5
"1254","Alden Harcourt","Division 1","Men","Division 1 Men","Carleton CUT","Team Games",5
"1255","Aidan Slovinski","Division 3","Men","Division 3 Men","Williams WUFO","Team Games",6
"1256","Adrian Lin","Division 1","Men","Division 1 Men","Brown Brownian Motion","Team Games",8
"1257","Aditya Vunnum","Division 1","Men","Division 1 Men","Cal Ursa Major","Team Games",5
"1258","Adam Rothman","Division 1","Men","Division 1 Men","Carleton CUT","Team Games",5
"1259","Adam Ricci","Division 1","Men","Division 1 Men","Pittsburgh En Sabah Nur","Team Games",5
"1260","Adam Cummings","Division 3","Men","Division 3 Men","Rochester Piggies","Team Games",6
"1261","Acacia Hahn","Division 1","Women","Division 1 Women","Oregon Fugue","Team Games",6
"1262","Abraham Lovich","Division 3","Men","Division 3 Men","Rochester Piggies","Team Games",6
"1263","Abigail Montopoli","Division 3","Women","Division 3 Women","Occidental WAC","Team Games",6
"1264","Abigail Clark","Division 1","Women","Division 1 Women","Georgia Athena","Team Games",5
"1265","Siddharth Yende","Division 1","Men","Division 1 Men","Brown Brownian Motion","Team Games",8
"1266","Andy Burris","Division 1","Men","Division 1 Men","Brown Brownian Motion","Team Games",8
"1267","Walt Johnson","Division 1","Men","Division 1 Men","Colorado Mambird","Team Games",7
"1268","Rachel Yao","Division 1","Women","Division 1 Women","North Carolina Pleiades","Team Games",7
"1269","Rachel Lit","Division 1","Women","Division 1 Women","Stanford Superfly","Team Games",7
"1270","Piper Fleming","Division 1","Women","Division 1 Women","Stanford Superfly","Team Games",7
"1271","Nora Knudsen","Division 1","Women","Division 1 Women","Stanford Superfly","Team Games",7
"1272","Marley Sussman","Division 1","Men","Division 1 Men","Cal Poly-SLO Slocore","Team Games",7
"1273","Eugenia Chow","Division 1","Women","Division 1 Women","North Carolina Pleiades","Team Games",7
"1274","Alex Hecht","Division 1","Women","Division 1 Women","North Carolina Pleiades","Team Games",7
"1275","Zoe Lang","Division 3","Men","Division 3 Men","Lewis & Clark Bacchus","Team Games",6
"1276","Wyatt Johnson","Division 3","Men","Division 3 Men","Berry Bucks","Team Games",6
"1277","William Hassell","Division 3","Men","Division 3 Men","Carleton CHOP","Team Games",6
"1278","Watkins Parker","Division 1","Men","Division 1 Men","North Carolina Darkside","Team Games",6
"1279","Victoria Green","Division 3","Women","Division 3 Women","Union Jillz","Team Games",6
"1280","Tova Gordon","Division 3","Women","Division 3 Women","Haverford/Bryn Mawr Sneetches","Team Games",6
"1281","Tomomi Perry","Division 3","Men","Division 3 Men","Carleton CHOP","Team Games",6
"1282","Sathvik Avulapati","Division 1","Men","Division 1 Men","NC State Alpha","Team Games",6
"1283","Sassan Fahim","Division 3","Men","Division 3 Men","Richmond Spidermonkeys","Team Games",6
"1284","Sarah Skinner","Division 3","Women","Division 3 Women","Union Jillz","Team Games",6
"1285","Samuel Winkler","Division 3","Men","Division 3 Men","Claremont Braineaters","Team Games",6
"1286","Samuel Rysko","Division 3","Men","Division 3 Men","Davenport Panthers","Team Games",6
"1287","Ryan Fontanez","Division 3","Men","Division 3 Men","Oberlin Flying Horsecows","Team Games",6
"1288","Rita Narbonne","Division 1","Women","Division 1 Women","Vermont Ruckus","Team Games",6
"1289","Raffael Venterea","Division 3","Men","Division 3 Men","Rochester Piggies","Team Games",6
"1290","rachel Vanpelt","Division 3","Women","Division 3 Women","Union Jillz","Team Games",6
"1291","Quinn Sumerlin","Division 3","Women","Division 3 Women","Occidental WAC","Team Games",6
"1292","Phoenix Adams","Division 1","Women","Division 1 Women","Oregon Fugue","Team Games",6
"1293","Philomena Shuffelton-Sobe","Division 3","Women","Division 3 Women","Macalester Purse Snatchers","Team Games",6
"1294","Owen Thoms","Division 3","Men","Division 3 Men","Missouri S&T Miner Threat","Team Games",6
"1295","Nora de Rege","Division 3","Women","Division 3 Women","Macalester Purse Snatchers","Team Games",6
"1296","Nika Rockafeller","Division 1","Women","Division 1 Women","Vermont Ruckus","Team Games",6
"1297","Nicolas Moreira","Division 3","Men","Division 3 Men","Richmond Spidermonkeys","Team Games",6
"1298","Nico Darringer","Division 3","Men","Division 3 Men","Whitman Sweets","Team Games",6
"1299","Molly Horstman Olson","Division 3","Women","Division 3 Women","Carleton Eclipse","Team Games",6
"1300","Mitch Whisner","Division 3","Men","Division 3 Men","Rochester Piggies","Team Games",6
"1301","Minh-Huy Le","Division 3","Men","Division 3 Men","Williams WUFO","Team Games",6
"1302","Miles Collins","Division 3","Men","Division 3 Men","Carleton CHOP","Team Games",6
"1303","Melissa Dodson","Division 3","Women","Division 3 Women","Occidental WAC","Team Games",6
"1304","Meagan Chau","Division 1","Women","Division 1 Women","British Columbia Thunderbirds","Team Games",6
"1305","Mae Wrigley","Division 3","Women","Division 3 Women","Wesleyan Vicious Circles","Team Games",6
"1306","Madeleine Kruckemeyer","Division 3","Women","Division 3 Women","Haverford/Bryn Mawr Sneetches","Team Games",6
"1307","Maclain Everson-Rose","Division 3","Men","Division 3 Men","St Olaf Berzerkers","Team Games",6
"1308","Lucinda Toppen","Division 1","Women","Division 1 Women","Vermont Ruckus","Team Games",6
"1309","Lucia Neyra","Division 3","Women","Division 3 Women","Portland UPRoar","Team Games",6
"1310","Liam Griffin","Division 3","Men","Division 3 Men","St Olaf Berzerkers","Team Games",6
"1311","Liam Etelson","Division 3","Men","Division 3 Men","Carleton CHOP","Team Games",6
"1312","Leo Devonshire","Division 1","Women","Division 1 Women","British Columbia Thunderbirds","Team Games",6
"1313","Kelsi Jones","Division 3","Women","Division 3 Women","Union Jillz","Team Games",6
"1314","Kate Bicks","Division 3","Women","Division 3 Women","Colorado College Zenith","Team Games",6
"1315","Jasmine Lin","Division 3","Women","Division 3 Women","Richmond Red Hots","Team Games",6
"1316","Jahiem Upchurch","Division 3","Men","Division 3 Men","Davenport Panthers","Team Games",6
"1317","Isaiah Curtis","Division 3","Men","Division 3 Men","Claremont Braineaters","Team Games",6
"1318","Ian Neal","Division 3","Men","Division 3 Men","Davenport Panthers","Team Games",6
"1319","Hans Frautschi","Division 3","Men","Division 3 Men","Whitman Sweets","Team Games",6
"1320","Hannah Lute","Division 3","Women","Division 3 Women","Union Jillz","Team Games",6
"1321","Gabrielle Weaver","Division 3","Women","Division 3 Women","Portland UPRoar","Team Games",6
"1322","Gabriel Graceffo","Division 3","Men","Division 3 Men","Richmond Spidermonkeys","Team Games",6
"1323","Ezra Marcus-Tyler","Division 3","Men","Division 3 Men","Claremont Braineaters","Team Games",6
"1324","Emma Giamello","Division 3","Women","Division 3 Women","Portland UPRoar","Team Games",6
"1325","Ella Bolan","Division 1","Women","Division 1 Women","British Columbia Thunderbirds","Team Games",6
"1326","Elk Thomas-Toth","Division 3","Men","Division 3 Men","Carleton CHOP","Team Games",6
"1327","Elise Gautier","Division 3","Women","Division 3 Women","Macalester Purse Snatchers","Team Games",6
"1328","David Kimberly","Division 3","Men","Division 3 Men","Williams WUFO","Team Games",6
"1329","Daniel Zhang","Division 1","Men","Division 1 Men","North Carolina Darkside","Team Games",6
"1330","Connor Scott","Division 3","Men","Division 3 Men","Whitman Sweets","Team Games",6
"1331","Chloe Pacetti","Division 3","Women","Division 3 Women","Wesleyan Vicious Circles","Team Games",6
"1332","Charlotte Harkrader","Division 3","Women","Division 3 Women","Occidental WAC","Team Games",6
"1333","Bridget McBride","Division 3","Women","Division 3 Women","Mount Holyoke Daisy Chain","Team Games",6
"1334","Ben Eichel","Division 3","Men","Division 3 Men","Lewis & Clark Bacchus","Team Games",6
"1335","Anna Bingham","Division 3","Women","Division 3 Women","Haverford/Bryn Mawr Sneetches","Team Games",6
"1336","Angelo Hernandez","Division 3","Men","Division 3 Men","Berry Bucks","Team Games",6
"1337","Adam Ali","Division 3","Men","Division 3 Men","Carleton CHOP","Team Games",6
"1338","Aanand Yu","Division 1","Men","Division 1 Men","NC State Alpha","Team Games",6
"1339","Zejun Li","Division 1","Women","Division 1 Women","Michigan Flywheel","Team Games",5
"1340","Xiaochen Peng","Division 3","Women","Division 3 Women","Middlebury Pranksters","Team Games",5
"1341","Trent Moon","Division 1","Men","Division 1 Men","Michigan Magnum","Team Games",5
"1342","Thaovy Mai","Division 1","Women","Division 1 Women","Pennsylvania Venus","Team Games",5
"1343","Teaghan Lynch","Division 1","Women","Division 1 Women","California - San Diego D-Co","Team Games",5
"1344","Sutton Ballard","Division 1","Women","Division 1 Women","Colorado State Helle's Belles","Team Games",5
"1345","Sravya Dandamudi","Division 1","Women","Division 1 Women","Pennsylvania Venus","Team Games",5
"1346","Spencer Ewing","Division 1","Women","Division 1 Women","Utah Spiral Jetty","Team Games",5
"1347","Soh Nishiyama","Division 1","Men","Division 1 Men","Texas TUFF","Team Games",5
"1348","Sierra Gaynor","Division 1","Women","Division 1 Women","Western Washington Chaos","Team Games",5
"1349","Shannon Anderson","Division 1","Women","Division 1 Women","Utah Spiral Jetty","Team Games",5
"1350","Seiji Koenigsberg","Division 1","Men","Division 1 Men","Oregon State Beavers","Team Games",5
"1351","Ruby Sutherlin Sovern","Division 1","Women","Division 1 Women","California - Santa Cruz Sol","Team Games",5
"1352","Pearl Tulay","Division 3","Women","Division 3 Women","Middlebury Pranksters","Team Games",5
"1353","Noah Gettings","Division 3","Men","Division 3 Men","Middlebury Pranksters","Team Games",5
"1354","Noah Berube","Division 1","Men","Division 1 Men","Ottawa Gee-Gees","Team Games",5
"1355","Nicolas Sprague","Division 1","Men","Division 1 Men","Washington University Contra","Team Games",5
"1356","Morgan West","Division 1","Women","Division 1 Women","Pennsylvania Venus","Team Games",5
"1357","Molly Snow","Division 3","Women","Division 3 Women","Middlebury Pranksters","Team Games",5
"1358","Mira Larrance","Division 3","Women","Division 3 Women","Lewis & Clark Artemis","Team Games",5
"1359","Miguel McGuire","Division 1","Men","Division 1 Men","Georgia Jojah","Team Games",5
"1360","Michael Sun","Division 1","Men","Division 1 Men","Pittsburgh En Sabah Nur","Team Games",5
"1361","Max Hemeon","Division 1","Men","Division 1 Men","Vermont Chill","Team Games",5
"1362","Matthew Cao","Division 1","Men","Division 1 Men","Michigan Magnum","Team Games",5
"1363","Lydia Mendoza","Division 1","Women","Division 1 Women","Pennsylvania Venus","Team Games",5
"1364","Lucy Leary","Division 1","Women","Division 1 Women","Utah Spiral Jetty","Team Games",5
"1365","Kolbe Bauer","Division 1","Men","Division 1 Men","Texas TUFF","Team Games",5
"1366","Katherine Romero","Division 1","Women","Division 1 Women","SUNY - Binghamton Big Bear","Team Games",5
"1367","Kara Higgins","Division 3","Women","Division 3 Women","Davenport Panthers","Team Games",5
"1368","Kailani Latimer","Division 1","Women","Division 1 Women","California - Santa Barbara Burning Skirts","Team Games",5
"1369","Jonah Barry","Division 1","Men","Division 1 Men","Carleton CUT","Team Games",5
"1370","Joel Brown","Division 1","Men","Division 1 Men","Washington University Contra","Team Games",5
"1371","Jocelyn Richison","Division 3","Women","Division 3 Women","Davenport Panthers","Team Games",5
"1372","Jianwei Li","Division 1","Women","Division 1 Women","Pennsylvania Venus","Team Games",5
"1373","Jessica Luu","Division 1","Women","Division 1 Women","Washington Element","Team Games",5
"1374","Jasmine Bowman","Division 1","Women","Division 1 Women","Utah Spiral Jetty","Team Games",5
"1375","Jake Hyman","Division 1","Men","Division 1 Men","Washington University Contra","Team Games",5
"1376","Jackson Freeman","Division 1","Men","Division 1 Men","Washington University Contra","Team Games",5
"1377","Ian Rock-Jones","Division 1","Men","Division 1 Men","Carleton CUT","Team Games",5
"1378","Henry Charbeneau","Division 1","Men","Division 1 Men","Texas TUFF","Team Games",5
"1379","Hannah Kroeplin","Division 1","Women","Division 1 Women","Victoria Vikes","Team Games",5
"1380","Gwendolyn McGuire","Division 1","Women","Division 1 Women","Michigan Flywheel","Team Games",5
"1381","Gretchen Pohl","Division 1","Women","Division 1 Women","Colorado State Helle's Belles","Team Games",5
"1382","Georgia Corson","Division 3","Women","Division 3 Women","Lewis & Clark Artemis","Team Games",5
"1383","Gabriel Scheck","Division 1","Men","Division 1 Men","Michigan Magnum","Team Games",5
"1384","Gabe Borda","Division 1","Men","Division 1 Men","Georgia Jojah","Team Games",5
"1385","Daniel Griffin","Division 3","Men","Division 3 Men","Oklahoma Christian Eagles","Team Games",5
"1386","Daisy Cuthbert","Division 1","Women","Division 1 Women","California - Santa Barbara Burning Skirts","Team Games",5
"1387","Colin Dunn","Division 3","Men","Division 3 Men","Oklahoma Christian Eagles","Team Games",5
"1388","Cindy Zhang","Division 1","Women","Division 1 Women","Tufts EWO","Team Games",5
"1389","Caroline Li","Division 1","Women","Division 1 Women","Pennsylvania Venus","Team Games",5
"1390","Camden Mah","Division 1","Men","Division 1 Men","Cal Ursa Major","Team Games",5
"1391","Caleb Griffiths","Division 1","Men","Division 1 Men","Minnesota Grey Duck","Team Games",5
"1392","Calan Kirkpatrick","Division 1","Men","Division 1 Men","Massachusetts Zoodisc","Team Games",5
"1393","Brian Bekken","Division 1","Men","Division 1 Men","Alabama-Huntsville Nightmares","Team Games",5
"1394","Brandon Lemens","Division 1","Men","Division 1 Men","Texas TUFF","Team Games",5
"1395","Benjamin Weinstein","Division 1","Men","Division 1 Men","Vermont Chill","Team Games",5
"1396","Ben Thollander","Division 1","Men","Division 1 Men","Texas TUFF","Team Games",5
"1397","Annie Art","Division 3","Women","Division 3 Women","Middlebury Pranksters","Team Games",5
"1398","Anna Ryan","Division 3","Women","Division 3 Women","Lewis & Clark Artemis","Team Games",5
"1399","Amanda Szutu","Division 1","Women","Division 1 Women","SUNY - Binghamton Big Bear","Team Games",5
"1400","Aliyah Latham","Division 1","Women","Division 1 Women","California - Santa Barbara Burning Skirts","Team Games",5
"1401","Alanna Marte","Division 1","Women","Division 1 Women","Pennsylvania Venus","Team Games",5
"1402","Adam Goldstein","Division 1","Men","Division 1 Men","Georgia Jojah","Team Games",5
"1403","Allison Reilly","Division 1","Women","Division 1 Women","North Carolina Pleiades","Team Games",7
"1404","Zoe Williamson","Division 3","Women","Division 3 Women","Colorado College Zenith","Team Games",6
"1405","Wade Intrator","Division 3","Men","Division 3 Men","Bates Orange Whip","Team Games",6
"1406","Vivian Ross","Division 3","Women","Division 3 Women","Haverford/Bryn Mawr Sneetches","Team Games",6
"1407","Taro Jelinek","Division 3","Men","Division 3 Men","St Olaf Berzerkers","Team Games",6
"1408","Sydney Tellis","Division 3","Women","Division 3 Women","Richmond Red Hots","Team Games",6
"1409","Sam Fischer","Division 3","Men","Division 3 Men","Claremont Braineaters","Team Games",6
"1410","Rylie Feltner","Division 3","Women","Division 3 Women","Union Jillz","Team Games",6
"1411","Rebecca Marshall","Division 1","Women","Division 1 Women","Carleton Syzygy","Team Games",6
"1412","Molly Friedrichs","Division 3","Women","Division 3 Women","Macalester Purse Snatchers","Team Games",6
"1413","Matthew Evans","Division 3","Men","Division 3 Men","Franciscan Fatal","Team Games",6
"1414","Maple Bottinelli","Division 3","Women","Division 3 Women","Wellesley Whiptails","Team Games",6
"1415","Manuel Estevez","Division 3","Men","Division 3 Men","Berry Bucks","Team Games",6
"1416","Lyanne Wang","Division 3","Women","Division 3 Women","Wellesley Whiptails","Team Games",6
"1417","Lucy Suchomel","Division 3","Women","Division 3 Women","Grinnell Grinneleanor Roosevelts","Team Games",6
"1418","Lindsey Norwood","Division 3","Women","Division 3 Women","Union Jillz","Team Games",6
"1419","Leza Rooks","Division 3","Women","Division 3 Women","Wesleyan Vicious Circles","Team Games",6
"1420","Leo Furr","Division 3","Men","Division 3 Men","Claremont Braineaters","Team Games",6
"1421","Jonah Tannen","Division 3","Men","Division 3 Men","Carleton CHOP","Team Games",6
"1422","Jill Analla","Division 3","Women","Division 3 Women","Haverford/Bryn Mawr Sneetches","Team Games",6
"1423","Jackson Forebaugh","Division 3","Men","Division 3 Men","St Olaf Berzerkers","Team Games",6
"1424","Jack Huysmans","Division 3","Men","Division 3 Men","Bates Orange Whip","Team Games",6
"1425","Holly Frank","Division 3","Women","Division 3 Women","Occidental WAC","Team Games",6
"1426","Griffin O'Neal-Freeman","Division 3","Men","Division 3 Men","Oberlin Flying Horsecows","Team Games",6
"1427","Erin Durkin","Division 3","Women","Division 3 Women","Grinnell Grinneleanor Roosevelts","Team Games",6
"1428","Emily Lanegraff","Division 3","Women","Division 3 Women","Carleton Eclipse","Team Games",6
"1429","Deborah Lancaster","Division 3","Women","Division 3 Women","Union Jillz","Team Games",6
"1430","Clara Morton","Division 3","Women","Division 3 Women","Haverford/Bryn Mawr Sneetches","Team Games",6
"1431","Ben Noerager","Division 3","Men","Division 3 Men","Berry Bucks","Team Games",6
"1432","Audrey Dewey","Division 3","Women","Division 3 Women","Portland UPRoar","Team Games",6
"1433","Annalise Korch","Division 3","Women","Division 3 Women","Portland UPRoar","Team Games",6
"1434","Anja Kottmann","Division 3","Women","Division 3 Women","Haverford/Bryn Mawr Sneetches","Team Games",6
"1435","Aimee Crozat","Division 3","Women","Division 3 Women","Haverford/Bryn Mawr Sneetches","Team Games",6
"1436","Eli Chang","Division 1","Men","Division 1 Men","Brown Brownian Motion","Team Games",8
"1437","Yana Wink","Division 1","Women","Division 1 Women","Western Washington Chaos","Team Games",5
"1438","Tomomi Ogura","Division 1","Women","Division 1 Women","Western Washington Chaos","Team Games",5
"1439","Sophie Hankin","Division 1","Women","Division 1 Women","Tufts EWO","Team Games",5
"1440","Sayric Arias","Division 1","Men","Division 1 Men","Oregon State Beavers","Team Games",5
"1441","Rohan Patel","Division 1","Men","Division 1 Men","Washington University Contra","Team Games",5
"1442","Nicky Troilo","Division 1","Men","Division 1 Men","Pittsburgh En Sabah Nur","Team Games",5
"1443","Monica Hoang","Division 1","Women","Division 1 Women","Washington Element","Team Games",5
"1444","Mechelle Chen","Division 1","Women","Division 1 Women","Georgia Athena","Team Games",5
"1445","Mary Francis","Division 1","Women","Division 1 Women","Utah Spiral Jetty","Team Games",5
"1446","Makenna Bachman","Division 3","Women","Division 3 Women","Middlebury Pranksters","Team Games",5
"1447","Lucy Tanner","Division 1","Women","Division 1 Women","Washington Element","Team Games",5
"1448","Lily Weissman","Division 3","Women","Division 3 Women","Middlebury Pranksters","Team Games",5
"1449","Lily LeDonne","Division 1","Women","Division 1 Women","Washington Element","Team Games",5
"1450","Lia Schwartz","Division 1","Women","Division 1 Women","Tufts EWO","Team Games",5
"1451","Leah Demsey","Division 1","Women","Division 1 Women","Victoria Vikes","Team Games",5
"1452","Lauren Marshall","Division 1","Women","Division 1 Women","SUNY - Binghamton Big Bear","Team Games",5
"1453","Kate Gearing","Division 1","Women","Division 1 Women","Tufts EWO","Team Games",5
"1454","Julius Cohen","Division 1","Men","Division 1 Men","Michigan Magnum","Team Games",5
"1455","Julia Giesenhagen","Division 1","Women","Division 1 Women","Colorado State Helle's Belles","Team Games",5
"1456","Jade Bing Zalaznik","Division 3","Women","Division 3 Women","Middlebury Pranksters","Team Games",5
"1457","Iris Wiedmann","Division 1","Women","Division 1 Women","SUNY - Binghamton Big Bear","Team Games",5
"1458","Hannah Omodt","Division 3","Women","Division 3 Women","St Olaf Vortex","Team Games",5
"1459","Greta Wilbur","Division 3","Women","Division 3 Women","Lewis & Clark Artemis","Team Games",5
"1460","Erin Ries-Juncker","Division 3","Women","Division 3 Women","Lewis & Clark Artemis","Team Games",5
"1461","Erik Arnold","Division 1","Men","Division 1 Men","Vermont Chill","Team Games",5
"1462","Emma Remien","Division 1","Women","Division 1 Women","Michigan Flywheel","Team Games",5
"1463","Elliot Trimbur","Division 1","Men","Division 1 Men","Oregon State Beavers","Team Games",5
"1464","Ellie Martin-Tai","Division 1","Women","Division 1 Women","Western Washington Chaos","Team Games",5
"1465","Elena Korch","Division 1","Women","Division 1 Women","Western Washington Chaos","Team Games",5
"1466","Dayna Templeton","Division 3","Women","Division 3 Women","Davenport Panthers","Team Games",5
"1467","Danielle Weatherwax","Division 1","Women","Division 1 Women","California - San Diego D-Co","Team Games",5
"1468","Corbin Smith","Division 1","Women","Division 1 Women","Colorado State Helle's Belles","Team Games",5
"1469","Charles Harder","Division 3","Men","Division 3 Men","Middlebury Pranksters","Team Games",5
"1470","Chamonix Reynolds","Division 1","Women","Division 1 Women","Washington Element","Team Games",5
"1471","Cameron Knox","Division 1","Men","Division 1 Men","Ottawa Gee-Gees","Team Games",5
"1472","Blythe Paetkau","Division 1","Women","Division 1 Women","Victoria Vikes","Team Games",5
"1473","Billie Feigin","Division 1","Women","Division 1 Women","SUNY - Binghamton Big Bear","Team Games",5
"1474","Becky Chen","Division 1","Women","Division 1 Women","Pennsylvania Venus","Team Games",5
"1475","Ava Zuckerman","Division 1","Women","Division 1 Women","SUNY - Binghamton Big Bear","Team Games",5
"1476","Ancilla Marie Inocencio","Division 1","Women","Division 1 Women","SUNY - Binghamton Big Bear","Team Games",5
"1477","Amelia Hayward","Division 3","Women","Division 3 Women","Middlebury Pranksters","Team Games",5
"1478","Ainsley Waechter","Division 1","Women","Division 1 Women","Western Washington Chaos","Team Games",5
"1479","Thomas O'Hanlon","Division 3","Men","Division 3 Men","Missouri S&T Miner Threat","Team Games",6
"1480","Tess Keyes","Division 1","Women","Division 1 Women","Oregon Fugue","Team Games",6
"1481","Samantha Merritt","Division 1","Women","Division 1 Women","Carleton Syzygy","Team Games",6
"1482","Olivia Mueth","Division 3","Women","Division 3 Women","Union Jillz","Team Games",6
"1483","Molly Potts","Division 3","Women","Division 3 Women","Mount Holyoke Daisy Chain","Team Games",6
"1484","Michael Yu","Division 3","Men","Division 3 Men","Claremont Braineaters","Team Games",6
"1485","Maggie McFerran","Division 3","Women","Division 3 Women","Richmond Red Hots","Team Games",6
"1486","Lucy Brannon","Division 3","Women","Division 3 Women","Haverford/Bryn Mawr Sneetches","Team Games",6
"1487","Lara Gao","Division 3","Women","Division 3 Women","Mount Holyoke Daisy Chain","Team Games",6
"1488","Kevin Wyle","Division 3","Men","Division 3 Men","Missouri S&T Miner Threat","Team Games",6
"1489","Jolie Martin","Division 3","Women","Division 3 Women","Richmond Red Hots","Team Games",6
"1490","Joel Escobar","Division 3","Men","Division 3 Men","Rochester Piggies","Team Games",6
"1491","Jesse Principe","Division 3","Women","Division 3 Women","Occidental WAC","Team Games",6
"1492","Jason Manning","Division 1","Men","Division 1 Men","North Carolina Darkside","Team Games",6
"1493","Jackson Knox (Berry)","Division 3","Men","Division 3 Men","Berry Bucks","Team Games",6
"1494","Isabella Lin","Division 1","Women","Division 1 Women","British Columbia Thunderbirds","Team Games",6
"1495","Inbal Armony","Division 3","Women","Division 3 Women","Macalester Purse Snatchers","Team Games",6
"1496","Helen Buller","Division 3","Women","Division 3 Women","Union Jillz","Team Games",6
"1497","Gian Asci","Division 3","Men","Division 3 Men","Franciscan Fatal","Team Games",6
"1498","Eliana Norton","Division 1","Women","Division 1 Women","Oregon Fugue","Team Games",6
"1499","Daniel Sutton","Division 3","Men","Division 3 Men","Whitman Sweets","Team Games",6
"1500","Celia Nicholson","Division 3","Women","Division 3 Women","Haverford/Bryn Mawr Sneetches","Team Games",6
"1501","Caleb Moran","Division 1","Men","Division 1 Men","Brown Brownian Motion","Team Games",8
"1502","Anna Mortensen","Division 3","Women","Division 3 Women","Occidental WAC","Team Games",6
"1503","Anna Carlson","Division 1","Women","Division 1 Women","Oregon Fugue","Team Games",6
"1504","Alexandra Lederman","Division 3","Women","Division 3 Women","Haverford/Bryn Mawr Sneetches","Team Games",6
"1505","Thomas Mazur","Division 1","Men","Division 1 Men","Pittsburgh En Sabah Nur","Team Games",5
"1506","Sylvia Erdely","Division 1","Women","Division 1 Women","Pennsylvania Venus","Team Games",5
"1507","Sukhmani Grover","Division 1","Women","Division 1 Women","Pennsylvania Venus","Team Games",5
"1508","Samantha Medina","Division 1","Women","Division 1 Women","California - San Diego D-Co","Team Games",5
"1509","Nicole Moran","Division 1","Women","Division 1 Women","California - San Diego D-Co","Team Games",5
"1510","milton adina","Division 3","Men","Division 3 Men","Oklahoma Christian Eagles","Team Games",5
"1511","Michelle Wu","Division 1","Women","Division 1 Women","Tufts EWO","Team Games",5
"1512","Mackenzie Dawson","Division 1","Women","Division 1 Women","Victoria Vikes","Team Games",5
"1513","Ksenia Gotham","Division 1","Women","Division 1 Women","Western Washington Chaos","Team Games",5
"1514","Jessie Finkelor","Division 1","Women","Division 1 Women","California - San Diego D-Co","Team Games",5
"1515","Jasmine Puska","Division 1","Women","Division 1 Women","Colorado State Helle's Belles","Team Games",5
"1516","Jakob Ayala","Division 1","Men","Division 1 Men","Washington University Contra","Team Games",5
"1517","Ernesto Clarke","Division 1","Men","Division 1 Men","Georgia Jojah","Team Games",5
