"","Date","Player1","Player2","Sets_P1","Sets_P2","P1_G1","P2_G1","P1_G2","P2_G2","P1_G3","P2_G3","P1_G4","P2_G4","P1_G5","P2_G5","HomeWinner"
"124",2022-06-10 13:15:00,"Plyska O.","Pavelka J.",3,0,11,7,13,11,14,12,NA,NA,NA,NA,1
"125",2022-06-10 13:20:00,"Lutskyi V.","Vons V.",3,0,13,11,11,9,11,6,NA,NA,NA,NA,1
"126",2022-06-10 13:20:00,"Mul S.","Shkepu S.",3,1,12,10,12,10,6,11,11,7,NA,NA,1
"127",2022-06-10 13:20:00,"Turek T.","Cechvala R.",0,3,9,11,4,11,9,11,NA,NA,NA,NA,0
"128",2022-06-10 13:25:00,"Masko Y.","Zemiantsev S.",3,2,13,15,8,11,11,4,11,7,11,6,1
"129",2022-06-10 13:30:00,"Hordiichuk O.","Torba R.",3,2,9,11,11,6,11,6,7,11,11,9,1
"130",2022-06-10 13:30:00,"Lushchyk A.","Maliuk S.",3,2,11,4,6,11,12,14,11,7,11,7,1
"131",2022-06-10 13:30:00,"Ponomarenko O.","Yurenev O.",3,2,5,11,11,7,11,8,5,11,11,4,1
"132",2022-06-10 13:30:00,"Zydel J.","Zezule O.",0,3,9,11,2,11,2,11,NA,NA,NA,NA,0
"133",2022-06-10 13:35:00,"Bochkovskyi V.","Honchar Y.",0,3,9,11,8,11,4,11,NA,NA,NA,NA,0
"134",2022-06-10 13:35:00,"Mrykh M.","Mishchenko V.",3,0,11,5,11,7,13,11,NA,NA,NA,NA,1
"135",2022-06-10 13:45:00,"Zimcik L.","Sprongl J.",3,0,11,9,11,5,11,3,NA,NA,NA,NA,1
"136",2022-06-10 13:50:00,"Fylypiv R.","Maltsev D.",3,1,4,11,11,9,11,6,11,3,NA,NA,1
"137",2022-06-10 13:50:00,"Lipkan D.","Semipeadnii V.",2,3,10,12,11,8,11,8,12,14,9,11,0
"138",2022-06-10 13:50:00,"Mikus D.","Zachar M.",3,0,11,8,11,8,11,8,NA,NA,NA,NA,1
"139",2022-06-10 13:55:00,"Melnik V.","Baranovskiy S.",3,0,11,7,15,13,15,13,NA,NA,NA,NA,1
"140",2022-06-10 13:55:00,"Rak S.","Kuzmych V.",3,2,11,8,7,11,11,8,7,11,11,5,1
"141",2022-06-10 14:00:00,"Barsa T.","Zezule O.",0,3,5,11,6,11,8,11,NA,NA,NA,NA,0
"142",2022-06-10 14:00:00,"Stukalov V.","Yakubov M.",3,0,11,8,11,9,11,6,NA,NA,NA,NA,1
"143",2022-06-10 14:00:00,"Ziakun O.","Miroshnychenko S.",1,3,7,11,11,5,6,11,9,11,NA,NA,0
"144",2022-06-10 14:05:00,"Drobov D.","Vilenchyts N.",3,0,11,5,11,5,11,3,NA,NA,NA,NA,1
"145",2022-06-10 14:05:00,"Skripnik S.","Kolbasenko O.",2,3,13,11,9,11,7,11,11,4,7,11,0
"146",2022-06-10 14:15:00,"Plyska O.","Sprongl J.",3,2,11,4,11,4,5,11,9,11,11,4,1
"147",2022-06-10 14:20:00,"Papirnik O.","Marko J.",0,3,8,11,10,12,9,11,NA,NA,NA,NA,0
"148",2022-06-10 14:20:00,"Romanenko I.","Mul S.",0,3,4,11,8,11,9,11,NA,NA,NA,NA,0
"149",2022-06-10 14:20:00,"Slozka M.","Daragan S.",3,2,4,11,10,12,11,3,11,8,11,6,1
"150",2022-06-10 14:25:00,"Horbanenko O.","Cherevko R.",2,3,11,9,6,11,11,8,10,12,8,11,0
