Player,Team,Date,Position,Games Missed,Reported Injury Type,Downs Played After Concussion,Average Playtime Before Injury,Offense,Skilled
Michael Vick,Philadelphia Eagles,11/11/2012,Quarterback,6,Concussion,60,73.38,Offense,Skilled
David Amerson,Washington Redskins,13/10/2013,Comerback,0,Concussion,32,65,Defense,Non-Skilled
Dwayne Gratz,Jacksonville Jaguars,28/09/2014,Comerback,1,Concussion,28,84.66999999999999,Defense,Non-Skilled
Vernon Davis,San Francisco 49ers,10/11/2013,Tight End,0,Concussion,56,46.5,Offense,Skilled
Eugene Sims,St. Louis Rams,30/09/2012,Defensive End,1,Head,36,49.33,Defense,Non-Skilled
John Carlson,Minnesota Vikings,21/10/2012,Tight End,2,Concussion,12,22.83,Offense,Skilled
Donald Brown,San Diego Chargers,5/10/2014,Linebacker,3,Concussion,20,43.75,Defense,Non-Skilled
Stephen Burton,Jacksonville Jaguars,10/11/2013,Wide Receiver,7,Concussion,0,45.33,Offense,Skilled
Julian Edelman,New England Patriots,22/11/2012,Wide Receiver,0,Concussion,59,41,Offense,Skilled
Jason Snelling,Atlanta Falcons,7/10/2013,Running Back,0,Concussion,28,34,Offense,Skilled
Reed Doughty,Washington Redskins,20/10/2013,Safety,1,Concussion,29,46.5,Defense,Non-Skilled
Willis McGahee,Cleveland Browns,8/12/2013,Running Back,1,Concussion,2,24,Offense,Skilled
Matt Conrath,St. Louis Rams,26/09/2013,Defensive Tackle,5,Concussion,23,20,Defense,Non-Skilled
Alex Smith,San Francisco 49ers,11/11/2012,Quarterback,6,Concussion,6,56.879999999999995,Offense,Skilled
Darcel McBath,San Francisco 49ers,25/11/2012,Safety,0,Concussion,20,21,Defense,Non-Skilled
Zac Stacy,St. Louis Rams,24/11/2013,Running Back,0,Concussion,55,36.63,Offense,Skilled
Reed Doughty,Washington Redskins,1/12/2013,Safety,0,Concussion,57,48.8,Defense,Non-Skilled
William Gholston,Tampa Bay Buccaneers,8/12/2013,Defensive End,0,Head,42,21.5,Defense,Non-Skilled
Chris Culliver,San Francisco 49ers,7/09/2014,Comerback,0,Concussion,59,24,Defense,Non-Skilled
Charlie Peprah,Dallas Cowboys,18/11/2012,Safety,0,Concussion,32,55,Defense,Non-Skilled
Matthew Slater,New England Patriots,22/11/2012,Wide Receiver,0,Concussion,20,18.7,Offense,Skilled
