"","Rnk","GC","hours","minutes","seconds","BIB","Specialty","Rider","Age","Team","UCI","Pnt","Time","year","tot_seconds"
"1161",25,108,4,44,57,188,"Classic","TURGIS Anthony   Team Total Direct Energie",26,"Team Total Direct Energie",NA,NA,",,0:00",2020,17097
"1162",26,130,5,26,21,48,"Sprint","MØRKØV Michael   Deceuninck - Quick Step",35,"Deceuninck - Quick Step",NA,NA,",,0:00",2020,19581
"1163",27,76,3,49,2,66,"Classic","MOHORIČ Matej   Bahrain - McLaren",25,"Bahrain - McLaren",NA,NA,",,0:00",2020,13742
"1164",28,125,5,12,4,115,"Hills","KOCH Jonas   CCC Team",27,"CCC Team",NA,NA,",,0:00",2020,18724
"1165",29,112,4,53,50,122,"Classic","CONSONNI Simone   Cofidis",26,"Cofidis",NA,NA,",,0:00",2020,17630
"1166",30,89,4,18,47,75,"Classic","KEUKELEIRE Jens   EF Pro Cycling",31,"EF Pro Cycling",NA,NA,",,0:00",2020,15527
"1167",31,123,5,10,40,187,"Sprint","SOUPE Geoffrey   Team Total Direct Energie",32,"Team Total Direct Energie",NA,NA,",,0:00",2020,18640
"1168",32,70,3,40,49,96,"Sprint","ROJAS José Joaquín   Movistar Team",35,"Movistar Team",NA,NA,",,0:00",2020,13249
"1169",33,96,4,27,7,212,"Hills","BARTHE Cyril   B&B Hotels - Vital Concept p/b KTM",24,"B&B Hotels - Vital Concept p/b KTM",NA,NA,",,0:00",2020,16027
"1170",34,39,2,26,53,57,"Climber","MOLARD Rudy   Groupama - FDJ",31,"Groupama - FDJ",NA,NA,",,0:00",2020,8813
"1171",35,16,0,55,56,62,"Climber","BILBAO Pello   Bahrain - McLaren",30,"Bahrain - McLaren",NA,NA,",,0:00",2020,3356
"1172",36,4,0,5,58,61,"Climber","LANDA Mikel   Bahrain - McLaren",30,"Bahrain - McLaren",NA,NA,",,0:00",2020,358
"1173",37,7,0,7,48,14,"TT","DUMOULIN Tom   Team Jumbo-Visma",29,"Team Jumbo-Visma",NA,NA,",,0:00",2020,468
"1174",38,40,2,29,54,138,"GC","POLANC Jan   UAE Team Emirates",28,"UAE Team Emirates",NA,NA,",,0:00",2020,8994
"1175",39,2,0,0,59,11,"GC","ROGLIČ Primož   Team Jumbo-Visma",30,"Team Jumbo-Visma",NA,NA,",,0:00",2020,59
"1176",40,12,0,17,41,91,"Climber","VALVERDE Alejandro   Movistar Team",40,"Movistar Team",NA,NA,",,0:00",2020,1061
"1177",41,1,0,0,0,131,"Climber","POGAČAR TadejUAE Team Emirates",21,"UAE Team Emirates",NA,NA,",,0:00",2020,0
"1178",42,5,0,6,7,94,"Climber","MAS EnricMovistar Team",25,"Movistar Team",NA,NA,",,0:00",2020,367
"1179",43,62,3,24,55,72,"Classic","BETTIOL Alberto   EF Pro Cycling",26,"EF Pro Cycling",NA,NA,",,0:00",2020,12295
"1180",44,142,5,43,7,153,"Classic","DE BUYST Jasper   Lotto Soudal",26,"Lotto Soudal",NA,NA,",,0:00",2020,20587
"1181",45,128,5,17,28,13,"Classic","JANSEN Amund Grøndahl   Team Jumbo-Visma",26,"Team Jumbo-Visma",NA,NA,",,0:00",2020,19048
"1182",46,80,3,52,51,92,"Climber","CATALDO Dario   Movistar Team",35,"Movistar Team",NA,NA,",,0:00",2020,13971
"1183",47,9,0,9,25,161,"Climber","YATES Adam   Mitchelton-Scott",28,"Mitchelton-Scott",NA,NA,",,0:00",2020,565
"1184",48,22,1,36,12,144,"GC","IZAGIRRE Gorka   Astana Pro Team",32,"Astana Pro Team",NA,NA,",,0:00",2020,5772
"1185",49,74,3,48,0,93,"GC","ERVITI Imanol   Movistar Team",36,"Movistar Team",NA,NA,",,0:00",2020,13680
"1186",50,107,4,44,30,125,"Classic","LAPORTE Christophe   Cofidis",27,"Cofidis",NA,NA,",,0:00",2020,17070
"1187",51,103,4,38,50,206,"Classic","NIEUWENHUIS Joris   Team Sunweb",24,"Team Sunweb",NA,NA,",,0:00",2020,16730
"1188",52,23,1,38,45,164,"Climber","CHAVES Esteban   Mitchelton-Scott",30,"Mitchelton-Scott",NA,NA,",,0:00",2020,5925
"1189",53,46,2,39,37,146,"GC","LUTSENKO Alexey   Astana Pro Team",28,"Astana Pro Team",NA,NA,",,0:00",2020,9577
"1190",54,55,3,1,41,95,"TT","OLIVEIRA Nelson   Movistar Team",31,"Movistar Team",NA,NA,",,0:00",2020,10901
"1191",55,82,3,53,17,136,"GC","LAENGEN Vegard Stake   UAE Team Emirates",31,"UAE Team Emirates",NA,NA,",,0:00",2020,13997
"1192",56,8,0,8,2,71,"Climber","URÁN Rigoberto   EF Pro Cycling",33,"EF Pro Cycling",NA,NA,",,0:00",2020,482
"1193",57,32,2,13,47,147,"GC","SÁNCHEZ Luis León   Astana Pro Team",36,"Astana Pro Team",NA,NA,",,0:00",2020,8027
"1194",58,69,3,38,55,116,"GC","SCHÄR Michael   CCC Team",33,"CCC Team",NA,NA,",,0:00",2020,13135
"1195",59,6,0,6,47,141,"Climber","LÓPEZ Miguel Ángel   Astana Pro Team",26,"Astana Pro Team",NA,NA,",,0:00",2020,407
"1196",60,19,1,19,54,98,"GC","VERONA Carlos   Movistar Team",27,"Movistar Team",NA,NA,",,0:00",2020,4794
"1197",61,14,0,31,4,83,"Climber","BARGUIL Warren   Team Arkéa Samsic",28,"Team Arkéa Samsic",NA,NA,",,0:00",2020,1864
"1198",62,3,0,3,30,101,"GC","PORTE Richie   Trek - Segafredo",35,"Trek - Segafredo",NA,NA,",,0:00",2020,210
"1199",63,15,0,42,20,16,"Climber","KUSS Sepp   Team Jumbo-Visma",26,"Team Jumbo-Visma",NA,NA,",,0:00",2020,2540
"1200",64,10,0,14,3,63,"GC","CARUSO Damiano   Bahrain - McLaren",32,"Bahrain - McLaren",NA,NA,",,0:00",2020,843
"1201",65,114,5,0,4,42,"TT","ASGREEN Kasper   Deceuninck - Quick Step",25,"Deceuninck - Quick Step",NA,NA,"0:180:18",2020,18004
"1202",66,35,2,16,19,38,"Climber","VUILLERMOZ Alexis   AG2R La Mondiale",32,"AG2R La Mondiale",NA,NA,"0:210:21",2020,8179
"1203",67,25,1,40,6,103,"Climber","ELISSONDE Kenny   Trek - Segafredo",29,"Trek - Segafredo",NA,NA,",,0:21",2020,6006
