Place,Tied,Name,School,Victories,Bouts,Pct,TS,TR,Ind,Gender,Weapon
13,FALSE,Levi Hughes,Boston College,11,23,0.478,85,93,-8,Men,Epee
14,FALSE,Alec Brooke,Princeton,10,23,0.435,81,83,-2,Men,Epee
15,FALSE,Skyler Liverant,Columbia,10,23,0.435,88,93,-5,Men,Epee
16,FALSE,Miles Weiss,Ohio State,10,23,0.435,83,92,-9,Men,Epee
17,FALSE,Devin Tafoya,Penn State,9,23,0.391,82,88,-6,Men,Epee
18,FALSE,Valentin Matveev,Notre Dame,8,23,0.348,85,94,-9,Men,Epee
19,FALSE,Thomas Whelan,Yale,8,23,0.348,81,91,-10,Men,Epee
20,FALSE,Daniil Mazur,St. John's,8,23,0.348,81,98,-17,Men,Epee
21,FALSE,Wilson Zhu,M.I.T.,6,23,0.261,70,99,-29,Men,Epee
22,FALSE,Jesse Ndjeka,Cleveland State,6,23,0.261,69,98,-29,Men,Epee
23,FALSE,Jorge Gana,Johns Hopkins,6,23,0.261,63,94,-31,Men,Epee
24,FALSE,Julian Spier,U.I.W.,6,23,0.261,61,105,-44,Men,Epee
